PSA_ID,Domain,English,Ekegusii
HEA_00027,Health,Ministry of Health calls on parents in Nairobi County to have children under five screened for typhoid during the December outreach.,Ekeombe kioborigari bwa abanto (Ministry of Health) kigocha goseera abamama na ababa ase Nairobi County gochia goetia abana baria bare ase emiaka etano gose ase okorigererwa oborwa bwa typhoid ase omotienyi o omotienyi 12.
HEA_00028,Health,Public health advisory: KEMSA warns of increased typhoid risk in Narok County and advises the public to use insecticide-treated mosquito nets every night.,Orogenderero rwa afya yomwaka: KEMSA ekorokia igoro yoboremo bwa omuriro gwa typhoid ase Narok County na ekoboria abanto goikoresia ebitanda biokorera mbuya chiro chionsi.
HEA_00029,Health,Public health advisory: KEMRI warns of increased measles risk in Marsabit County and advises the public to use insecticide-treated mosquito nets every night.,Amang'ana okobonyora obomurembe: KEMRI nigo egochengera oboremo bwa oborwari bwa emesere ase Marsabit County na goboria abanto bonsi gosegeta chineti chia oborwari bwa emesere chiri na dawa chiro chionsi.
HEA_00030,Health,Public health advisory: Ministry of Health warns of increased Rift Valley Fever risk in Bungoma County and advises the public to seek immediate testing at the nearest health facility.,Obotunwa bwa oborwaria: Ministeri yoborwaria egosorora abanto igoro yobwate bwa Rift Valley Fever oborengire mono aaria Bungoma County na egosaba abanto gocha goetwa oborwaria aase echifasiri chiari chire hafi.
HEA_00031,Health,Division of Disease Surveillance and Response urges residents of Kirinyaga County to complete the full recommended vaccination dose following a rise in reported cholera cases.,Ekitengo gia Ogochera na Ogokira Endwari nikisabete abanto ba Kirinyaga County goika bagende gokora chindano chiongo chio ogotimwa konyora chindwari chia cholera chire goikera igoro.
HEA_00032,Health,Public health advisory: SHA (Social Health Authority) warns of increased Rift Valley Fever risk in Taita-Taveta County and advises the public to seek immediate testing at the nearest health facility.,Obochenu bwa abanto: SHA (Social Health Authority) erigerete ase oboremo bwa Rift Valley Fever ase Taita-Taveta County na eragire abanto gocha ase ebitari biabochenu biria biri hakuhi gose gosekerwa.
HEA_00033,Health,Public health advisory: KEMSA warns of increased Rift Valley Fever risk in Mandera County and advises the public to use insecticide-treated mosquito nets every night.,Omonwa bwobogima bwabanto: KEMSA erorete obwenge bwo oborwari bwa Rift Valley Fever obwongererekete ase Mandera County na egokera abanto gosegerera chineti chio chimbusi chiri na amariogo kera obotuko.
HEA_00034,Health,Kenya Red Cross reminds the public that free cyclosporiasis screening is available at all public health centres in Kajiado County this October.,Kenya Red Cross nigo ekoremereria abanto ing'a ogosomwa kwa cyclosporiasis nigo konyorwa bwere ase chifakitory chionsi chia oborwaria ase Kajiado County ase omotienyi 10.
HEA_00035,Health,CDC reminds the public that free tuberculosis screening is available at all public health centres in Nairobi County this December.,CDC nigo ekobasoka abanto bonse ng'a okororwa oborwa bwa TB nigo kware korwa bwerere ase chinchokoro chionsi chio oborochi bwa serikari ase Nairobi County ase omotienyi 12.
HEA_00036,Health,Notice: Kenya Medical Association confirms a HIV/AIDS outbreak alert for Homa Bay County. Residents are advised to avoid contact with contaminated water sources.,Omonyo: Ekeombe gia abachiri ba Kenya (Kenya Medical Association) nigo egokora ogochaka kwo omoroberio ogokwenera oborwa bwa HIV/AIDS ase Homa Bay County. Abamenyi nigo babasabire kwerinda goikana na amache ayo are ne'chindwara.
HEA_00037,Health,Public health advisory: Ministry of Health - Reproductive Health Unit warns of increased tuberculosis risk in Wajir County and advises the public to seek immediate testing at the nearest health facility.,Omoitemo bwobuto bwe chinsara: Ministeri yobuto - Ekitengo kio obuto bwa abakungu nigo kigocha amang'ana okobwate obwango bwa oborwari bwa kifua (tuberculosis) ase Wajir County na kigocha abanto bonse gochia gokorwa ebitesti ase ebitaro ebirie habe na bo.
HEA_00038,Health,Notice: Ministry of Health confirms a tuberculosis outbreak alert for Vihiga County. Residents are advised to use insecticide-treated mosquito nets every night.,Ekeombe kia Afya nigo kigoikera amang'ana amabe ase oborwa bwa TB ase Vihiga County. Abaturagi basoroirwe gokoresia chimbavu chiochiumbu chire na dawa ya chiumbu chioro na chioro.
HEA_00039,Health,Ministry of Health reminds the public that free cholera screening is available at all public health centres in Lamu County this December.,Obonchari bwa Oborwaire bwoire abanto ng'a okorengwa kwa oborwaire bwa chokera nigo konyorwa ase chinchokoro chiomobere chionse ase Lamu County ase omotienyi 12.
HEA_00040,Health,SHA (Social Health Authority) reminds the public that free malaria screening is available at all public health centres in Kilifi County this June.,SHA (Social Health Authority) nkogokwaniria abanto buna ogosomwa kwa Esosera nigo kure ase chinchera chionsi chi'oborwaria bwa gavamenti ase Kilifi County ase omotienyi 6.
HEA_00041,Health,Public health advisory: KEMRI warns of increased Rift Valley Fever risk in Nyandarua County and advises the public to complete the full recommended vaccination dose.,
HEA_00042,Health,Public health advisory: KEMSA warns of increased meningitis risk in Nairobi County and advises the public to avoid contact with contaminated water sources.,Omoigwano bwe' chindagera chioboroche: KEMSA nigo egochengerete abanto igoro yoborendi bwe' oborwari bwa meningitis boria bwakomera ase ekaunti ya Nairobi na goigwera abanto bwoyia gochera amache ayio atari amaya goetera obokoreri bwa abanto.
HEA_00043,Health,Ministry of Health - Reproductive Health Unit reminds the public that free malaria screening is available at all public health centres in Uasin Gishu County this April.,Ewizara y'Oborwari - Ekitengo kioborwari bw'abanto nigo gikorebokia abanto ng'a okororwa malaria bosa nigo konyorekana ase chisitesheni chi'oborwari chia serikari chionsi ase ekaonti ya Uasin Gishu ase omotienyi 4.
HEA_00044,Health,Kenya Medical Association urges residents of Turkana County to avoid contact with contaminated water sources following a rise in reported cyclosporiasis cases.,Ekeombe gia Kenya Medical Association obaboririe abamenyi ba Turkana County gotiga ogokora na amache ayo ayonangire konyora oborwaire bwa cyclosporiasis obwongerekene.
HEA_00045,Health,SHA (Social Health Authority) urges residents of Tana River County to seek immediate testing at the nearest health facility following a rise in reported HIV/AIDS cases.,"SHA (Social Health Authority) eragete abamenyi bekaunti ya Tana River korigia okororwa oborwa ase echireti chio obochari chiri hakuhi, konyora buna oborwa bwa HIV/AIDS bwarengeire."
HEA_00046,Health,KEMRI reminds the public that free Rift Valley Fever screening is available at all public health centres in Tharaka-Nithi County this September.,KEMRI egokibwate abanto bonse ng'a ogosima oborwa bwa Rift Valley Fever (Rift Valley Fever screening) nigo obwateire ase chiforomo chionsi chia obobogima bwa banto ase Tharaka-Nithi County omwaka o omotienyi 9.
HEA_00047,Health,Kenya Medical Association reminds the public that free Rift Valley Fever screening is available at all public health centres in Meru County this May.,Ewizara y'abachunani ba Kenya nigo egokumbusia abanto buna okorora oborwaire bwa Rift Valley Fever nigo kwarete ase chinchokoro chiomobere chionsi chia serekari aaria Meru County ime ase omotienyi 5.
HEA_00048,Health,SHA (Social Health Authority) reminds the public that free malaria screening is available at all public health centres in Nandi County this September.,SHA (Social Health Authority) nkogokwaniria abanto buna ogosomwa kwa Esosera nigo kure ase chinchera chionsi chi'oborwaria bwa gavamenti ase Nandi County ase omotienyi 9.
HEA_00049,Health,CDC urges residents of Mombasa County to complete the full recommended vaccination dose following a rise in reported tuberculosis cases.,"Ekeombe kia CDC nkisabire abanto ba Mombasa County goika bagende gokora chindano chioborwaria bwa TB chionche, konyora oborwaria obo bwarengire goikera §NUM0§."
HEA_00050,Health,Ministry of Health - Reproductive Health Unit calls on parents in Laikipia County to have children under five screened for cyclosporiasis during the April outreach.,Ewizara yobochenu - Ekitengo kio bochenu bwa abana na abakungu (Reproductive Health Unit) nigo egosaba abasemi ase Laikipia County gochia na abana abari ase emiaka etano ase ogosomwa (screening) koria obwore bwa cyclosporiasis ase omotienyi o omotienyi 4 ekero ekobwatia komanya amachiko.
HEA_00051,Health,KEMSA urges residents of Samburu County to report any suspected cases to community health volunteers following a rise in reported cyclosporiasis cases.,KEMSA eragire abanto ba Samburu County gochia gocheria abanyamwaka b'obochenu ase oboama bwo konyora abanto bare na oborwari bwa cyclosporiasis obo bware goikera.
HEA_00052,Health,Kenya Red Cross calls on parents in Elgeyo-Marakwet County to have children under five screened for dengue fever during the December outreach.,Ekeombe kia Kenya Red Cross kigochaire abamama na ababa aaria Elgeyo-Marakwet County kwerenda abana abari ase emiaka etano barorwe gose barorekanirwe ase oborwaire bwa dengue fever ase omwaka omotienyi 12.
HEA_00053,Health,KEMSA calls on parents in Tharaka-Nithi County to have children under five screened for tuberculosis during the May outreach.,KEMSA egosaba abamama na ababa ase Tharaka-Nithi County kogocha nabana babo abari ase emiaka etano gose egosekwa (screened) oborwari bwa kifua kikuu (tuberculosis) ase omotienyi bwa omotienyi 5.
HEA_00054,Health,CDC urges residents of Tana River County to seek immediate testing at the nearest health facility following a rise in reported HIV/AIDS cases.,CDC eragire abanto bwa Tana River County gochia korigwa oborwari ase echipatari eri hakuhi na bo konyora ng'a oborwari bwa HIV/AIDS bwaongezeka.
HEA_00055,Health,Ministry of Health - Reproductive Health Unit urges residents of Narok County to seek immediate testing at the nearest health facility following a rise in reported measles cases.,"Ebisarari bi Obomurembe - Ekitengo kio Obomurembe bwa Abakungu gokoboriga abamenyi ba Narok County gochi goikora oborogi bwa bwango ase echikuru chio obomurembe echio kiri okabere, konyora okonyara kwa amanyinga amange ayo abanto babwate amanyererio yomomero."
HEA_00056,Health,Public health advisory: SHA (Social Health Authority) warns of increased meningitis risk in Meru County and advises the public to seek immediate testing at the nearest health facility.,Ogotangigwa kwomobere: SHA (Social Health Authority) nigo egotangigwa igoro yoboremo bwa meningitis aaria Meru County na egokana abanto gochia gokorwa ebitesti ase egesitashoni chia oboroche chiri habe.
HEA_00057,Health,Kenya Medical Association reminds the public that free tuberculosis screening is available at all public health centres in Wajir County this October.,Ekeama kia abachari ba Kenya nigo gikwibokia abanto bonse buna ogosimwa kwa oborwaria bwa kifua kiku nigo kure ase chinchera chi'obochenu bwa serekari chiensi ase Wajir County ase omotienyi 10.
HEA_00058,Health,Public health advisory: Ministry of Health warns of increased cyclosporiasis risk in Busia County and advises the public to use insecticide-treated mosquito nets every night.,Omoigwano bw'oborigari bwa abanto: Ebisareri bia Oborigari bwa Abanto nigo bikoboria abanto ase ogwatekaneria oboremo bwa cyclosporiasis ase Busia County na goba abanto ng'a bakore chineti chio obororo chire na dawa ya chimbuka kera obotuko.
HEA_00059,Health,Public health advisory: CDC warns of increased tuberculosis risk in Murang'a County and advises the public to report any suspected cases to community health volunteers.,Oborogi bwoborwaria bwa abanto: Ekeombe gia CDC kigotebia abanto ng'a oboremo bw'endwari ya kifua kikuu (tuberculosis) bwakongezeka ase Murang'a County na korigiria abanto goika amang'ana ase abakora b'oborwaria bwa chinchora ase oboigo bwo korigwa nigo barenge ase oboremo obo.
HEA_00060,Health,Kenya Red Cross reminds the public that free typhoid screening is available at all public health centres in Trans Nzoia County this March.,Ekeombe gia Kenya Red Cross nigo gikwibokia abanto bonsi buna okororwa oborwa bwa typhoid nigo kware ase chinchitari chionsi chiobobungi ase Trans Nzoia County ase omotienyi 3.
HEA_00061,Health,Division of Disease Surveillance and Response calls on parents in Lamu County to have children under five screened for Rift Valley Fever during the January outreach.,Ekeombe keria ekenene getenerete amang'ana amayera n'okogokia oborwaire (Division of Disease Surveillance and Response) nkorangeria abamama na abataata ase Lamu County gochia gosekeria abana abato barenge ase emiaka etano ase oborwaire bwa Rift Valley Fever ase omoroberio bwogosera abanto bwo omotienyi 1.
HEA_00062,Health,Public health advisory: SHA (Social Health Authority) warns of increased tuberculosis risk in Lamu County and advises the public to use insecticide-treated mosquito nets every night.,Obotuki bwobochenu: SHA (Social Health Authority) negochora igoro yoboremo bwoborwaire bwobofua (tuberculosis) ase Lamu County na gochora abanto gosegeta goikoresia chineti chiorosetwe dawa yechimbu chiro chionsi.
HEA_00063,Health,Notice: KEMSA confirms a tuberculosis outbreak alert for Turkana County. Residents are advised to report any suspected cases to community health volunteers.,Omonyo: KEMSA nigo ekweneretie amakuru y'ogotuka kwa oborwa bwa kifua kikuu (TB) ase Turkana County. Abatuni nigo baragirwe gokora omonyo ase oborwa obo ase abakoni b'eafya b'omochie.
HEA_00064,Health,Notice: KEMSA confirms a typhoid outbreak alert for Nandi County. Residents are advised to use insecticide-treated mosquito nets every night.,Omonyo: KEMSA eraririe oborwaire bwa typhoid ase Nandi County. Abanto baragirwe gokoresia chineti chie chinswa chiri na dawa ya chinswa kera gotuko.
HEA_00065,Health,Public health advisory: Ministry of Health warns of increased typhoid risk in Homa Bay County and advises the public to seek immediate testing at the nearest health facility.,Oborogi bwe ekerong'o: Ebisarori bi'obochari bwa abanto nigo bigotebia abanto buna oborwari bwe etifodi bwakire mono ase Homa Bay County na goboria abanto gocha goetwa oborwari ase ebitaro biria biri habe.
HEA_00066,Health,Kenya Red Cross reminds the public that free dengue fever screening is available at all public health centres in Wajir County this February.,Kenya Red Cross eribokirie abanto buna okogemwa kwa dengue fever kwa bosa nigo kure ase chinyomba chiomonyagetari chiose chia serikari ime ya Wajir County ime yechimo ya omotienyi 2.
HEA_00067,Health,Kenya Red Cross reminds the public that free tuberculosis screening is available at all public health centres in Nyeri County this October.,Ekeombe gia Kenya Red Cross nigo gikoboria abanto ing'a okororwa oborwaire bwa kifua kikuu (TB) nigo korigwa chigari chionsi chi'oborwaria bwa serikari ase Nyeri County ime y'omotienyi oyu o omotienyi 10.
HEA_00068,Health,Notice: KEMRI confirms a typhoid outbreak alert for Migori County. Residents are advised to use insecticide-treated mosquito nets every night.,Ekeirukio: KEMRI nigo ekoremereria oborwa bwechiriba ase Migori County. Abamenyi nigo babwenerete gokoresia chineti chio oborwa chio konyorwa na dawa chiro chionsi.
HEA_00069,Health,Kenya Red Cross calls on parents in Tana River County to have children under five screened for cyclosporiasis during the February outreach.,Ekeombe gia Kenya Red Cross nkogotaka abamama na ababa ase Tana River County kobate abana baria bari ase emiaka etano gosegetwa konyora oborwari bwa cyclosporiasis ase omotigo ogokorwa ase omotienyi 2.
HEA_00070,Health,Notice: Ministry of Health confirms a measles outbreak alert for Mombasa County. Residents are advised to report any suspected cases to community health volunteers.,Omonyo: Wisara yechisemi yaboririe ng'a oborwa bwechironda chio omwana (measles) bwarengana ase Mombasa County. Abamenyi baboretwe goikera abakonyi banchera yechisemi ase chinkwana chionsi chiria bakorora ng'a nchira chio oborwa obo.
HEA_00071,Health,Ministry of Health - Reproductive Health Unit reminds the public that free cyclosporiasis screening is available at all public health centres in Bomet County this December.,Ebisarari bi’obochenu - Egechiko gi’obochenu bw’abanto nigo gikobasiboria abanto ng’a ogosomwa kwa oborwaire bwa cyclosporiasis nigo korigwa ase obogere bwa chinsukuru chi’obochenu chiserikari chionsi ase Bomet County ase omotienyi 12 §YEAR0§.
HEA_00072,Health,Public health advisory: Ministry of Health warns of increased measles risk in Wajir County and advises the public to use insecticide-treated mosquito nets every night.,Oborogi bwobogima bwabanto: Ewizara yobogima nigo ererete abanto igoro yoborwaire bwemichiri obwongererekete ase Wajir County na eragire abanto goikera chineti chio oborwaire bwemichiri chiri na dawa chiro chioro.
HEA_00073,Health,Division of Disease Surveillance and Response urges residents of Vihiga County to avoid contact with contaminated water sources following a rise in reported measles cases.,Ekeombe gia okorora na okogenderera obwarwaire nigo gogosaba abanto ba Vihiga County goika gochera gochera amache ayio abwate oborwaire bwokwomoka kwa obwarwaire bwa measles (ebimera) obo bwarengire.
HEA_00074,Health,Ministry of Health reminds the public that free cholera screening is available at all public health centres in Kirinyaga County this June.,Obonchari bwa Oborwaire bwoire abanto ng'a okorengwa kwa oborwaire bwa chokera nigo konyorwa ase chinchokoro chiomobere chionse ase Kirinyaga County ase omotienyi 6.
HEA_00075,Health,Notice: KEMRI confirms a malaria outbreak alert for Migori County. Residents are advised to report any suspected cases to community health volunteers.,Okoraria: KEMRI nigo ekoremereria okobua kwomoro owa malaria ase ekaunti ya Migori. Abamenyi nigo babwenerete koripoti chinsaki chiobono ase abakori bechinyagitari banchera.
HEA_00076,Health,Public health advisory: Kenya Medical Association warns of increased measles risk in Busia County and advises the public to complete the full recommended vaccination dose.,Ogochera obomanyi bwekeene: Ekerechi gia Kenya Medical Association kigokurerwa ng'a oboremi bwechimisiri bwareng'ire aaria Busia County na kigosemia abanto goika bagie goikera oborua bwose obwobogwate bwa chindano.
HEA_00077,Health,KEMSA reminds the public that free measles screening is available at all public health centres in Uasin Gishu County this January.,KEMSA nigo egokureiria abanto buna okororwa amanyama yomwaka (measles) nigo kware ase chifaseni chiogosunga oboroche bwa abanto bwo mwoyo ase chifaseni chiogosunga oboroche bwa abanto bwo mwoyo chionse chire ase Uasin Gishu County ase omotienyi 1.
HEA_00078,Health,Notice: Kenya Medical Association confirms a tuberculosis outbreak alert for Homa Bay County. Residents are advised to report any suspected cases to community health volunteers.,Amang'ana: Kenya Medical Association egokwana amang'ana amakong'u ase ogosambuka kwa oborwa bwa kifua (tuberculosis) ase Homa Bay County. Abanto baria bare ase ekaunti eyio babwate ogoteba amang'ana ase abasomi bwe ekaunti na abakonyi bwe ekaunti ase oborwaro.
HEA_00079,Health,SHA (Social Health Authority) reminds the public that free Rift Valley Fever screening is available at all public health centres in Samburu County this January.,SHA (Social Health Authority) nekoribokia abanto bonsi buna okorora amarwaire ya Rift Valley Fever nigo kware ase chinchokoro chiomonyansi chiomogongo chiensi ase Samburu County ase omotienyi 1.
HEA_00080,Health,KEMRI reminds the public that free typhoid screening is available at all public health centres in Baringo County this June.,KEMRI nigo egokomanyia abanto buna okororwa oborwari bwa typhoid nigo kware ase chinsitua chi'oborwaria chionsi chia serakari ase ekaunti ya Baringo ase omotienyi o omotienyi 6.
HEA_00081,Health,KEMRI reminds the public that free tuberculosis screening is available at all public health centres in Kwale County this November.,KEMRI egokibukia abanto ng'a ogosomwa kwa oborwaire bwa kifua kikuu nigo kwoigwa ase chinsitashoni chiensi chiomobogima bwa abanto ase Kwale County ase omotienyi 11 §YEAR0§.
HEA_00082,Health,Division of Disease Surveillance and Response calls on parents in Nyandarua County to have children under five screened for typhoid during the February outreach.,
HEA_00083,Health,Notice: CDC confirms a dengue fever outbreak alert for Trans Nzoia County. Residents are advised to report any suspected cases to community health volunteers.,Ekeombe gie CDC nigo konyorete oborwa bwo'okwomoka kwa amarwaire ya dengue ase ekaonti ya Trans Nzoia. Abamenyi nigo basabwa konyora gokora amangana ase abakonyi b'ebirengererio b'e'nyomba na e'nyomba ase chinsaka chio'okomanya amangana ayio.
HEA_00084,Health,SHA (Social Health Authority) urges residents of Makueni County to report any suspected cases to community health volunteers following a rise in reported meningitis cases.,"Ekeombe gia SHA (Social Health Authority) nigo korigire abamenyi ba Makueni County koranche amang'ana onsi ayo bakorora nigo arenge meningitis ase abakori b'oborigiriria bwa oboche bwa abamenyi, konyora gochia igoro kwa amang'ana ayo."
HEA_00085,Health,SHA (Social Health Authority) urges residents of Bungoma County to report any suspected cases to community health volunteers following a rise in reported HIV/AIDS cases.,"SHA (Social Health Authority) nigo egosaba abaturage ba Bungoma County gokora omotwe ase oboore bwo oborwaria bwa HIV/AIDS oboikerekanete, goetera ase abakonyi b'oborwaria b'ebinyoro."
HEA_00086,Health,CDC calls on parents in Wajir County to have children under five screened for meningitis during the July outreach.,CDC nigo erorete abamama na ababa ase Wajir County goika babate abana abari ase emiaka etano gose egasi goikerania oborwaire bwa meningitis ase omwaka o omotienyi 7.
HEA_00087,Health,Kenya Red Cross reminds the public that free cyclosporiasis screening is available at all public health centres in Kilifi County this December.,Kenya Red Cross nigo ekoremereria abanto ing'a ogosomwa kwa cyclosporiasis nigo konyorwa bwere ase chifakitory chionsi chia oborwaria ase Kilifi County ase omotienyi 12.
