PSA_ID,Domain,Sub_Category,English,Kiswahili,Target_Language,Source,Date,Metadata
HEALTH_011,Health,,"A small number of vaccinated people may get infected with COVID-19 after vaccination; this is called a breakthrough infection, but they are likely to have milder symptoms than if they were not vaccinated.","Idadi ndogo ya watu waliochanjwa wanaweza kuambukizwa COVID-19 baada ya chanjo; hii inaitwa maambukizi ya mafanikio, lakini kuna uwezekano wa kuwa na dalili ndogo kuliko kama hawakuchanjwa.",,https://pmc.ncbi.nlm.nih.gov/articles/PMC9358243/,,original_id=1272; class=extracted_from_class_dataset
HEALTH_012,Health,,"All COVID-19 vaccines are safe for use by adults, breastfeeding mothers and as per current WHO guidelines, can also be used by pregnant women upon recommendation by a qualified physician.","Chanjo zote za COVID-19 ni salama kwa matumizi ya watu wazima, akina mama wanaonyonyesha na kulingana na miongozo ya sasa ya WHO, zinaweza pia kutumiwa na wanawake wajawazito kwa mapendekezo ya daktari aliyehitimu.",,https://pmc.ncbi.nlm.nih.gov/articles/PMC9746464/,,original_id=1273; class=extracted_from_class_dataset
HEALTH_013,Health,,Taking different types of vaccines is not recommended. After being fully vaccinated you will obtain your COVID-19 certificate  from the MOH website https://portal.health.go.ke.,Kuchukua aina tofauti za chanjo haipendekezwi. Baada ya kuchanjwa kikamilifu utapata cheti chako cha COVID-19 kutoka kwa tovuti ya MOH https://portal.health.go.ke.,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9746464/,,original_id=1274; class=extracted_from_class_dataset
HEALTH_014,Health,,"Five new Mpox cases detected in Kenya, one patient in isolation","Visa vitano vipya vya Mpox vyagunduliwa nchini Kenya, mgonjwa mmoja akiwa ametengwa",,https://beaconbio.org/en/report/?reportid=71e3de03-347b-4be7-b434-4ef27a771f34&eventid=7c824e2a-eef1-4b27-8ef4-f947570c80b7,,original_id=1276; class=extracted_from_class_dataset
HEALTH_015,Health,,"Key causes of TB include undernutrition, HIV, alcohol use disorders, smoking, and diabetes. Get the word out! We can eradicate TB together","Sababu kuu za Kifua Kikuu ni pamoja na lishe duni, VVU, matatizo ya matumizi ya pombe, uvutaji sigara, na kisukari. Fahamu! Tunaweza kutokomeza Kifua Kikuu pamoja",,https://www.facebook.com/WHOAFRO/posts/in-2023-these-were-the-key-drivers-of-new-tb-cases-in-africa-hiv-undernutrition-/1113804087593310/,,original_id=1277; class=extracted_from_class_dataset
HEALTH_016,Health,,Coughing! Fever! Night sweats! Chest pains! Weight loss! You could have TB. Testing and treatment are free at all public hospitals!Get tested today!,Kikohozi! Homa! Jasho la usiku! Maumivu ya kifua! Kupunguza uzito! Unaweza kuwa na TB. Upimaji na matibabu ni bure katika hospitali zote za umma! Pima leo!,,https://www.facebook.com/WHO/posts/tuberculosis-or-tb-is-caused-by-bacteria-mycobacterium-tuberculosis-that-mainly-/1490480356444683/,,original_id=1278; class=extracted_from_class_dataset
HEALTH_017,Health,,"To get cured of TB, you must complete the entire course of treatment as advised by the health worker.","Ili kupona kifua kikuu, ni lazima ukamilishe matibabu yote kama ilivyoshauriwa na mfanyakazi wa afya.",,https://www.facebook.com/MoHBhutan/posts/%F0%9D%90%85%F0%9D%90%A2%F0%9D%90%AF%F0%9D%90%9E-%F0%9D%90%A8%F0%9D%90%A7-%F0%9D%90%85%F0%9D%90%AB%F0%9D%90%A2%F0%9D%90%9D%F0%9D%90%9A%F0%9D%90%B2tb-can-be-cured-dont-skip-doses-fof-tb-doph/1331043682181794/,,original_id=1279; class=extracted_from_class_dataset
HEALTH_018,Health,,"Key points to stop Mpox spread: Avoid close contact with individuals showing symptoms. Do not share personal items like towels, utensils, or clothing. Maintain good hygiene by washing hands frequently.","Mambo muhimu ya kuzuia kuenea kwa Mpox: Epuka kugusana kwa karibu na watu wanaoonyesha dalili. Usishiriki vitu vya kibinafsi kama vile taulo, vyombo, au nguo. Dumisha usafi mzuri kwa kunawa mikono mara kwa mara.",,https://www.facebook.com/MSFEasternAfrica/posts/-mpox-what-you-need-to-know-mpox-caused-by-the-monkeypox-virus-has-been-a-growin/917875937050372/,,original_id=1280; class=extracted_from_class_dataset
HEALTH_019,Health,,"Mpox symptoms include fever, rash, and swollen lymph nodes. Seek medical care immediately if you notice any of these.","Dalili za Mpox ni pamoja na homa, upele, na uvimbe wa tezi za limfu. Tafuta huduma ya matibabu mara moja ikiwa utagundua yoyote kati ya haya.",,https://my.clevelandclinic.org/health/diseases/22371-monkeypox,,original_id=1281; class=extracted_from_class_dataset
HEALTH_020,Health,,Mpox outbreak in Mombasa. Two people have died from Monkey Pox disease. Mombasa County has reported 98 Monkey Pox cases. There is a lot of active community transmission,Mlipuko wa Mpox Mombasa. Watu wawili wamefariki kutokana na ugonjwa wa Tumbili. Kaunti ya Mombasa imeripoti visa 98 vya Tumbili. Kuna maambukizi mengi ya kijamii yanayoendelea,,https://www.facebook.com/CitizenTVKe/posts/mpox-outbreak-in-mombasa-two-people-have-died-from-monkey-pox-disease-mombasa-co/1327181402100531/,,original_id=1282; class=extracted_from_class_dataset
HEALTH_021,Health,,Ban on all public gatherings extended to May 29 to curb the spread of Covid-19.,Marufuku ya mikusanyiko yote ya umma yaongezwa hadi Mei 29 ili kupunguza kuenea kwa Covid-19.,,https://who-afro.ctb.ku.edu/act/implementing-the-covid-19-response-in-kenya/,,original_id=1284; class=extracted_from_class_dataset
HEALTH_022,Health,,"Kenya confirms 10 more Covid-19 cases bringing the total number of confirmed infections to 384, nine of the new cases are from Mombasa and one from Nairobi","Kenya yathibitisha visa 10 zaidi vya Covid-19 na kufikisha jumla ya maambukizi 384, tisa kati ya visa vipya ni kutoka Mombasa na kimoja kutoka Nairobi.",,https://www.facebook.com/thenewvision/posts/in-kenya-9-people-have-tested-positive-for-covid19-bringing-the-total-to-225-cas/10158429766274078/,,original_id=1286; class=extracted_from_class_dataset
HEALTH_023,Health,,I have invoked the public health act after it was declared a pandemic. Thoroughly wash hands and use alcohol based sanitizers. Keep 1-meter distance from a person who is sneezing or coughing. A person who is coughing or sneezing should stay at home and avoid crowds,Nimeitisha sheria ya afya ya umma baada ya kutangazwa kuwa janga. Osha mikono vizuri na utumie vitakasa mikono vyenye pombe. Weka umbali wa mita 1 kutoka kwa mtu anayepiga chafya au kukohoa. Mtu anayekohoa au kupiga chafya anapaswa kukaa nyumbani na kuepuka misongamano ya watu.,,https://www.boomplay.com/buzz/1080018,,original_id=1287; class=extracted_from_class_dataset
HEALTH_024,Health,,Kenya on high alert over new and deadly mosquito. Anopheles Stephensi causes the deadliest type of Malaria. Health researchers have found the mosquito in Mandera. Mosquito spreads Malaria in both urban and rural areas,Kenya iko macho kuhusu mbu mpya na hatari. Anopheles Stephensi husababisha aina mbaya zaidi ya Malaria. Watafiti wa afya wamegundua mbu huko Mandera. Mbu hueneza Malaria katika maeneo ya mijini na vijijini,,https://www.lemonde.fr/en/le-monde-africa/article/2023/03/16/spread-of-a-new-mosquito-threatens-malaria-control-in-kenya_6019528_124.html?srsltid=AfmBOorvxpzTXfQ_0l5v4G3s8QDWaj8C7Ax-AUzJvGAPghKBlnt6Ryrt,,original_id=1288; class=extracted_from_class_dataset
HEALTH_025,Health,,Kisumu Governor Nyong'o orders all restaurants shut in the county for failing to adhere to MoH measures against Covid-19.,Gavana wa Kisumu Nyong'o aamuru migahawa yote ifungwe katika kaunti hiyo kwa kushindwa kufuata sheria za Wizara ya Afya dhidi ya Covid-19.,,https://www.youtube.com/watch?v=YICC0KMsHzI,,original_id=1289; class=extracted_from_class_dataset
HEALTH_026,Health,,CDC launches a campaign promoting hand hygiene to prevent disease spread.,CDC yazindua kampeni ya kuhimiza usafi wa mikono ili kuzuia kuenea kwa magonjwa.,,https://www.cdc.gov/global-health/impact/handwashing-stops-disease-community-settings.html,,original_id=1290; class=extracted_from_class_dataset
HEALTH_027,Health,,State launches Kenya National Public Health Institute to bolster disease prevention,Serikali yazindua Taasisi ya Kitaifa ya Afya ya Umma ya Kenya ili kuimarisha kinga dhidi ya magonjwa,,https://x.com/MOH_Kenya/status/1920383655970545932,,original_id=1291; class=extracted_from_class_dataset
HEALTH_028,Health,,"If you fee unweel, have a cold, a cough or fever, please call 719 or text *719#","Ikiwa unajisikia vibaya, una mafua, kikohozi au homa, tafadhali piga simu 719 au tuma ujumbe mfupi *719#",,https://www.facebook.com/MinstryofHealthKE/posts/what-should-i-do-if-i-have-symptoms-if-you-have-a-fever-coughing-and-shortness-o/3203122759732725/,,original_id=1292; class=extracted_from_class_dataset
HEALTH_029,Health,,"During this time, prisoners and remandees will not be presented to court.","Wakati huu, wafungwa na mahabusu hawatafikishwa mahakamani.",,https://judiciary.go.ke/press-statement-administrative-and-contingency-management-plan-to-mitigate-covid-19-in-kenyas-justice-sector/,,original_id=1294; class=extracted_from_class_dataset
HEALTH_030,Health,,Courts will continue to handle certificates of urgency and taking plea for serious cases.,Mahakama zitaendelea kushughulikia vyeti vya dharura na kupokea malalamiko ya kesi kubwa.,,https://www.instagram.com/reel/DTaOXSRjveM/,,original_id=1295; class=extracted_from_class_dataset
HEALTH_031,Health,,Judges in all stations will in the meantime review the deserving cases already identified by Prisons authorities and issue appropriate revision orders in an effort to decongest the prisons. Magistrate Courts will also review bail terms for those in remand.,Majaji katika vituo vyote kwa wakati huo huo watapitia kesi zinazostahili ambazo tayari zimetambuliwa na mamlaka ya Magereza na kutoa amri zinazofaa za marekebisho katika juhudi za kupunguza msongamano wa magereza. Mahakama za Mahakimu pia zitapitia masharti ya dhamana kwa wale walio mahabusu.,,https://judiciary.go.ke/press-statement-administrative-and-contingency-management-plan-to-mitigate-covid-19-in-kenyas-justice-sector/,,original_id=1296; class=extracted_from_class_dataset
HEALTH_032,Health,,"The Nyeri ELRC is closed from 24th August to 7th September 2020 due to two confirmed COVID-19 cases, with fumigation and staff self-quarantine underway. No certificates will be processed during this period. The court will reopen for virtual hearings on 21st September, with physical hearings expected to resume under the Presiding Judge’s supervision in early October.","Kituo cha ELRC cha Nyeri kimefungwa kuanzia tarehe 24 Agosti hadi 7 Septemba 2020 kutokana na visa viwili vilivyothibitishwa vya COVID-19, huku dawa ya kufukiza na kujitenga kwa wafanyakazi kukiwa kunaendelea. Hakuna vyeti vitakavyoshughulikiwa katika kipindi hiki. Mahakama itafunguliwa tena kwa ajili ya vikao vya mtandaoni tarehe 21 Septemba, huku vikao vya kimwili vikitarajiwa kuanza tena chini ya usimamizi wa Jaji Mkuu mapema Oktoba.",,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Kenya,,original_id=1297; class=extracted_from_class_dataset
HEALTH_033,Health,,"Kenya reports record daily jump in Covid-19 cases; 123 new infections from 3,077 samples tested.","Kenya inaripoti ongezeko kubwa la visa vya Covid-19 kila siku; maambukizi mapya 123 kutoka kwa sampuli 3,077 zilizopimwa.",,https://www.facebook.com/Hot96FMKenya/photos/kenya-reports-record-daily-jump-in-covid-19-cases-123-new-infections-from-3077-s/10157220211437045/,,original_id=1300; class=extracted_from_class_dataset
HEALTH_034,Health,,"Trump’s policy hits Kenyan health initiatives. Policy halts supply of HIV, Malaria and TB drugs. Move also affects medical supplies of newborn babies. Barasa: We’ll look for funding elsewhere if US pulls ou","Sera ya Trump inaathiri mipango ya afya ya Kenya. Sera inasimamisha usambazaji wa dawa za VVU, Malaria na TB. Hatua hiyo pia inaathiri vifaa vya matibabu vya watoto wachanga. Barasa: Tutatafuta ufadhili kwingineko ikiwa Marekani itaondoa",,https://www.facebook.com/dw.africa/posts/the-us-is-reshaping-its-global-health-policy-and-africa-is-feeling-the-impact-se/1324533273043895/,,original_id=1301; class=extracted_from_class_dataset
HEALTH_035,Health,,"Nigerian company to make HIV, malaria test kits after US funding cut",Kampuni ya Nigeria kutengeneza vifaa vya kupima VVU na malaria baada ya ufadhili wa Marekani kupunguzwa,,https://www.malariaworld.org/news/nigerian-company-to-make-hiv-malaria-test-kits-after-us-funding-cut,,original_id=1302; class=extracted_from_class_dataset
HEALTH_036,Health,,"Global Fund CEO requests Ruto to mobilise funds for HIV, TB & malaria","Mkurugenzi Mtendaji wa Mfuko wa Kimataifa amtaka Ruto kuchangisha fedha kwa ajili ya VVU, Kifua Kikuu na Malaria",,https://www.facebook.com/fredrick.nyaga.7/posts/%F0%9D%97%9A%F0%9D%97%9F%F0%9D%97%A2%F0%9D%97%95%F0%9D%97%94%F0%9D%97%9F-%F0%9D%97%99%F0%9D%97%A8%F0%9D%97%A1%F0%9D%97%97-%F0%9D%97%A6%F0%9D%97%98%F0%9D%97%98%F0%9D%97%9E%F0%9D%97%A6-%F0%9D%97%A5%F0%9D%97%A8%F0%9D%97%A7%F0%9D%97%A2%F0%9D%98%80-%F0%9D%97%9C%F0%9D%97%A1%F0%9D%97%A3%F0%9D%97%A8%F0%9D%97%A7-%F0%9D%97%A7%F0%9D%97%A2-%F0%9D%97%99%F0%9D%97%A8%F0%9D%97%A1%F0%9D%97%97%F0%9D%97%A5%F0%9D%97%94%F0%9D%97%9C%F0%9D%97%A6%F0%9D%97%98-%F0%9D%97%99%F0%9D%97%A2%F0%9D%97%A5-%F0%9D%97%9B%F0%9D%97%98%F0%9D%97%94%F0%9D%97%9F%F0%9D%97%A7%F0%9D%97%9Bthe-global-fund-has-sought-/29033700146228433/,,original_id=1303; class=extracted_from_class_dataset
HEALTH_037,Health,,"Kenya faces crisis as Trump’s Executive Order to cut supply of HIV, malaria drugs",Kenya inakabiliwa na mgogoro huku amri ya Trump ikipunguza usambazaji wa dawa za HIV na malaria,,https://www.facebook.com/hiiraanonlinepage/posts/kenya-faces-crisis-as-trumps-executive-order-to-cut-supply-of-hiv-malaria-drugs/1022659456573211/,,original_id=1304; class=extracted_from_class_dataset
HEALTH_038,Health,,KEMRI study shows ivermectin significantly reduces malaria transmission,Utafiti wa KEMRI unaonyesha ivermectin hupunguza kwa kiasi kikubwa maambukizi ya malaria,,https://www.isglobal.org/en/-/el-ensayo-clinico-bohemia-respalda-el-uso-de-la-ivermectina-para-controlar-la-malaria,,original_id=1305; class=extracted_from_class_dataset
HEALTH_039,Health,,Health PS distributes mosquito nets in Busia County. Malaria prevalence in Busia stands at 39%. 22 counties targeted in latest campaign,Katibu Mkuu wa Afya asambaza vyandarua katika Kaunti ya Busia. Kiwango cha malaria huko Busia kimefikia 39%. Kaunti 22 zimelengwa katika kampeni ya hivi karibuni,,https://www.facebook.com/CitizenTVKe/posts/fighting-malariahealth-ps-distributes-mosquito-nets-in-busia-county-malaria-prev/1062521015233239/,,original_id=1306; class=extracted_from_class_dataset
HEALTH_040,Health,,The cost of targeted testing for Covid-19 and government quarantine facilities shall be met by the government effective today. Kenyans should not be afraid to get tested,Gharama ya upimaji unaolengwa wa Covid-19 na vituo vya karantini vya serikali italipwa na serikali kuanzia leo. Wakenya hawapaswi kuogopa kupimwa.,,https://www.facebook.com/MinstryofHealthKE/photos/the-cost-of-targeted-covid-19-testing-and-quarantine-facilities-shall-hence-fort/3281234988588168/,,original_id=1307; class=extracted_from_class_dataset
HEALTH_041,Health,,"Cessation of movement in Nairobi Metropolitan Area, Mombasa and Mandera extended by a month, bars to remain closed for another 30 days","Kusitishwa kwa usafiri katika Eneo la Jiji la Nairobi, Mombasa na Mandera kwaongezwa kwa mwezi mmoja, baa zitaendelea kufungwa kwa siku 30 zaidi",,https://www.facebook.com/RadioCitizenFM/posts/cessation-of-movement-in-nairobi-mombasa-and-mandera-extended-by-a-month-bars-to/3117475058320492/,,original_id=1308; class=extracted_from_class_dataset
HEALTH_042,Health,,"Today, we have recorded 447 new positive cases out of 3803 samples bringing the total of positive cases in the country to 8,975. Tested samples in the country are now over 200,000","Leo, tumerekodi visa vipya 447 chanya kati ya sampuli 3803 na kufikisha jumla ya visa chanya nchini kufikia 8,975. Sampuli zilizojaribiwa nchini sasa zina zaidi ya 200,000.",,https://x.com/MOH_Kenya/status/1281217395709837312,,original_id=1309; class=extracted_from_class_dataset
HEALTH_043,Health,,"Gov’t extends nationwide curfew, ban on public gatherings until May 29","Serikali yaongeza muda wa kutotoka nje nchini kote, kupiga marufuku mikusanyiko ya umma hadi Mei 29",,https://www.aljazeera.com/news/2021/7/30/kenya-bans-in-person-meetings-public-gatherings-as-covid-surges,,original_id=1310; class=extracted_from_class_dataset
HEALTH_044,Health,,"2,169 people test positive for COVID-19 from 9,428 samples, positivity rate at 23pc; MoH says no death recorded","Watu 2,169 wamepatikana na virusi vya COVID-19 kutoka kwa sampuli 9,428, kiwango cha walioambukizwa kikiwa asilimia 23; Wizara ya Afya yasema hakuna kifo kilichorekodiwa",,https://www.facebook.com/InooroFMKenya/posts/2169-people-test-positive-for-covid-19-from-9428-samples-positivity-rate-at-23pc/5371074622968189/,,original_id=1311; class=extracted_from_class_dataset
HEALTH_045,Health,,Magoha says Ksh.1B needed to buy masks for schools,Magoha anasema Ksh.1B zinahitajika kununua barakoa kwa ajili ya shule,,https://www.facebook.com/misikbobby/posts/we-need-ksh-1b-to-buy-masks-for-schools-cs-maghoha/3610911975594097/,,original_id=1312; class=extracted_from_class_dataset
HEALTH_046,Health,,There will be no air-lifting people from counties to Nairobi…There will be no capacity to be brought to Nairobi for treatment as Nairobi itself will be already overwhelmed…Where we are heading is unpredictable. It is better to be ready than to be sorry,Hakutakuwa na watu wanaosafiri kwa ndege kutoka kaunti hadi Nairobi…Hakutakuwa na uwezo wa kuletwa Nairobi kwa matibabu kwani Nairobi yenyewe itakuwa tayari imezidiwa…Tunakoelekea hakutabiriki. Ni bora kuwa tayari kuliko kujuta.,,https://www.facebook.com/newschannel5/posts/kenyas-health-minister-on-tuesday-ordered-the-suspension-of-the-construction-of-/1492058082965294/,,original_id=1313; class=extracted_from_class_dataset
HEALTH_047,Health,,Nationwide dusk to dawn curfew extended by 21 days in a bid to tame Covid-19 spread,Amri ya kutotoka nje ya nchi nzima kuanzia jioni hadi alfajiri yaongezwa kwa siku 21 ili kupunguza kuenea kwa Covid-19,,https://www.facebook.com/InteriorMinistryKenya/posts/the-nationwide-dusk-to-dawn-curfew-has-now-been-extended-by-21-more-days-as-one-/3092293194167460/,,original_id=1314; class=extracted_from_class_dataset
HEALTH_048,Health,,"20 doctors from Cuba set to arrive in Nairobi tonight, Health CS Kagwe says they will be stationed at Kenyatta University Hospital for 6 months to help manage the Covid-19 pandemic.","Madaktari 20 kutoka Cuba wanatarajiwa kuwasili Nairobi usiku wa leo, Waziri wa Afya Kagwe anasema watakuwa katika Hospitali ya Chuo Kikuu cha Kenyatta kwa miezi 6 ili kusaidia kudhibiti janga la Covid-19.",,https://www.facebook.com/fredrick.nyaga.7/posts/20-doctors-from-cuba-set-to-arrive-in-nairobi-tonight-health-cs-kagwe-says-they-/4310040135687777/,,original_id=1315; class=extracted_from_class_dataset
HEALTH_049,Health,,"Launch of fortified maize, soy blend distributed across primary schools to address undernutrition.",Uzinduzi wa mchanganyiko wa mahindi na soya ulioimarishwa umesambazwa katika shule za msingi ili kukabiliana na utapiamlo.,,https://www.nutritionintl.org/wp-content/uploads/2020/12/Kenya-Food-Fortification_FINAL_2020-11-02_WEB-1.pdf,,original_id=1316; class=extracted_from_class_dataset
HEALTH_050,Health,,"Launch of voluntary certification recognizing employers who implement nutrition, mental health, and fitness standards.","Uzinduzi wa cheti cha hiari kinachowatambua waajiri wanaotekeleza viwango vya lishe, afya ya akili, na siha.",,https://www.facebook.com/MinstryofHealthKE/posts/%F0%9D%90%8A%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%B2%F0%9D%90%9A-%F0%9D%90%A5%F0%9D%90%9A%F0%9D%90%AE%F0%9D%90%A7%F0%9D%90%9C%F0%9D%90%A1%F0%9D%90%9E%F0%9D%90%AC-%F0%9D%90%9C%F0%9D%90%A8%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%A2%F0%9D%90%A7%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%A5-%F0%9D%90%A6%F0%9D%90%9E%F0%9D%90%A7%F0%9D%90%AD%F0%9D%90%9A%F0%9D%90%A5-%F0%9D%90%A1%F0%9D%90%9E%F0%9D%90%9A%F0%9D%90%A5%F0%9D%90%AD%F0%9D%90%A1-%F0%9D%90%A5%F0%9D%90%9E%F0%9D%90%9A%F0%9D%90%9D%F0%9D%90%9E%F0%9D%90%AB%F0%9D%90%AC%F0%9D%90%A1%F0%9D%90%A2%F0%9D%90%A9-%F0%9D%90%A9%F0%9D%90%AB%F0%9D%90%A8%F0%9D%90%A0%F0%9D%90%AB%F0%9D%90%9A%F0%9D%90%A6%F0%9D%90%A6%F0%9D%90%9Ethe-ministry-of-hea/1353961846758759/,,original_id=1317; class=extracted_from_class_dataset
HEALTH_051,Health,,Introduction of postpartum exercise and nutrition support groups led by physiotherapists and dietitians.,Utangulizi wa mazoezi ya baada ya kujifungua na vikundi vya usaidizi wa lishe vinavyoongozwa na wataalamu wa tiba ya viungo na wataalamu wa lishe.,,https://www.health.go.ke/health-ministry-launches-mms-research-agenda-boost-maternal-nutrition,,original_id=1318; class=extracted_from_class_dataset
HEALTH_052,Health,,Announcement encouraging daily consumption of five fruit/veg portions for wellness and disease prevention.,Tangazo la kuhimiza ulaji wa kila siku wa sehemu tano za matunda/mboga kwa ajili ya ustawi na kinga dhidi ya magonjwa.,,https://pmc.ncbi.nlm.nih.gov/articles/PMC9222637/,,original_id=1319; class=extracted_from_class_dataset
HEALTH_053,Health,,Pilot providing mobile seed kits and training to women's groups to grow nutritious food in informal settlements.,Pilot akitoa vifaa vya mbegu vinavyohamishika na mafunzo kwa vikundi vya wanawake ili kukuza chakula chenye lishe katika makazi yasiyo rasmi.,,https://www.ennonline.net/fex/76/en/empowering-community-groups-improve-nutrition-baringo-county-kenya,,original_id=1320; class=extracted_from_class_dataset
