PSA_ID,Domain,English,Kiswahili,Ekegusii,Somali,Dholuo,Target_Languages,Source,Date,Metadata
SEC_0011,Security & Safety,The Authority clarifies that mandatory physical fitness tests for PSV and commercial drivers have not yet been rolled out. Any official implementation will be communicated through a formal Public Notice and the Authority's official channels.,Mamlaka inafafanua kuwa vipimo vya lazima vya utimamu wa mwili kwa PSV na viendeshi vya kibiashara bado havijaanza. Utekelezaji wowote rasmi utawasilishwa kupitia Notisi rasmi kwa Umma na njia rasmi za Mamlaka.,,,,,NTSA (National Transport and Safety Authority),2026-01-28,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0012,Security & Safety,"The Road Safety Cyclist Competition at Nakuru Showground — themed Share the Road, Save Lives — brought together cyclists, drivers, pedestrians and boda boda riders to promote safer coexistence on Kenyan roads.","Shindano la Wapanda Baiskeli wa Usalama Barabarani katika Uwanja wa Maonyesho wa Nakuru - lenye mada ya Shiriki Barabarani, Okoa Maisha - lilileta pamoja waendesha baiskeli, madereva, watembea kwa miguu na waendesha bodaboda ili kukuza kuishi pamoja kwa usalama katika barabara za Kenya.",,,,,NTSA (National Transport and Safety Authority),2025-11-30,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0013,Security & Safety,"Kenya's innovation in public service has earned continental acclaim at the APSCA Awards, with NTSA recognized for leading the nation's digital transformation journey toward smarter, paperless governance.","Ubunifu wa Kenya katika utumishi wa umma umepata sifa katika bara la Afrika katika Tuzo za APSCA, huku NTSA ikitambuliwa kwa kuongoza safari ya taifa ya mageuzi ya kidijitali kuelekea utawala bora na usio na karatasi.",,,,,NTSA (National Transport and Safety Authority),2025-10-13,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0014,Security & Safety,"The deadline for submission of comments on the proposed 2025 Traffic & Transport Regulations has been extended to Tuesday, 22nd July 2025. All previous submissions must be re-sent using the prescribed formats to ensure proper review.","Tarehe ya mwisho ya kuwasilisha maoni kuhusu Kanuni za Trafiki na Usafiri zinazopendekezwa za 2025 imeongezwa hadi Jumanne, Julai 22, 2025. Mawasilisho yote ya awali lazima yatumwe tena kwa kutumia fomati zilizowekwa ili kuhakikisha ukaguzi ufaao.",,,,,NTSA (National Transport and Safety Authority),2025-07-07,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0015,Security & Safety,"In line with a government directive, all MDAs are required to apply for reflective plates through the NTSA portal. The application deadline is set for Friday, August 29, 2025.","Kwa mujibu wa agizo la serikali, MDAs zote zinahitajika kutuma maombi ya kuakisi data kupitia tovuti ya NTSA. Tarehe ya mwisho ya kutuma maombi imepangwa kuwa Ijumaa, Agosti 29, 2025.",,,,,NTSA (National Transport and Safety Authority),2025-06-02,tone=advisory; platform=website; category=Services; sub_category=Road Safety
SEC_0016,Security & Safety,Microsoft issued an emergency patch for a high-severity zero-day vulnerability in Office that allows attackers to bypass document security checks and is being exploited in the wild via malicious files.,Microsoft ilitoa kiraka cha dharura kwa hatari ya juu ya siku sifuri katika Ofisi ambayo inaruhusu washambuliaji kukwepa ukaguzi wa usalama wa hati na inatumiwa porini kupitia faili hasidi.,,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-06-16,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0017,Security & Safety,"A critical software supply chain attack has compromised the popular Axios package on npm, exposing developers and organizations worldwide to potential system compromise through malicious dependency injection.","Shambulio muhimu la ugavi wa programu limehatarisha kifurushi maarufu cha Axios kwenye npm, na kuwaweka wazi wasanidi programu na mashirika ulimwenguni kote kwa maelewano ya mfumo kupitia sindano hasidi ya utegemezi.",,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-04-22,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0018,Security & Safety,A high-severity vulnerability is being exploited in the wild. Urgent patching is advised.,Udhaifu wa hali ya juu unatumiwa porini. Kuweka viraka haraka kunapendekezwa.,,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-03-31,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0019,Security & Safety,NC4 has identified a coordinated phishing campaign targeting citizens through cloned service portals.,NC4 imetambua kampeni iliyoratibiwa ya hadaa inayolenga raia kupitia lango za huduma zilizobuniwa.,,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-03-02,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0020,Security & Safety,Online Shopping.,Ununuzi mtandaoni.,,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-03-02,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0021,Security & Safety,Cisco Security Updates – October 2024.,Sasisho za Usalama za Cisco - Oktoba 2024.,,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-03-02,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0022,Security & Safety,"Mozilla has released security updates to address vulnerabilities in Firefox, Firefox ESR, and Thunderbird. These vulnerabilities could be exploited by cyber threat actors to take control of affected systems.","Mozilla imetoa masasisho ya usalama ili kushughulikia udhaifu katika Firefox, Firefox ESR, na Thunderbird. Udhaifu huu unaweza kutumiwa na watendaji wa tishio la mtandao kuchukua udhibiti wa mifumo iliyoathiriwa.",,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-03-02,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0023,Security & Safety,Microsoft has released security updates to address vulnerabilities in various software products.,Microsoft imetoa masasisho ya usalama ili kushughulikia udhaifu katika bidhaa mbalimbali za programu.,,,,,NC4 (National Computer and Cybercrime Coordination Committee),2026-03-02,tone=advisory; platform=website; alert_type=cybersecurity; sub_category=Cybersecurity
SEC_0024,Security & Safety,DPP Reaffirms his commitment to supporting judicial reforms.,DPP Inathibitisha tena kujitolea kwake kuunga mkono mageuzi ya mahakama.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-07-17,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0025,Security & Safety,"ODPP, NCA Strengthen Partnership to Combat Illegal Construction and Enhance Public Safety.","ODPP, NCA Imarisha Ubia Ili Kupambana na Ujenzi Haramu na Kuimarisha Usalama wa Umma.",,,,,ODPP (Office of the Director of Public Prosecutions),2026-07-08,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0026,Security & Safety,DPP Calls for Increased Public Awareness to Combat Rising Human Trafficking Cases.,DPP Atoa Wito wa Kuongeza Mwamko kwa Umma Kupambana na Kesi Zinazoongezeka za Usafirishaji Haramu wa Binadamu.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-07-07,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0027,Security & Safety,DPP Calls for Unified Action Against Human Trafficking in the Horn of Africa.,DPP Yatoa Wito wa Kuchukuliwa Hatua kwa Pamoja Dhidi ya Usafirishaji Haramu wa Binadamu katika Pembe ya Afrika.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-06-23,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0028,Security & Safety,DPP Ingonga officiates inauguration of APA's Permanent Headquaters in Rabat to Strengthen Prosecutorial Cooperation Across Africa.,DPP Ingonga aongoza uzinduzi wa Makao Makuu ya Kudumu ya APA mjini Rabat ili Kuimarisha Ushirikiano wa Mashtaka Barani Afrika.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-06-10,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0029,Security & Safety,DPP Reaffirms Kenya's Commitment to Global Fight Against Environmental Crimes.,DPP Yathibitisha Kujitolea kwa Kenya Kupambana na Uhalifu wa Mazingira Duniani.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-05-12,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0030,Security & Safety,"DPP Hosts FBI Deputy Director as Kenya, United States Deepen Cooperation.","DPP Huwakaribisha Naibu Mkurugenzi wa FBI kama Kenya, Marekani Ushirikiano wa Kina.",,,,,ODPP (Office of the Director of Public Prosecutions),2026-05-12,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0031,Security & Safety,"DPP Ingonga, LSK Leadership Forge Stronger Ties to Boost Justice Delivery.","DPP Ingonga, Uongozi wa LSK Waanzisha Mahusiano Madhubuti Kuimarisha Utoaji Haki.",,,,,ODPP (Office of the Director of Public Prosecutions),2026-04-27,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0032,Security & Safety,DPP Ingonga Rallies Partners to Strengthen Kenya's Prosecution Services.,DPP Ingonga Afanya Mkutano wa Washirika Kuimarisha Huduma za Mashtaka nchini Kenya.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-04-07,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0033,Security & Safety,ODPP Intensifies Prosecutorial capacity to Support Kenya's Exit from FATF Grey List.,ODPP Yaongeza uwezo wa Kiendesha Mashtaka Kusaidia Kujiondoa kwa Kenya kwenye Orodha ya Kijivu ya FATF.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-02-27,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0034,Security & Safety,"DPP, Italian Ambassador Hold Talks to Strengthen Kenya–Italy Cooperation in Criminal Justice.","DPP, Balozi wa Italia Afanya Mazungumzo ya Kuimarisha Ushirikiano wa Kenya na Italia katika Haki ya Jinai.",,,,,ODPP (Office of the Director of Public Prosecutions),2026-02-02,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0035,Security & Safety,ODPP Launches Guide to Child-Friendly Interviewing to Strengthen Protection of Children in the Justice System.,ODPP Yazindua Mwongozo wa Mahojiano ya Rafiki kwa Mtoto ili Kuimarisha Ulinzi wa Watoto katika Mfumo wa Haki.,,,,,ODPP (Office of the Director of Public Prosecutions),2026-02-02,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0036,Security & Safety,DPP Ingonga Urges Unified Approach to Safeguard Witnesses Across Africa.,DPP Ingonga Ahimiza Njia Moja ya Kulinda Mashahidi Kote Afrika.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-11-26,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0037,Security & Safety,DPP Ingonga lauds role of women at ODPP Nyanza Region Ladies Conference.,DPP Ingonga apongeza nafasi ya wanawake katika Mkutano wa Wanawake wa ODPP Mkoa wa Nyanza.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-11-03,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0038,Security & Safety,DPP and Equality Effect Deepen Partnership to Empower Prosecutors and Advance Justice for Girls.,DPP na Athari ya Usawa Zinaongeza Ubia ili Kuwawezesha Waendesha Mashtaka na Kuendeleza Haki kwa Wasichana.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-10-29,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0039,Security & Safety,DPP Strengthens Kenya–U.S. Justice Collaboration.,DPP Yaimarisha Kenya–U.S. Ushirikiano wa Haki.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-10-29,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0040,Security & Safety,DPP Strengthens Partnership with UN Human Rights Office in Advancing Justice.,DPP Inaimarisha Ushirikiano na Ofisi ya Umoja wa Mataifa ya Haki za Kibinadamu katika Kuendeleza Haki.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-08-26,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0041,Security & Safety,ODPP Pledges Stronger Collaboration with LSK in Fight Against Corruption at Annual Conference.,ODPP Yaahidi Ushirikiano Imara Zaidi na LSK katika Mapambano Dhidi ya Ufisadi katika Kongamano la Kila Mwaka.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-08-19,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0042,Security & Safety,DPP Renson Ingonga Calls for Regional Collaboration in Combating Emerging Crimes.,DPP Renson Ingonga Atoa Wito wa Ushirikiano wa Kikanda katika Kupambana na Uhalifu Unaoibuka.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-08-14,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0043,Security & Safety,DPP Launches Specialized Training to Strengthen Justice for Child Victims of Defilement.,DPP Azindua Mafunzo Maalumu ya Kuimarisha Haki kwa Watoto Waathiriwa wa Unajisi.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-08-11,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0044,Security & Safety,ODPP Leads Anti-Trafficking Sensitization in Garissa as Kenya Marks World Day Against Trafficking in Persons.,ODPP Yaongoza Uhamasishaji wa Kupambana na Usafirishaji Haramu wa binadamu huko Garissa huku Kenya ikiadhimisha Siku ya Kimataifa ya Kupinga Usafirishaji Haramu wa Binadamu.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-08-05,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0045,Security & Safety,DPP Renson Ingonga Urges Legal Awareness and Empowerment for the Maa Boychild.,DPP Renson Ingonga Ahimiza Uhamasishaji wa Kisheria na Uwezeshaji wa Maa Boychild.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-08-01,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0046,Security & Safety,"ODPP, IJM Train Prosecutors on Decision to Charge Guidelines to Enhance Justice Delivery.","ODPP, IJM Wafunza Waendesha Mashtaka Kuhusu Uamuzi wa Kutoza Miongozo ya Kuboresha Utoaji Haki.",,,,,ODPP (Office of the Director of Public Prosecutions),2025-07-31,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0047,Security & Safety,"ODPP Validates Guide to Child-Friendly Interviewing, Reinforces Commitment to Child Protection.","ODPP Inathibitisha Mwongozo wa Mahojiano Yanayofaa Mtoto, Huimarisha Ahadi ya Ulinzi wa Mtoto.",,,,,ODPP (Office of the Director of Public Prosecutions),2025-07-31,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0048,Security & Safety,Regional leaders unite to strengthen fight against sexual and gender-based violence.,Viongozi wa kanda kuungana kuimarisha mapambano dhidi ya unyanyasaji wa kijinsia na kijinsia.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-07-10,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0049,Security & Safety,Kenya and Mozambique Deepen Cooperation in Fight Against Transnational Organized Crime.,Kenya na Msumbiji Zaongeza Ushirikiano Katika Kupambana Dhidi ya Uhalifu uliopangwa wa Kimataifa.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-06-03,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0050,Security & Safety,DPP hosts his Zambian counterpart.,DPP inamkaribisha mwenzake wa Zambia.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-05-26,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0051,Security & Safety,DPP delivers keynote lecture at the National Defence College.,DPP atoa mhadhara mkuu katika Chuo cha Taifa cha Ulinzi.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-05-20,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0052,Security & Safety,DPP engages IJM leadership on enhancing partnership and justice sector collaboration.,DPP inashirikisha uongozi wa IJM katika kuimarisha ushirikiano na sekta ya haki.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-05-13,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0053,Security & Safety,DPP hosts a delegation from the United States Department of Justice (USDOJ).,DPP ni mwenyeji wa wajumbe kutoka Idara ya Sheria ya Marekani (USDOJ).,,,,,ODPP (Office of the Director of Public Prosecutions),2025-05-08,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0054,Security & Safety,"DPP, Refugee Consortium of Kenya, (RCK) engage on Strategic Partnership.","DPP, Muungano wa Wakimbizi wa Kenya, (RCK) wanashiriki katika Ushirikiano wa Kimkakati.",,,,,ODPP (Office of the Director of Public Prosecutions),2025-05-07,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0055,Security & Safety,𝐎𝐃𝐏𝐏 𝐞𝐱𝐩𝐥𝐨𝐫𝐞𝐬 𝐚 𝐜𝐨𝐨𝐫𝐝𝐢𝐧𝐚𝐭𝐞𝐝 𝐚𝐩𝐩𝐫𝐨𝐚𝐜𝐡 𝐢𝐧 𝐭𝐡𝐞 𝐟𝐢𝐠𝐡𝐭 𝐚𝐠𝐚𝐢𝐧𝐬𝐭 𝐭𝐞𝐫𝐫𝐨𝐫𝐢𝐬𝐦.,𝐎𝐃𝐏𝐏 𝐞𝐱𝐩𝐥𝐨𝐫𝐞𝐬 𝐚 𝐜𝐨𝐨𝐫𝐝𝐢𝐧𝐚𝐞𝐞 𝐚𝐩𝐩𝐫𝐨𝐚𝐜𝐡 𝐢𝐧 𝐭𝐡𝐞 𝐟𝐢𝐠𝐡𝐭 𝐚𝐠𝐚𝐬𝐬 𝐭𝐞𝐫𝐫𝐨𝐫𝐢𝐬𝐦.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-05-06,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0056,Security & Safety,DPP meets EU Ambassador Henriette Geiger to discuss the progress of the PLEAD Justice Programme.,DPP inakutana na Balozi wa EU Henriette Geiger kujadili maendeleo ya Mpango wa Haki wa PLEAD.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-03-26,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0057,Security & Safety,ODPP Hosts South Sudan Anti-Corruption Commission Delegation for Benchmarking Exercise.,ODPP Yaandaa Ujumbe wa Tume ya Kupambana na Ufisadi ya Sudan Kusini kwa Mazoezi ya Kuweka Vigezo.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-03-19,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0058,Security & Safety,𝐎𝐃𝐏𝐏 𝐇𝐨𝐬𝐭𝐬 𝐃𝐞𝐥𝐞𝐠𝐚𝐭𝐢𝐨𝐧 𝐟𝐫𝐨𝐦 𝐒𝐭𝐚𝐭𝐞 𝐃𝐞𝐩𝐚𝐫𝐭𝐦𝐞𝐧𝐭 𝐟𝐨𝐫 𝐌𝐢𝐧𝐢𝐧𝐠 𝐭𝐨 𝐒𝐭𝐫𝐞𝐧𝐠𝐭𝐡𝐞𝐧 𝐅𝐢𝐠𝐡𝐭 𝐀𝐠𝐚𝐢𝐧𝐬𝐭 𝐈𝐥𝐥𝐞𝐠𝐚𝐥 𝐌𝐢𝐧𝐢𝐧𝐠 𝐢𝐧 𝐊𝐞𝐧𝐲𝐚.,𝐎𝐃𝐏𝐏 𝐇𝐨𝐬𝐭𝐬 𝐃𝐞𝐥𝐞𝐠𝐚𝐭𝐢𝐨𝐧 𝐟𝐭𝐬𝐦𝐦 𝐃𝐞𝐩𝐚𝐫𝐭𝐦𝐞𝐧𝐭 𝐟𝐨𝐫 𝐌𝐢𝐧𝐢𝐧𝐠 𝐟𝐨𝐫 𝐌𝐢𝐧𝐢𝐧𝐠 𝐭𝐨 𝐒𝐭𝐫𝐞𝐧𝐠𝐭𝐡𝐞𝐧 𝐅𝐢𝐠𝐡𝐭 𝐀𝐠𝐚𝐢𝐧𝐬𝐭 𝐈𝐥𝐥𝐞𝐠𝐚𝐥 𝐌𝐢𝐧𝐢𝐧𝐠 𝐢𝐧 𝐊𝐞𝐧𝐲𝐚.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-03-18,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0059,Security & Safety,DPP Reaffirms Commitment to Tackling Illegal Petroleum Activities in Kenya.,DPP Yathibitisha Upya Kujitolea Kushughulikia Shughuli Haramu za Mafuta nchini Kenya.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-03-15,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0060,Security & Safety,𝐎𝐃𝐏𝐏 𝐂𝐨𝐧𝐝𝐮𝐜𝐭𝐬 𝐂𝐨𝐦𝐦𝐮𝐧𝐢𝐭𝐲 𝐃𝐢𝐚𝐥𝐨𝐠𝐮𝐞 𝐢𝐧 𝐍𝐲𝐞𝐫𝐢 𝐭𝐨 𝐏𝐫𝐨𝐦𝐨𝐭𝐞 𝐏𝐞𝐨𝐩𝐥𝐞-𝐂𝐞𝐧𝐭𝐞𝐫𝐞𝐝 𝐏𝐫𝐨𝐬𝐞𝐜𝐮𝐭𝐢𝐨𝐧 𝐒𝐞𝐫𝐯𝐢𝐜𝐞𝐬.,𝐎𝐃𝐏𝐏 𝐂𝐨𝐧𝐝𝐮𝐜𝐭𝐬 𝐂𝐨𝐦𝐦𝐮𝐧𝐢𝐭𝐲 𝐃𝐢𝐚𝐥𝐨𝐠𝐮𝐞 𝐢𝐧 𝐍𝐲𝐞𝐫𝐢 𝐭𝐨 𝐏𝐫𝐨𝐦𝐘 𝐏𝐞𝐨𝐩𝐥𝐞-𝐂𝐞𝐧𝐭𝐞𝐫𝐞𝐝 𝐏𝐫𝐨𝐬𝐞𝐜𝐮𝐭𝐝 𝐒𝐞𝐫𝐯𝐢𝐜𝐞𝐬.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-03-15,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0061,Security & Safety,ODPP scoop four prestigious awards during Annual National Diversity and Inclusion Awards and Recognition (DIAR) Gala Dinner and Award Ceremony.,ODPP wanyakua tuzo nne za kifahari wakati wa Tuzo za Kila Mwaka za Kitaifa za Anuwai na Ushirikishwaji na Utambuzi (DIAR) Gala Dinner na Sherehe ya Tuzo.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-03-06,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0062,Security & Safety,ODPP and United States Drug Enforcement Administration (DEA) strengthen bilateral cooperation in the fight against transnational organized crime.,ODPP na Mamlaka ya Kupambana na Dawa za Kulevya Marekani (DEA) kuimarisha ushirikiano wa nchi mbili katika mapambano dhidi ya uhalifu uliopangwa wa kimataifa.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-03-04,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
SEC_0063,Security & Safety,DPP bags award at Digital Transformation Forum.,DPP atunukiwa tuzo kwenye Jukwaa la Mabadiliko ya Kidijitali.,,,,,ODPP (Office of the Director of Public Prosecutions),2025-02-28,tone=official; platform=website; category=news_update; sub_category=Public Prosecution
