word,ipa,swahili_gloss,swahili_pos,english_gloss,english_pos,line_no
abatondereria,a ꞵ atondere ɾ ia,Ekr. wachongoanishi,kv,inciters,n,524
abe,a ꞵ ɛ,,,,,525
to,,,,,,525
egekora,,,,,,525
abera,a ꞵ e ɾ a,Huchemka,kt,it boils,v,526
abera,a ꞵ e ɾ a,rekebisha kisaga,kt,mend eg ephah,v,527
abera,a ꞵ e ɾ a,samehea,kt,forgive,v,528
abera,a ꞵ ɛ : ɾ a,,,,,529
abeka,a ꞵ eka,anaweka.anatia,kt,he.she put,v,530
abengererigwe,a ꞵ e ŋ e ɾ e ɾ i ɣ we,asukuma,kt,amekwishasukuma kt. be pushed. egekorwa giokoinyorwa nao okoinyoria omonto takora igo. tagosaba nyasae.engoro abengererigwe n’obosianti.n’oborogi bwaye asambwe,v,531
aboeria,a ꞵ ɔɛɾ ia,hulelea a,kt,to raise,v,532
aboerigwa,,hulelewa,kt,to raise for someone else,v,532
aboia,a ꞵ ɔ ia,huvisha,kt,he dresses,v,533
aboigwa egkr. avishwa kt. bought for nice clothes. aboeria,,avishwa,kt,bought for nice clothes. aboeria /a ꞵ ɔɛɾ ia/ egkr. huvalishia kt. he buys clothes for,v,533
aboerigwa,,v a lishiw a (watoto) nguo,kt,get dressed for,v,533
aboia,a ꞵ ɔ ia,,,,,534
aboerigwa,,hunenepeshewa,kt,grazed for,v,534
aboia,a ꞵ ɔ ia,fungisha,kt,to tie,v,535
aboyeria,a ꞵ o:je ɾ ia,huwaletea,kt,he brings for,v,536
aboyerigwa,,waletewa,kt,he is brought for,v,536
aboyerigwa,,waletewa,kt,brought for,v,536
aboyeria,a ꞵ oje ɾ ia,ert. wadoezi,kv,nmn beggars,n,537
aboyerigwa,,,,,,537
ab’oyia 1 .,a ꞵ ojia,,,,,538
escort,,/huwaleta,kt,He brought them,v,538
ab’oyigwa,,,,,,538
aboyigwa,,ert. waletwao,kv,nmn. those who are brought,n,538
abwo,a ꞵ wo,,,,,539
achachi,à ʧ a: ʧ ì,,,,,540
achere,à ʧ e: ɾ e,,,,,541
achire,à: ʧ i ɾ e,atakapokuja,kt,when he or she comes,v,542
achire,à ʧ i: ɾ e,akitoka,kt,when he.she leaves,v,543
achire,à ʧ i ɾ e,,,,,544
achiire,a ʧ i: ɾ e,,,,,545
aga -,a ɣ a,,,,,546
aga,a ɣ a,ngoa kwekwe,kt,to weed,v,547
okwagera,,,,,,547
aga,a ɣ a,sakama au kwama,kt,to get stuck,v,548
agacha,a ɣ a: ʧ a,jenga,kt,"build, construct",v,549
agacha,a ɣ a ʧ a,huweka,kt,he.she keeps,v,550
agachache,a ɣ a ʧ a: ʧ e,ekr. kudunisha mtu wa ukoo wa chache,nmn,kv. pejorative term for a person from chache clan a dj,n,551
agachege,a ɣ a ʧ e ɣ e,,,,,552
agachena,a ɣ a ʧ enà,alitakasa,kt,"he.she cleansed, purify",v,553
agachia,a ɣ a ʧ ia,elekea,kt,he.she went,v,554
agachina,a ɣ a ʧ i:nà,,,,,555
agachona,a ɣ a ʧɔ :nà,,,,,556
agachonia,a ɣ a ʧɔ nià,,,,,557
agachanchabe,a ɣ a ʧ an ʧ a ꞵ e,Kakichepe,nmn,tiny rag,v,558
a gachandua,a ɣ a ʧ andwa,alisumbuliwa,kt,he.she was made to suffer,v,559
agachara,a ɣ a ʧ a ɾ a,kikucha,nmn,small finger,n,560
a gachara,a ɣ a ʧ a ɾ a,baradhuli,kv,simpleton,adj,561
agachie,a ɣ a ʧ ie,,,,,562
agachonoka,a ɣ a ʧ onokà,,,,,563
agachuchu,a ɣ a ʧ u ʧ u,kijifaranga,nmn,a small chick,n,564
agachuchu,a ɣ a ʧ u ʧ u,,,,,565
agachuni,a ɣ a ʧ u:ni,kidudu,nmn,small insect,n,566
agaga,a ɣ a: ɣ a,babaika.hangaika,kt,panic,v,567
agaga,a ɣ a: ɣ a,,,,,568
a gaisia,a ɣ aisia,kakijana,nmn,a small boy.lad,n,569
agakabu,a ɣ aka: ꞵ u,kijikapu,nmn,a small basket,n,570
agake,a ɣ ake,,,,,571
akerakeria,ake ɾ ake ɾ ia,alilaghai,kt,"flattered, hoodwink, cheat",v,572
agakima,a ɣ akima,sima dogo,nmn,small portion of ugali/crude porridge,n,573
agako,a ɣ ak ɔ,kashemeji,nmn,a belittled relative-in-law,n,574
agako,a ɣ ak ɔ,,,,,575
agakora,a ɣ ako ɾ a,akafanya,kt,he. she did,v,576
agakora,a ɣ ako: ɾ a,akamaliza,kt,he.she finished,v,577
agakorekana,a ɣ ako ɾ ekana,,,,,578
agakorekana,a ɣ ak ɔɾɛ kana,yakatendeka.yalitendeka,kt,it happened,v,579
agakori,a ɣ ako: ɾ i,Kichochoro,nmn,a small path,n,580
agakori,a ɣ ak o ɾ i,"kakifandugu, kitokono",nmn,small coccyx,n,581
agakoro,a ɣ ako ɾ o,,,,,582
agakoyakoyia,a ɣ ako ȷ a ȷ ia,alilaghai,kt,he.she flattered,v,583
agakuma,a ɣ akumia,yakavuma,kt,it spread,v,584
agakuneko,a ɣ aku:neko,Kijikifuniko,nmn,a small cap/lid,n,585
agakura,a ɣ aku ɾ a,Kibonde,nmn,"a small valley, hollow, dell, dean, depression",n,586
agakuura,a ɣ aku: ɾ a,alipiga mayowe,kt,he shouted,v,587
(=agachachana),,,,,,587
agakura,a ɣ aku ɾ a,"alikwaruza, chubua",kt,"he scratched, abrade, burrowed",v,588
aganania,a ɣ anania,"fumania, vizia",kt,meet unexpectedly. chance upon. ambush,v,589
aganchari,a ɣ an ʧ a ɾ i,,,,,590
agara,a ɣ a ɾ a,kua,kt,to grow,v,591
agara,a ɣ a ɾ a,leta,kv,fetch,v,592
agasa,a ɣ asa,bila,kv,without,adj,593
agasa,a ɣ asa,,,,,594
agasabo,a ɣ asa: ꞵ o,kangozi,nmn,small skin,n,595
agasabo,a ɣ asa ꞵ o,katanzu,nmn,small branch,n,596
agasagara,a ɣ asa ɣ a ɾ a,kijusi,nmn,small lizard,n,597
agasana,a ɣ asa:na,kimwitu,nmn,a very small bush,n,598
agasana,a ɣ asana,alitamani,kt,he.she longed,v,599
agasegenyi,a ɣ as ɛɣɛɲ i,kibanzi,nmn,chip,n,600
agasese,a ɣ asese,kijibwa,nmn,a very small dog,n,601
agasia,a ɣ asia,akasaga,kt,he.she ground,v,602
agasike,a ɣ asik ʹ e,kakisiki,nmn,a small stump,n,603
agasike,a ɣ asikē,kakinyesi,nmn,small piece of shit,n,604
agasimora,a ɣ asimo ɾ a,,,,,605
agasimora,a ɣ a:simo ɾ a,alichemua,kt,he.she sneezed,v,606
agasiorora,a ɣ a:sio ɾ a,alikereketa,kt,he.she annoyed,v,607
agasiria,a ɣ asi ɾ ia,,,,,608
agasiria,a ɣ asi ɾ ia,aliangamiza,kt,he.she destroyed,v,609
agasiria,a ɣ asi ɾ ia,,,,,610
agasisa,a ɣ asisa,aliteta kwa muda,kt,he argued for a long time,v,611
agasombe,a ɣ asombe,kakimba,nmn,a small amount of faeces,n,612
agasonkonya,a ɣ asonko ɲ a,akachokoza,kt,he.she provoked,v,613
agasungera,a ɣ asuŋe ɾ a,alitundika,kt,he.she hung,v,614
agasunkera,a ɣ asunke ɾ a,yalinyauka,kt,to wither,v,615
agata,a ɣ ata,kumbatia,kt,hug,v,616
agata,a ɣ a:ta,,,,,617
agata,a ɣ a:ta,alipasua,kt,he.she destroyed,v,618
agata,a ɣ a:ta,aligawa,kt,he.she divided,v,619
agata,a ɣ ata,kaupindi,nmn,small bow,n,620
agatabu,a ɣ ata ꞵ u,kijitabu,nmn,a small book,n,621
agatago,a ɣ ata ɣ o,kijikwato,nmn,small hoove,n,622
agatagora,a ɣ ata ɣ o ɾ a,,,,,623
alijengua,,,,,,623
agatagora,a ɣ ata ɣ o ɾ a,,,,,624
agatogorwa,a ɣ ata ɣ o ɾ wa,,,,,625
agatana,a ɣ atana,,,,,626
agateni,a ɣ ateni,kakidondo,nmn,a small firewood,n,627
agatoronge,a ɣ at ɔɾɔ ŋ ɛ,kidonge,nmn,a small bollus,n,628
agatori,,,,,,628
agasana,a ɣ asana,akatamani,kt,he desired,v,629
agwo,a ɣ wo,,,,,630
akabao,aka ꞵ ao,obk . kitobwe,nmn,a chink,n,631
akabao,aka ꞵ ao,alikuwako,kt,she.he was there,v,632
akabarongo,aka ꞵ a ɾɔ ŋ ɔ,,,,,633
akabasi,aka ꞵ asi,jina la kudunisha mtu wa ukoo wa Bobaasi,nmn,despicable term for a person from Bobaasi clan,n,634
ebibasi,,,,,,634
akabate,aka ꞵ ate,kijibonde,nmn,small valley,n,635
akaboko,aka ꞵ ɔ k ɔ,kikono,nmn,a small hand,n,636
akabori,aka ꞵ ɔɾ i,kibuzi,nmn,a small goat,n,637
akabosio,aka ꞵ osio,Kijuso,nmn,a small face,n,638
akabusi,aka ꞵ usi,kipaka,nmn,a small cat,n,639
akabweri,aka ꞵ we ɾ i,kihori,nmn,a small pen,v,640
akage,aka ɣɛ,kinda mdogo,nmn,a small nestling,n,641
akage,aka ɣɛ,udogo wa mchwa,nmn,abnormally small termite,n,642
akagege,aka ɣɛɣɛ,,,,,643
akagena,aka ɣ ena,kijiwe,nmn,small stone,n,644
akagere,aka ɣ e ɾ e,,,,,645
afikirie,,,,,,645
have,,,,,,645
akagere,aka ɣɛɾɛ,kudunisha mtu kutoka ujaluoni,nmn,despicable term for a person from Luoland,n,646
akagete,aka ɣ ete,kakijiti,nmn,small stick,n,647
agate,,,,,,647
ak agetutu,aka ɣ etutu,ebigetutu obn. jina la kudunisha mtu wa ukoo wa Kitutu,nmn,despicable term for a person from Bogetutu clan,v,648
akagirango,aka ɣ i ɾ aŋ ɔ,ebigirango obn. Jina la kudunisha mtu wa ukoo wa Bogirango,nmn,despicable term for a person from Bogirango clan,n,649
akaibi,akai ꞵi,kijivi,nmn,a belittled thief,n,650
akamoibi,,,,,,650
akamachoge,akama ʧɔ : ɣɛ,,,,,651
akamesa,akam ɛ sa,kijimeza,nmn,a small table,n,652
akamero,akame ɾ o,kakidakatonge,nmn,a small epiglottis,n,653
akamigi,akami ɣ i,,,,,654
akamincha,akamin ʧ a,kikia,nmn,a small tail,n,655
akaminyoki,akami ɲɔ ki,,,,,656
akamiontio,akami ɔ nti ɔ,,,,,657
akamioro,akamio ɾ o,kipua,nmn,a small nose,n,658
akamisu,akamisu,harufu kidogo,nmn,a slight smell,n,659
akamobamboria,akamo ꞵ ambo ɾ ia,,,,,660
akamochie,akamo ʧ ie,kakijiji,nmn,a small village,n,661
agachie,,,,,,661
akamogonkia,akamo ɣɔ nkia,,,,,662
akamondo,akamondo,kifirigisi,nmn,abnormally small gizzard,n,663
akamonto,akamonto,kijitu,nmn,abnormally small person,n,664
akamoro,akam ɔɾɔ,kipanga,nmn,a small panga,n,665
akandobo,akand ɔ ꞵ ɔ,kakigumba,nmn,a very small spearhead,n,666
akang’iti,aka:ŋgiti,kijoka,nmn,a smll snake,n,667
akang’iti,akaŋgiti,kanyimivu,nmn,a belittled selfish person,n,668
akang’ondi,akaŋg ɔ ndi,kikondoo,nmn,a small sheep,n,669
akangoro,aka:ŋo ɾ o,kishimo,nmn,a very small hole,n,670
akangoro,aka:ŋ ɔɾɔ,kimungu,nmn,small god,n,671
obk,,,,,,671
akaania,aka:nia,lipiza,kt,make pay,v,672
akania,a:kania,"chonganisha, gonganisha",kt,cause division,v,673
akania .,akania,alikunyia,kt,he excreted,v,674
akanyama,aka ɲ ama,kinyama,nmn,a small piece of meat,n,675
akanyantagara,aka ɲ anta ɣ a ɾ a,kibahaluli,nmn,a small weak person,n,676
akanyaribari,aka ɲ a ɾ i ꞵ a ɾ i,Ebinyaribari obn jina la kudunisha mtu wa ukoo wa Nyaribari,nmn,despicable term for a person from Nyaribari clan,n,677
akanyomba,aka ɲ omba,kijumba,nmn,a small house,n,678
akanyongo,aka ɲ oŋo,,,,,679
akanyuma,aka ɲ uma,,,,,680
akanua,akanwa,kidomo,nmn,small mouth,n,681
akaogoto,akao ɣ oto,kitakataka,nmn,very small dirt,n,682
akaote,akaote,kijeraha,nmn,a small wound,n,683
akara,aka: ɾ a,kakidole,nmn,a very small finger,n,684
akara,aka ɾ a,aina ya viatu kutoka ujaluoni,nmn,a type of open shoes from luoland,n,685
akarama,aka ɾ ama,kipaa,nmn,a small roof,n,686
akarino,aka ɾ in ɔ,kijino,nmn,a very small tooth,n,687
a kariso,aka ɾ is ɔ,,,,,688
wivu,,,,,,688
jelousy,,,,,,688
endamwamu,,,,,,688
akaroche,aka ɾ o: ʧ e,kijito,nmn,a very small river,n,689
akaromeme,aka ɾɔ m ɛ m ɛ,kilimi,nmn,a small tong’ue,n,690
akauga,akau ɣ a,kifupa,nmn,a very small bone,n,691
akauga,akau ɣ a,,,,,692
amaa,ama:,mapafu,nmn,lungs,n,693
amaagati,ama: ɣ ati,ukoo tawala,nmn,a clan with a heavy-handed and guileful leadership style,n,694
amaagura,ama: ɣ u ɾ a,kutambaa,nmn,crawling,n,695
amaami,ama:mi,walafi,nmn,gluttons,n,696
abanto,,,,,,696
amaanda,ama:nda,unga uliosagwa visivyo,nmn,coarsely gristed maizemeal,n,697
embaare,,,,,,697
a maang’eenya,ama:ŋge: ɲ a,utajiri wa mtu,nmn,one’s riches.wealth,n,698
amabondo,ama ꞵ ɔ nd ɔ,,,,,699
amabungu,ama ꞵ u ŋ u,mazingira,nmn,e nvironmrent,n,700
amaitimo,,,,,,700
amache,ama: ʧ e,maji,nmn,water,n,701
amachoong’a,ama ʧɔ :ŋga,hali ya kutakasa msichana aliyelia wakati wa tohara,nmn,cleansing a girl who yelled during circumcision,n,702
amaeembeki,amae:mbeki,alasiri,nmn,"sunset(time), evening",n,703
amagana,ama ɣ ana,,,,,704
amagancha,ama ɣ an ʧ a,mazingira,nmn,environment,n,705
amabungu,,,,,,705
amasirate,,,,,,705
amagaragara,ama ɣ a ɾ a ɣ a ɾ a,,,,,706
kichefuchefu,,,,,,706
amagari,ama ɣ a ɾ i,nafasi baina ya mistari au safu,nmn,spaces between rows,n,707
amagasi,ama ɣ asi,makasi,nmn,scissors,n,708
amagasi,ama ɣ a:si,,,,,709
amagega,ama ɣɛɣ a,b ubujiko,nmn,a sprinkling,n,710
amagega,ama ɣɛɣ a,mgongo,nmn,back of a person,n,711
amagena,ama ɣ ena,mawe,nmn,stones,n,712
amagicho,ama ɣ i ʧ o,elfu,nmn,thousand,n,713
amagombo,ama ɣɔ mb ɔ,,,,,714
amagora,ama ɣ o ɾ a,,,,,715
mabanda,,,,,,715
amagora,ama ɣ o ɾ a,ununuzi katika hatua,nmn,selling in stages,n,716
amagora,ama ɣ o ɾ a,,,,,717
chimbua,,,,,,717
amagori,ama ɣ o ɾ i,bei,nmn,prices,n,718
amagoro,ama ɣ o ɾ o,,,,,719
maguu,,,,,,719
amagoro,ama ɣ o ɾ o,nyakati,nmn,seasons,n,720
amaguta y’etaya,ama ɣ uta jetaja,mafuta taa,nmn,kerosene,n,721
amaino,amaino,meno,nmn,teeth,n,722
amaiso,amaiso,macho,nmn,eyes,n,723
amaitimo,amaitimo,,,,,724
amabungu,,,,,,724
amakanyanta,amaka ɲ anta,nyama iliyoiva sana,nmn,overcooked soft meat,n,725
amakara,amaka ɾ a,makaa,nmn,charcoal,n,726
amakarabe,amaka ɾ a ꞵ e,,,,,727
amakeboka,amake ꞵ oka,kurudi nyuma,kt,turning back,v,728
amakendo,amakendo,wingi wa mtende,nmn,palm,n,729
amakoma,amakoma,,,,,730
ashiki,,ya mwanamke,nmn,sexual desire by a woman,n,730
amakora,amak ɔɾ a,matendo,nmn,actions,n,731
amakoro,amako ɾ o,,,,,732
amakua,amakwa,damu nzito iliyoganda,nmn,thick blood,n,733
amakuania,amakwania,salamu,nmn,greetings,n,734
amakuarimo,amakwa ɾ imo,minyoo,nmn,worms,n,735
amakueri,amakwe ɾ i,,,,,736
mauti,,,,,,736
amaminyoko,amami ɲɔ k ɔ,riadha,nmn,athletics,n,737
amamiria,amami ɾ ia,makamasi,nmn,mucus,n,738
amamuamu,amamwamu,meusi,kv,black,n,739
amandegere,amand ɛɣɛɾɛ,ujaka,nmn,sulphur tuft,n,740
amang’ana,amaŋgana,,,,,741
issues,,,,,,741
amang’ang’ura,amaŋgaŋgu ɾ a,mataya,nmn,jaws,n,742
amang’enya,amaŋg ɛɲ a,utaji au mali ya mtu,nmn,person’s wealth,n,743
amanige,amani ɣ e,mahari.ng’ombe waliorudishwa baada ya ndoa kutibuka,nmn,returned dowry after the woman has remarried,n,744
amaninko,amanink ɔ,,,,,745
amanoga,aman ɔ : ɣ a,,,,,746
colostrum,,,,,,746
amanya‘egekuba,ama ɲ ae ɣ eku ꞵ a,malaika,nmn,body hair,n,747
amanya‘endo,ama ɲ aendo,singa,nmn,mane,n,748
amanyanyori,ama ɲ a ɲ o ɾ i,majeshi au wapiganaji waliotangulia vitani,nmn,warriors at the war front,n,749
amanyierero,ama ɲ ie ɾ e ɾ o,machwa ya jua,nmn,sunset,n,750
am anyiginya,ama ɲ i ɣ i ɲ a,usiku mkuu,nmn,midnight,n,751
amanyinga,ama ɲ iŋa,damu,nmn,blood,n,752
a manyinga a igoro,ama ɲ iŋai ɣ o ɾ o,,,,,753
hypertension,,,,,,753
amaogaamaroro,amao ɣ ama ɾ o ɾ o,,,,,754
tithonia,,,,,,754
diversifolia,,,,,,754
amaoncho,amaon ʧ o,mazuzu wanaorandaranda,nmn,"wanderers, imbeciles, fools, idiots, blockheads, simpletons",n,755
amaoromomo,amao ɾ omomo,makorongo,nmn,gullies,n,756
amaraabi,ama ɾ a: ꞵ i,tiba iliyoendeshwa na kina mama,nmn,medication carried out by special women,n,757
amarabwoni,ama ɾ a ꞵ w ɔ ni,,,,,758
amaraika,ama ɾ aika,malaika,nmn,angels,n,759
amaratabweri,ama ɾ ata ꞵ we ɾ i,,,,,760
mafungulia,,ng’ombe,nmn,dawn,n,760
amare,ama ɾɛ,mawingu,nmn,clouds,n,761
amareko,ama ɾ eko,mabega,nmn,shoulders,n,762
amaremo,ama ɾ emo,mashamba,nmn,pieces of land,n,763
amariba,ama ɾ i ꞵ a,,,,,764
nouns,,,,,,764
amarieta,ama ɾ ieta,,,,,765
nouns,,,,,,765
amariga,ama ɾ i ɣ a,machozi,nmn,tears,n,766
amariko,ama ɾ iko,,,,,767
scriptures,,,,,,767
amariogi,ama ɾ io ɣ i,makelele,nmn,noise,n,768
amariogo,ama ɾ i ɔɣɔ,madawa,nmn,medicine,n,769
amarionya,ama ɾ i ɔɲ a,manyoya,nmn,feathers,n,770
amaroba,ama ɾɔ ꞵ a,mchanga,nmn,soil,n,771
amaroro,ama ɾɔɾɔ,maono,nmn,views.vision,n,772
amaroro,ama ɾ o ɾ o,,,,,773
amaroso,ama ɾ oso,misingi,nmn,foundations,n,774
amaru,ama ɾ u,magoti,nmn,knees,n,775
amarube,ama ɾ u ꞵ ɛ,barua,nmn,letters,n,776
amaruma,ama ɾ uma,njiwa,nmn,doves,n,777
amarwa,ama ɾ wa,pombe,nmn,alcohol,n,778
amarua-echuba,ama ɾ wae ʧ u ꞵ a,,,,,779
wines,,,,,,779
amarwaire,ama ɾ wai ɾ e,magonjwa,nmn,diseases,n,780
amasabana,amasa ꞵ ana,,,,,781
machweo,,,,,,781
dusk,,,,,,781
amasabebe,amasa ꞵɛꞵ ɛ,,,,,782
flat,,,,,,782
amasabibu,amasa ꞵiꞵ u,zabibu,nmn,grape fruit,n,783
amasabo,amasa ꞵ ɔ,maombi,nmn,prayers,n,784
amasabore,amasa ꞵ o ɾ e,mchunga,nmn,mature spider weed,n,785
amasakara,amasak ɾ a,makaratasi,nmn,papers,n,786
amasambe,amasambe,yaliyochoma,kv,hot things,v,787
amasaria y ‘omogaso,amasa: ɾ iajomo ɣ aso,miale ya jua,nmn,sun rays,n,788
amase,amas ɛ,nyama ya tumbo,nmn,tripe,v,789
amasinga,amasi:ŋa,jamii ya uyoga,nmn,shaggy parasol mushrooms,n,790
amasinyoro,amasi ɲɔɾɔ,mkojo,nmn,urine,n,791
amasirate,amasi ɾ ate,mazingira,nmn,environment,n,792
amasoge,amaso ɣ e,salamu,nmn,greetings,n,793
amasugamera,amasu ɣ ame ɾ a,kushikilia baada ya kufa ganzi,nmn,seeking help after cramp attacks,n,794
amasua,amaswa,,,,,795
ogotinganeka,,,,,,795
uko,,,,,,795
ombe,,,,,,795
amasuama,amaswama,,,,,796
shahawa,,,,,,796
semen,,,,,,796
a matabana,amata ꞵ ana,njia panda,nmn,crossroad,n,797
amatabane,amata ꞵ an ɛ,ishara katika sikio la ngombe lililopasuliwa,nmn,a mark through piercing of the ears of a cow,n,798
amatabekania,amata ꞵ ekania,njia panda,nmn,cross roads,n,799
amatakeboka,amatake ꞵ oka,,,,,800
onetrackedness,,,,,,800
sticking,,,,,,800
amatarataaria,amata ɾ ata: ɾ ia,mimea iliyotawanywa,nmn,scattered crops,n,801
amate,amat ɛ,mate,nmn,saliva,n,802
amatemua,amat ɛ mwa,,,,,803
majaribio,,,,,,803
temptations,,,,,,803
amatera,amat ɛɾ a,nyimbo,nmn,songs,n,804
amatimbochoria,amatimb ɔʧɔɾ ia,ujaka,nmn,cluster mushroom,n,805
amatimo,amatimo,mikuki,nmn,spears,n,806
amatoimay’embura,amatoimajembu ɾ a,manyonyota,nmn,raindropes,n,807
amatoke,amat ɔ k ɛ,ndizi,nmn,bananas,n,808
amatonge,amat ɔ ŋ ɛ,matonge,nmn,balls of food,n,809
amatongo,amat ɔ ŋ ɔ,,,,,810
amatongo,amat ɔ ŋ ɔ,mahame,nmn,Ruins,n,811
amatuko,amatuko,siku,nmn,days,n,812
amatukoaya,amatukoaja,siku hizi,nmn,nowadays,n,813
a matukoy’okoiborwa,amatukojoko iꞵ o ɾ wa,siku za kuzaliwa,nmn,birthdays,n,814
amatunda,amatunda,matunda,nmn,fruits,n,815
a matundaamororo,amatunda:m ɔ : ɾɔɾɔ,,,,,816
amatungurieta,amatuŋu ɾ ieta,aina ya ngoma,nmn,type of Kisii dance,n,817
amaubio,amau ꞵi o,maombi ya msamaha,kt,the begging for mercy,n,818
amauko,amauko,barua,nmn,letters,n,819
amaumuntia,amaumuntia,Mei,nmn,May,n,820
amauncho,amaun ʧ o,Mafunju,nmn,papyrus reeds,n,821
amasangia,amasaŋia,,,,,822
a mautubi,amautu ꞵ i,hali ya uganga,nmn,wizardry,n,823
a mautub i,amautu ꞵ i,dawa dhidi ya uchawi,nmn,medication against witchdoctoring,n,824
amayianda,amajianda,,,,,825
amayomi,amajomi,mapenzi ya uongo,nmn,false love,n,826
amayore,amautu ꞵ i,usaliti katika mapenzi,nmn,betrayal in love,n,827
ambaria,amba ɾ ia,,,,,828
ameragererio,ame ɾ a ɣ e ɾ e ɾ io,,,,,829
amereka,ame ɾ eka,mezesheka,kt,made to swallow,v,830
ameria,ame ɾ ia,humezesha,kt,he make one swallow,v,831
ameria,ame ɾ ia,shakiza au chochea mbwa,kt,alert or set a dog to attack,v,832
amia,amia,meesha,kt,make grow,v,833
amo,am ɔ,,,,,834
a|amo,,pahalipamoja,kv,one place,adj,834
oboamo,oβoam ɔ,,,,,836
togetherness,,,,,,836
amogorere,amo ɣ e ɾ e ɾ e,,,,,837
amoroke,amo ɾ oke,amuite,kt,he.she names,v,838
amorokererigua,am ɔɾɔ ke ɾɛɾ i ɣ wa,mafunzo,nmn,training,n,839
amoyo,amojo,mbolea,nmn,fertilizer,n,840
ancha,an ʧ a,1 .penda,kt,love,v,841
itaba,,,,,,841
ancha-iga,,,,,,841
anchana,,,,,,841
ancha,,,,,,841
