row_id,PSA_ID,Domain,English,Kiswahili,Ekegusii,has_ekegusii,len_outlier,reviewer_verdict,reviewer_notes
2090,2779,Security,NPS urged by IPOA and oversight bodies to strengthen community policing to improve public trust,NPS yahimizwa na IPOA na vyombo vya usimamizi kuimarisha polisi jamii ili kuboresha uaminifu wa umma,Ekeombe ekenene kia abasikari NPS giasoroirwe nekeombe keria getenerete abasikari bonsi (IPOA) na bonsi baria bakorigereria emeremo yabasikari bae abarendi boborendi bwenyiro chunguru buna enchera eyemo yokoirania okwegena.,True,False,,
1610,2262,Agriculture,"Traceability builds trust. Learn how simple record-keeping can help track your beans from farm to market, pleasing buyers and consumers.","Ufuatiliaji hujenga uaminifu. Jifunze jinsi utunzaji rahisi wa kumbukumbu unavyoweza kusaidia kufuatilia maharagwe yako kutoka shambani hadi sokoni, na kuwafurahisha wanunuzi na watumiaji.","Ekero abaremi bakobwatia okoererania kwerigesa riabo na korenda ebirengo biganeiries ase rirorio nigo ekorenta , abagori na baria bakogora nigo ekorenta ogoisaneka na oboremu ase rigesa riabo. Egera buna omoroberio omoronge bwokorika emeroberio yao yoboremi amo nerigesa riechingende korwa mogondo goika echiro, kogokia baria bakogora na koria.",True,False,,
1485,2099,Agriculture,"Market access, influenced by transport infrastructure, plays a crucial role in promoting food security, productivity, income changes, and food price ...","Ufikiaji wa soko, unaoathiriwa na miundombinu ya usafiri, una jukumu muhimu katika kukuza usalama wa chakula, tija, mabadiliko ya mapato, na bei ya chakula ...","Goikera echiro, kogosegetwa nobobogoria amo nechinyomba chikogacha rigesa, nigo bire ebiengenchoo ase okogendereria omoigoto bwendagera, rigesa rigiya, ogoonchoreria ase ebitoki, namagori endagera...",True,False,,
1108,1626,Health,"Include iron-rich foods like spinach, liver, and beans in the diet to prevent anemia.","Jumuisha vyakula vyenye madini mengi kama vile mchicha, ini, na maharagwe katika lishe ili kuzuia upungufu wa damu.","Sangia chindagera chibwate ayoni buna esipinachi, rini na chingende gotanga ogokea kwamanyinga",True,False,,
1787,2468,Security,Proper slaughter methods protect meat safety. Only use licensed slaughterhouses or follow public health guidelines for home slaughter.,Njia sahihi za kuchinja hulinda usalama wa nyama. Tumia vichinjio vilivyoidhinishwa pekee au fuata miongozo ya afya ya umma kwa ajili ya kuchinja nyumbani.,Obonyenyi etugo obuya na gacha enyama buya protect. Tumia ebichinchio biria biancheire gose bwatia amachiko yobochenu ekero okonyenya etugo yao nka.,True,False,,
2856,3701,Governance,"Government urges pensioners to register to avoid payroll suspension To all government pensioners, you are urged to register on the e-Citizen platform by the extended deadline of 10th May, the government spokesperson said.","Serikali inawasihi wastaafu kujiandikisha ili kuepuka kusimamishwa kwa mishahara. Kwa wastaafu wote wa serikali, mnahimizwa kujiandikisha kwenye jukwaa la kielektroniki la Citizen ifikapo tarehe ya mwisho iliyoongezwa ya Mei 10, msemaji wa serikali alisema.",Eserekari yababorie ababarure emeremo asengecho yobogotu kwerikia erio gotanga omoroberio bwogwakanua gotuguterwa are ase abakoreri abagotu bonsi. amatuko yokwerikia amentirwe goikera chitariki 10 omotienyi ogatano.,True,False,,
2253,3001,Security,Kenya introduced legislation regulating virtual asset service providers to reduce money laundering and terrorism financing risks.,Kenya ilianzisha sheria inayodhibiti watoa huduma za mali pepe ili kupunguza hatari za utakatishaji fedha na ufadhili wa ugaidi.,Kenya yaansire amachiko goyotanga baria bagotoma chibesa goetera eintaneti bakeanie oborosia bwechibesa pandia gosegeta obokebago ase akobaa chibesa echio.,True,False,,
554,917,Education,Report any school charging fees above Ksh 0 to 0800721490 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ we are watching!,Ripoti ada zozote za shule zinazotoza zaidi ya Ksh 0 hadi 0800721490 ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ tunaangalia!,"Karwe amang'ana igoro yasukuru ende yonsi egoakania chibesa goetania goetera 0800721490, ntorigereretie!",True,False,,
141,187,Education,Democracy clubs must meet weekly ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ Ministry directive effective immediately!,Vilabu vya demokrasia lazima vikutane kila wiki agizo la Wizara likianza kutumika mara moja!,Ebiombe biokoegerera obogambi obuya goika bikoreke kera ewiki buna yachikirwe nominisita bwechisemi gochaka kegima!,True,False,,
2141,2844,Security,A terror cell in Lamu was dismantled and suspects arrested in a joint security operation.,Kikosi cha ugaidi huko Lamu kilivunjwa na washukiwa walikamatwa katika operesheni ya pamoja ya usalama.,Eseri ase ebibago biechipomu bibekire aaria Lamu yabunetwe na abakagerwa mbabwatetwe goetera ebitengo ao ao bieserikari.,True,False,,
1076,1592,Health,Announcement of expansion plan sourcing school meals from local farmers while integrating climate-resilient crops.,Tangazo la mpango wa upanuzi wa kutafuta chakula cha shule kutoka kwa wakulima wa eneo hilo huku ukijumuisha mazao yanayostahimili mabadiliko ya hali ya hewa.,Okoraria kwarurwe inga chindagera chikoregwa chisukuru chirwe ase abaremi begenka na gosangania chindagera chikoremereria okoonchoka kwe rire,True,False,,
478,836,Education,Parents: Ask your child if theyÃƒÂ¢Ã¢â€šÂ¬Ã¢â€žÂ¢re registered to vote ÃƒÂ¢Ã¢â€šÂ¬Ã¢â‚¬Å“ guide available on education.go.ke,Wazazi: Muulize mtoto wako kama amejiandikisha kupiga kura. Mwongozo unapatikana kwenye education.go.ke,"Abaibiri: Boria abana baino gose mberigete buna abaaki chikura, ayakobakonya eki babwenerete gokora nao kere as omoroberio- education.go.ke",True,False,,
2619,3432,Governance,The agency also appealed to the public to report any suspicious individuals or activities that could help in ongoing investigations.,Shirika hilo pia liliwaomba umma kuripoti watu au shughuli zozote zinazotiliwa shaka ambazo zinaweza kusaidia katika uchunguzi unaoendelea.,Ekeombe ekio kiobochori boigo ngiasabete abanto ng'a babamanyie mang'ana ande onsi gose omonto bare nechitangutangu nere ase okogekonya gokora obutuki bwabo.,True,False,,
2386,3185,Security,"Engage in antidiscrimination, refugee inclusion, and youth empowerment initiatives","Shiriki katika mipango ya kupinga ubaguzi, ujumuishaji wa wakimbizi, na uwezeshaji vijana","Bwaterana korwani ogokorera abanto bobe ekiagera eki bare, reta ange baria batamire chisegi korwa sobo, nemeroberio yokobeka abasae chinguru gose kobakonya.",True,False,,
1386,1978,Agriculture,"Explore opportunities for your dairy farm or cooperative to supply fresh eggs to colleges (schools, hospitals) for their feeding programs.","Chunguza fursa kwa shamba lako la maziwa au ushirika wa kusambaza mayai mabichi kwa vyuo (shule, hospitali) kwa ajili ya programu zao za kulisha.",Rigia komanya chinagaki chingiya chireo as ase oboremi bwao bwechiombe chia'amabere giose ebiombe bibwatekaine nayio ase okoonia amagena echingoko chiao bwango kegima gochia (chisukuru na chuinyagitari ) ase omoroberio bwoborageria bwaobo.,True,False,,
1619,2283,Agriculture,Urban gardening allows city dwellers to grow food. Explore techniques like container gardening and vertical growing for onions.,Ulimaji wa bustani mijini huwawezesha wakazi wa mijini kulima chakula. Chunguza mbinu kama vile ulimaji wa vyombo na ulimaji wa vitunguu wima.,Abanto bamenyete emechie yechitaoni nabo baranyare korema endagera. Rigia komanya buna chisemi chiogotumia emebuko gosimeka ching'eni nebitunguo.,True,False,,
2759,3582,Governance,Leaders say President Ruto will deliver on projects in Mt. Kenya region. PSS from Mt. Kenya continue with town hall meetings. PS Mary Muthoni urges residents to support the government,Viongozi wasema Rais Ruto atatekeleza miradi katika eneo la Mlima Kenya. PSS kutoka Mlima Kenya inaendelea na mikutano ya halmashauri ya mji. Katibu Mkuu Mary Muthoni awahimiza wakazi kuunga mkono serikali,Abarai batebire omorai bwense Ruto naikeranie emeroberio yamagenderero ase ensemo ya mount kenya.Abariki babotambe korwa ase ensemo eyuo bagenderere gotwara ebikaro biabotambe na kobwatesia eserekari omoriki obotambe Mary Muthoni oboririe,True,False,,
1868,2550,Security,"""The Ministry of ICT reminds citizens that all eCitizen payments are automated. Do not send money to personal numbers for services.""","""Wizara ya TEHAMA inawakumbusha raia kwamba malipo yote ya kielektroniki ni otomatiki. Usitume pesa kwa nambari za kibinafsi kwa huduma.""","""Eminisitiri yamang'ana netekinorochi yokoererania amang'ana (ICT)nkoinyoria ere abanainchi chibesa chionsi chia eCitizen nigo chigoakanwa goetera ebengi na Mpesa chimanyekanete neserikari . Tiga gotoma chibesa gochia chinamba chabanto nonya ngake.""",True,False,,
1860,2542,Security,"Those job ads for 'NGO agents hiring enumerators' without an interview are a scam. Verify with the actual NGO before sending money.""",Matangazo hayo ya kazi kwa 'mawakala wa mashirika yasiyo ya kiserikali wanaoajiri wahesabuji' bila mahojiano ni ulaghai. Thibitisha na mashirika yasiyo ya kiserikali kabla ya kutuma pesa.,"Amangana ogosegeta korwa abaagenti ba'NGO ng'a nkorika bare abanto bakorika amang'ana gotakorigwa ogotemwa kwemeremo namangana oborimo. Manya boronge ng'a NGO ki yatomete amang'ana ayio.""",True,False,,
1269,1813,Agriculture,"... Market Access and Dietary Diversity: The Potential Role of Women in Improving Household Nutrition in Kenya Evelyne Kihiu, Hillary Wakhungu and Juneweenex ...","... Upatikanaji wa Soko na Utofauti wa Lishe: Jukumu Linalowezekana la Wanawake katika Kuboresha Lishe ya Kaya nchini Kenya Evelyne Kihiu, Hillary Wakhungu na Juneweenex ...","Goikera echiro yoboremi amo nendagera yomobere engiya ase obogare: Obokoreri bwa abangina ase chinka nobwengencho ase okorageria buya chinka chiabo aiga Kenya buna Evelyne Kihiu, Hillary Wakhungu and Juneweenex agoteba...",True,False,,
2236,2978,Security,County security engagement forums enhanced collaboration between communities and security agencies for early warning in high risk areas of Lamu.,Mabaraza ya ushirikishwaji wa usalama wa kaunti yaliimarisha ushirikiano kati ya jamii na mashirika ya usalama kwa ajili ya kutoa tahadhari mapema katika maeneo yenye hatari kubwa ya Lamu.,Okobwaterana ase aborendi bechikaonti ngwakongetie oboererania gati yebinyoro nabarendi boborendi komanya bwango ebiorokererio bwobokebago bwokoruta chipomu chinsemo chiria chiregire nobokebago aaria Lamu.,True,False,,
528,889,Education,Provide resources! Fund mental health programs in schools.,Toa rasilimali! Fadhili programu za afya ya akili mashuleni.,Karwe ebigabeirie! Karwe chibesa gokonya emeroberio yobosemia bwebirengererio chisukuru .,True,False,,
2024,2707,Security,Create inventory of household items with photos and receipts for insurance.,Tengeneza orodha ya vitu vya nyumbani ukitumia picha na risiti za bima.,Rika inse ebinto bionsi bia mwao. biake chibicha na gacha amarisiti kwabigorerete gonya insuarensi kogoakana ekero birayie gose koibwa.,True,False,,
1535,2169,Agriculture,"Set up a soil-less hydroponic system to grow sweet potatoes efficiently using less water and space, ideal for urban or intensive farming.","Anzisha mfumo wa hydroponic usiotumia udongo ili kukuza viazi vitamu kwa ufanisi kwa kutumia maji na nafasi kidogo, bora kwa kilimo cha mijini au kilimo cha ndani.",Tema oboremi bwamarabwoni ase enchera engao yegetekinorochia buna eria yogotumia amache gose ebinto binde gosimeka amarabwoni ase ogotumia ribaga rike riomogondo as abaremi bemechie gose chitaoni ase okomigereria.,True,False,,
124,150,Education,Conduct fire drills in schools 2020.,Fanya mazoezi ya zimamoto shuleni 2020.,Kebe nomoroberio bwokomanya buna omorero gose esitima egotumeka gotanga ogwateka kwomorero esukuru 2020.,True,False,,
1604,2255,Agriculture,"This talk about digital agriculture and its potential to reduce rural poverty featured Prof. Michael Kremer, 2019 winner of the Nobel Memorial Prize in ...","Mazungumzo haya kuhusu kilimo cha kidijitali na uwezo wake wa kupunguza umaskini vijijini yalimhusisha Profesa Michael Kremer, mshindi wa Tuzo ya Nobel ya 2019 katika ...","Enkwana eye igoro yegedichitari na tekinorochi na obuya bwaye gokeaniaobotaka ase ebinyoro bakwanete igoro ya Prof. Michael Kremer, 2019 omobui o Nobel Memorial Prizeomwaka ...",True,False,,
410,614,Education,Launch mentorship programs 2024.,Zindua programu za ushauri 2024.,Chaka emeroberio yogokinia abande kemasomo na kebobundi 2024.,True,False,,
309,376,Education,Fund schools! Support education for refugee children.,Fadhili shule! Saidia elimu kwa watoto wakimbizi.,Karwe chibesa gosira chisukuru! Sira chisemi ase abana ba baria batamire chisegi korwa sobo.,True,False,,
1345,1926,Agriculture,"Climate-smart agriculture needs to be mainstreamed into core government policy, expenditure and planning frameworks. To be effective CSA policies must ...","Kilimo kinachozingatia mabadiliko ya tabianchi kinahitaji kuingizwa katika sera kuu za serikali, matumizi na mifumo ya mipango. Ili sera za CSA ziwe na ufanisi lazima ...","Neganeirie ng'a moroberio bwoboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura osoigwe as omoroberio bwa amachiko oboremi, koegwa chibesa chibacheti yeserikari na ase emeroberio yesirikari. Goikerania aya, CSA amachiko igoro ya Omoroberio bwoboremi borengete ebimeri biria bikoremereria ogoonchoka kwerire na egurargura goika ...",True,False,,
1841,2523,Security,"""Wanafunzi wanaombwa wasitumie wasimamizi wasiojulikana kusajili HELB. Maafisa bandia wamekuwa wakichukua pesa wakiahidi kufanikisha mkopo.""","""Wanafunzi wanaombwa wasitumie wasimamizi wasiojulikana kusajili HELB. Maafisa bandia wamekuwa wakichukua pesa wakiahidi mkopo.""","""Abana babioriigwe tibatumia abatenereri batamanyekaneti ekero bakwerika konyora ogokonya gwechibesa korwa HELB. Abanene ba pandia babeire bagosaba chibesa ase okobatebia ng'a mbabae chibesa chieroni ya HELB.""",True,False,,
2887,3747,Governance,County Functions Transfer: National government to transfer remaining functions Pres. Ruto says funds will be allocated in 2025/26 FY Devolved assets to be transferred by June 2025 Pres. Ruto urges harmonious intergovernmental relations,Uhamisho wa Kazi za Kaunti: Serikali ya kitaifa kuhamisha kazi zilizobaki Rais Ruto asema fedha zitatengwa katika mwaka wa fedha wa 2025/26 Mali zilizogatuliwa zitahamishwa ifikapo Juni 2025 Rais Ruto ahimiza uhusiano mzuri kati ya serikali,"Okoenana bene emeroberio yonsi yechikaunti: Eserekari enene nechie koenana bene emeroberio yonsi etigarete yechikaunti, omorai bwense otebire enibo yogoirania aya nebekwe ase omwaka bwechibesa bweserekari 2025/2026. Chinibo chionsi chibwateranetie chiserekari chiechikaunti koenanwa bene goikera omotienyi ogatano rimo, 2026. Ruto osabire omoroberio bwokoigwana nomorembe ase chieserekari chikaunti amo neria enene.",True,False,,
2563,3368,Governance,"He further pledged to work closely with Governor Timamy to foster unity in Lamu County, urging residents to shun divisive politics Ã¢ ‚¬  especially those driven by tribal, religious, or regional differences Ã¢ ‚¬  for the sake of progress.","Zaidi ya hayo, aliahidi kufanya kazi kwa karibu na Gavana Timamy ili kukuza umoja katika Kaunti ya Lamu, akiwahimiza wakazi kuepuka siasa za mgawanyiko - hasa zile zinazoendeshwa na tofauti za kikabila, kidini, au kikanda - kwa ajili ya maendeleo.","Akagenderera korwa chiira chiogokora emeremo amo ase okobwaterana na nomogafana Timamy erio gokinia obomo aaria ekaonti ya Lamu, ogosorora abamenyi kwanga siasa yokobagana abanto mono kegima siasa erengete obogesaku, kebokanisa' keboisiramu, gose gose ogotaigwanana kerogongo erio goikerania amagenderero.",True,False,,
1417,2016,Agriculture,Government issues advisory on animal feed quality to prevent aflatoxin contamination.,Serikali yatoa ushauri kuhusu ubora wa chakula cha mifugo ili kuzuia uchafuzi wa sumu ya aflatoxin.,Eserikari nigo ekorwa ogosemia igoro yechindagera chingiya chietugo erio gotanga amarwaire akoretwa nesumu korwa nokobosa gwechinyeke.,True,False,,
963,1474,Health,Parents should register the birth of their child at the nearest civil registration office. A birth certificate secures a childs legal identity and access to services.,Wazazi wanapaswa kusajili kuzaliwa kwa mtoto wao katika ofisi ya usajili wa kiraia iliyo karibu. Cheti cha kuzaliwa kinahakikisha utambulisho wa kisheria wa mtoto na upatikanaji wa huduma.,Abaibori mbagwenerete korikia okoibora Kwa abana babo ase obisi ya korikia ere ang'e. Esatibigeti ya okoibora nigo ekorenda richiko riokomanyekana kw’omwana na konyora obokoreri.,True,False,,
1662,2340,Security,"After floods, disinfect homes to prevent mold and diseases. Wear protective gear during cleanup.","Baada ya mafuriko, safisha nyumba ili kuzuia ukungu na magonjwa. Vaa vifaa vya kujikinga wakati wa usafi.","Nyuma yetoigo, siarera omochie ariogo riogoita abinyinyi gotanga amatosi namarwaire. Beka chianga chiogwetanga gotonyerwa neriogo.",True,False,,
430,641,Education,Maintain playgrounds safely 2021.,Tunza viwanja vya michezo kwa usalama mwaka 2021.,Ikerania amchiko ase chiogosori 2021.,True,False,,
983,1494,Health,Do not apply substances to the cord. Keep it dry and clean until it falls off naturally.,Usipake vitu kwenye kamba. Iweke kavu na safi hadi ianguke kiasili.,Tobaisa goaka ebinto binde bionsi ase omogoyo. Onyebeke ebe enkamoku naende endabu goika egwe yoka.,True,False,,
2177,2882,Security,APS promptly evacuated a school following a bomb threat and initiated investigations while strengthening safety protocols.,APS ilihamisha shule mara moja kufuatia tishio la bomu na kuanzisha uchunguzi huku ikiimarisha itifaki za usalama.,Ekeombe keria ekenene kia abasikari (NPS) nkinganyetie abanto bwango gotanyorwa korwa esukuru nyuma yogosarera kwamang'ana kwogoakwa epombu na goansa obotuki ekero boigo bagesete oborendi.,True,False,,
1766,2447,Security,Extremist groups target vulnerable children. Communities should report suspicious recruitment activities.,Makundi yenye msimamo mkali yanawalenga watoto walio katika mazingira magumu. Jamii zinapaswa kuripoti shughuli za kuajiri zinazotiliwa shaka.,Ebiobago biria bigosaria amongo abanto na kobaira obokebago bwokotuta chipomu nigo nigo birengete abana baria batari kwenyara gose korwa emchie emetaka . Abanto gioka barwe eripoti igoro yebinto bare nechitang'utang'u nabirobio gose okorikwa gosoa obokebago obwo.,True,False,,
1382,1973,Agriculture,Experimental designs on laboratory bioassays and semi-field cage tests to assess the feasibility and efficacy of a push-pull crop system against.,Miundo ya majaribio kwenye vipimo vya kibiolojia vya maabara na vipimo vya nusu shamba ili kutathmini uwezekano na ufanisi wa mfumo wa mazao wa kusukuma-kuvuta dhidi ya.,Okwegia kwobokongoria goetera ebimanyi goetra kobibeka ase emebere yechitugo komanya obuya bwaye gose obobe ase mwanyabanto borengete komanya oboikeranu bwa ogosegeta ebimeri biria bigoseria obwarwaire korwa ebimeri mogondo,True,False,,
2235,2977,Security,Training delivered to Anti Terrorism Police Unit officers to strengthen ideological awareness and operational skills under the national CVE framework.,Mafunzo yametolewa kwa maafisa wa Kitengo cha Polisi cha Kupambana na Ugaidi ili kuimarisha ufahamu wa kiitikadi na ujuzi wa uendeshaji chini ya mfumo wa kitaifa wa CVE.,Amasomo arwetwe ase abasikari bari batenererete gotanga ogwateka gwechipomu gokongia chinhera chikomanya ebirengererio biogosari obongo na buna oranyare gotanga ayio goetera amachiko yokorwania gotanga gosarigwa obongo.,True,False,,
655,1027,Education,Support inclusion! Ensure schools have ramps and aids for disabled students.,Saidia ujumuishaji! Hakikisha shule zina njia panda na vifaa vya kusaidia wanafunzi wenye ulemavu.,Sira emeroberio ya bonsi! Rora nga chisukuru nchibwate ebisirero na biria bigokobakonya koigwa ase abana bare noboremaru ao ao.,True,False,,
1006,1517,Health,Help children understand the arrival of a new sibling to reduce jealousy and promote bonding.,Wasaidie watoto kuelewa ujio wa ndugu mpya ili kupunguza wivu na kukuza uhusiano wa karibu.,Konya abana bamanye ogotoka kwa abana bande bamwabo erio gokeani engareka na gotingia okoigwanana,True,False,,
1567,2210,Agriculture,"The drafting of this Sourcebook on Climate-Smart Agriculture, Forestry and Fisheries has been a collaborative effort involving professionals from within several ...","Uandishi wa Kitabu hiki cha Chanzo kuhusu Kilimo, Misitu na Uvuvi Kinachozingatia Hali ya Hewa umekuwa juhudi za ushirikiano zinazohusisha wataalamu kutoka ndani ya ...","Okorika egetabu eke korwa oborai ase oboremi boria bokoremereria rire, Amanani, na Chinswe obeire omoroberio bwokobwaterana na abanyi korwa bechinsemo ao ao aiga...",True,False,,
1582,2227,Agriculture,The second part of the paper surveys institutional and policy options available to promote the transition to climateâ€smart agriculture at the smallholder level.,Sehemu ya pili ya karatasi inachunguza chaguzi za kitaasisi na sera zinazopatikana ili kukuza mpito wa kilimo kinachozingatia mabadiliko ya tabianchi katika ngazi ya wakulima wadogo.,Ensemo yakabere ase amang'ana aya ase risakara igoro yokobwatia komanya igoro yoborai amo namachiko areo gosegetaogoonchoreria gochia oboremi bokegenda nerire gati yabaremi begondo emeke.,True,False,,
368,481,Education,Integrate music education 2022.,Unganisha elimu ya muziki 2022.,Renta amo chisemi chiechingero 2022.,True,False,,
321,408,Education,Grade 6 transition after KPSEA results in December.,Mpito wa Darasa la 6 baada ya matokeo ya KPSEA mwezi Desemba.,Grade 6 transition after KPSEA results in December.,True,False,,
815,1314,Health,Nationwide dusk to dawn curfew extended by 21 days in a bid to tame Covid-19 spread,Amri ya kutotoka nje ya nchi nzima kuanzia jioni hadi alfajiri yaongezwa kwa siku 21 ili kupunguza kuenea kwa Covid-19,"Richiko riogotasoka isiko ase ense engima, gochakera morogoba, goika bwakiire, riamentirwe amatuko 21 erio gokeani okoambokerigwa gwa Covid-19",True,False,,
2309,3090,Security,Reporting corruption aids asset recovery and strengthens law enforcement. Use official channels.,Kuripoti ufisadi husaidia kurejesha mali na kuimarisha utekelezaji wa sheria. Tumia njia rasmi.,Karwe eripoti yobokengeka nigo egokonya ase okoirania enibo konye yaibirwe na gokong'ia obokoreri bwamachiko . Wetera chinchera chiekeofisi.,True,False,,
