PSA_Id,Domain,Class,English,Ekegusii
30,Education,PSA,Access EduTV via Kenya Education Cloud.,Nyora amasomo goetera omoroberio bweserikari ya Kenya (Edu TV)
31,Education,PSA,Access free resources! Distribute free textbooks to rural schools.,banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende
32,Education,PSA,Access KPSEA results from December 1 via school portal.,abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.
33,Education,PSA,"Access KPSEA results via school portal from December 1, 2025.",Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.
34,Education,PSA,Access results from Dec 1 via portal.,Nyora amairanerio yamatemwa abo korwa etariki entang’ani yomotienyi 12
35,Education,PSA,Access results via school portal from December 1.,nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.
36,Education,PSA,Accessible legal text for learners and public,nyora ebitabu biamachiko ase baria bagosoma amo neamate
37,Education,PSA,"Act now! Communities, prevent FGM to protect girls.",bogoria egetambokero bono! konya gotanga ogsara abana abanyaroka erio kobarenda
40,Education,PSA,All belong! Enroll refugee children in schools today.,bonsi nabanyene! Beka abana babaria batamire chisegi sobo esukuru rero
41,Education,PSA,"All boarding schools must conduct safety audit by September 30, 2025.",Chisukuru chionsi abana bakorara ime nere buya nemeroberio yogotanga ogwateka kwemerero as chisukuru chiabo nomoroberio bwokominchoria ekero omorero bwatekire goika omotienyi okianda chitariki 30.2025
43,Education,PSA,All can learn! Use braille and ramps for disabled students.,bonsi nabo barasome!Tumia ebitabu biria biemeuko and nebinto birai biogwerirera ase abana bari bare noborema bwogotara
50,Education,PSA,All registered candidates must appear in the attendance register.,abana bariria bonsi bagochi gokora amatemwa goika barorekane ase egetabu
62,Education,PSA,All TVET graduates guaranteed 6-month paid internship from January 2026.,Abarimu baria bakorire amasomo yobobundi nechisemi chiokwegendereria baenekeriigwe konyora omosara bwemetienyi 6 yechingaki chiokwegera gosomia gochakera omotienyi bweritang'ani 2026.
63,Education,PSA,"All TVET students get Ksh 10,000 monthly stipend + free laptop from Jan!","abarimu bonsi besekenderi yanse bagosomia obobundi nechisemi chiokwendereria (TVET) banyore chisiringi 10,000 kera omotienyi chiogwekonyera  amo nechikombiuta chia koboko nyuma yomotienyi omotang’ani"
65,Education,PSA,All TVET students to get free laptops under new digital literacy program.,Abarimu bonsi besekenderi yanse baria bagosomia obundi nechisemi chiokwegendereria (TVET) banyore chikombuta chikoboko ase omoroberio otekinorochia goikerania amasomo yegetekinorochia
66,Education,PSA,"All TVET trainees to get Ksh 7,000 monthly stipend starting January.","abarimu baria binsi bkwegerigwa gosomia baakanwe 7,000 kera omotieny bekonyere nechikombiuta chiokoboko chiokwegeria gosomia tekinorochia nyuma ya yomotienyi omtang’ani 2026"
71,Education,PSA,App features logic games based on civic themes,omoroberio bwekombiuta okworekereria chigosori erio gokonya abana gosoma igoro yobogesaku
72,Education,PSA,App gives points for learning and reporting,Omoroberio oyo nigo okorwa ayarengete amaosomo na komanyia
73,Education,PSA,Apply for bursaries for needy students 2022.,Toma ogosaba kwao onyore chibesa chiria chirengete amasomo yabana baria batari kwenyara 2022
74,Education,PSA,Apply for TVET bursaries by March 15 via HELB portal.,Toma ogosaba kwao gochia chisukuru chiria chiobobundi nechisemi chiokwegendereria (TVET) onyore chibesa chiogosoma nyuma ya yechitari 15 omotienyi 3 goetera ekeombe keria gekorwa chibesa gokonya abana ba amasomo aigoro (HELB)
75,Education,PSA,Apply for TVET bursaries by March 15 via HELB.,Toma ogosaba kwao gochia chisukuru chiria chiobobundi nechisemi chiokwegendereria (TVET) onyore chibesa chiogosoma goetera ekeombe keria gekorwa chibesa gokonya abana ba amasomo aigoro (HELB)
76,Education,PSA,"Apply for TVET bursaries via HELB portal by March 15, 2025.",Toma ogosaba kwao gochia chisukuru chiria chiobobundi nechisemi chiokwegendereria (TVET) onyore chiogosoma goetera ekeombe keria gekorwa chibesa gokonya abana ba amasomo aigoro (HELB) nyuma yechitariki 15 chiomotienyi 3 omwaka o 2025
77,Education,PSA,Apply TVET bursaries by March 15.,Toma ogosaba kwao gochia chisukuru chiria chiobobundi nechisemi chiokwegendereria (TVET) onyore chibesa chiogosoma nyuma yechitariki 15 omotienyi 3
78,Education,PSA,Artists depict stories of civic justice,Abegi nkwegia bare goetera chigosori chiabo igoro buna oboronge bwoboamate bobwenerete obuya ase bonsi
79,Education,PSA,Assess school performance 2025.,Renga komanya buna chisukuru chigokora ase amasomo abo
80,Education,PSA,Assess teacher performance via TPAD 2025.,Renga komanya buna abarimu bagosomia abana goetera ebirengero bieserikari (TPAD 2025)
81,Education,PSA,Assess vocational outcomes 2025.,Renga komanya buna chisukuru chiria chikorwa amasomo yechisemi chiokwegendereria ao ao chigokora omwaka o 2025
83,Education,PSA,Attend CBC forum Feb 20 at county hall.,ikerania goika ase ebikaranso bia amasomo CBC chitariki 20 chiomotienyi 2 abwo ase chinyoba chiebikaranso biekaonti
84,Education,PSA,Attend CBC forum on February 20 at county hall.,ikerania goika ase ebikaranso bia amasomo CBC chitariki 20 chiomotienyi 2 abwo ase chinyoba chiebikaranso biekaonti
85,Education,PSA,Audit school funds transparently 2023.,85 rigereria ebitabu biechibesa komanya gose chibesa mbuya chigokora emeremo maiso marore
86,Education,PSA,Audit schools! Ensure compliance with fire safety standards.,Rigia komanya buna chisukuru chigendererete! Ikerania ayabwenerete gokorwa gotanga ogwateka kwemerero
88,Education,PSA,Back to school! Join flood recovery programs for safe learning.,koirana esukuru! Soa omoroberio bwokoreta ogokonywa ase baria banyoretwe nomochando bwetoigo erio gotanga emebasekano buna eyio naende erio amasomo agenderere buya.
89,Education,PSA,Basic Education Statistical Booklet 2020 released.,Ebitabu bikworokereria Amasomo Oboroso 2020 biasokire
90,Education,PSA,"Be accountable! Schools, manage funds transparently.","Kabe omotenneeri omuya! Chisukuru,renda chibesa na kabe maiso marore"
91,Education,PSA,"Be alert! Communities, report trafficking risks to 116.","Renda kegima! Ebinyoro, karwe amang’ana gotanga okoibwa kwa abana goetera 116."
92,Education,PSA,Be alert! Report suspicious activities near schools to authorities.,Ramokia amaiso! Manyia abagambi igoro yebinto biechitang'utang'u ang’e nesukuru.
93,Education,PSA,Be cautious! Avoid chemical hazards near schools.,Ramokia amaiso! Tanga emechando ekorentwa nebinto biria abana bagokorera obosansi esukuru bire ebiechisumu
95,Education,PSA,Be prepared! Conduct fire evacuation drills in schools.,Eariganie ase etoigo! Practice safe evacuation in schools. Egera chinchera chiokonyi ase chikuru.
96,Education,PSA,Be prepared! Conduct regular fire safety drills in schools.,"Kabe nomoroberio na botambe kweger chinchera chiobosala chia bwango korusia abana, abarimu na abakori emero isiko yesukuru abwo ase omorero ogwoka "
100,Education,PSA,Be vigilant! Report school fee fraud to authorities.,Kabe nobong’aini. Manyia abatenereri bechisukuru igoro yoboibi bwechibesa chiesukuru .
101,Education,PSA,"Becomes Technical University of Mombasa, offering modern TVET.","Yabeire Uyunifasity Yobobundi Nechisemi Chiokwegendereria ya Mombasa, egosomia amasomo abono a TVET."
102,Education,PSA,Boost STEM! Promote science and technology in schools.,chinde ase chingongo chai ime buna kitui.
103,Education,PSA,Bridge the gap! Build more schools in rural areas like Kitui.,Keania ogotareng'ana ase chisemi! Gesa chisukuru  Karwe ebikireri biegedichitari as abana bare noborema.
104,Education,PSA,Bridge the gap! Provide digital tools for disabled students.,Keania ogotareng'ana. Karwe ebigokonya abana goikera etkinorochia.
105,Education,PSA,Broadcasts customized per region,Okoraria korengete chingongo
106,Education,PSA,Build better schools! Invest in classrooms and facilities.,Agacha chisukuru chingiya! Segeta emeroberio yoboagachi ase chingongo chinyomo.
107,Education,PSA,Build better schools! Support infrastructure projects in ASAL regions.,Agacha chinyomba chiokorara chiesukuru chiria abana benyete ime omwaka 2022.
108,Education,PSA,Build dormitories for boarding schools 2022.,Agacha chisemi! Rosia chinyomba chiogosomera kera esukuru.
109,Education,PSA,Build knowledge! Establish libraries in every school.,Menta koagacha ebirasi bia abana bagosomera omwaka 2022.
110,Education,PSA,Build more classrooms 2022.,Aagacha chinyomba chiria chiogokora emesangerekano omwaka 2022.
111,Education,PSA,Build multi-purpose halls 2022.,Baagache chinyomba chiogokora emesangerekano ao ao
112,Education,PSA,Build safely! Install flood-resistant school structures.,Baagahe mochando otaiyo! Barosie amaagacho akonyara koremereria etoigo.
113,Education,PSA,Build skills! Enroll in construction training programs.,Kinia chisemi! Erike ase omoroberio bwoboagachi.
114,Education,PSA,Build teacher resource centers 2022.,Agacha chinyomba ase abaarimu bakonyora chisemi omwaka o 2022.
115,Education,PSA,Build your future! Join TVET programs for technical skills.,Agacha obogima bwamotwe bwao! Soa omoroberio bwobundi nechisemi chiokwegendereria .
116,Education,PSA,Bursary application portal now open for needy students in all 47 counties.,Egekoreri giokorwa chibesa gonya baria bigosoma oigoirwe bono as abana baria bare nokogania ime yechikaonti 47 chionsi.
124,Education,PSA,Celebrate education milestones 2025.,Gokera ayaikeranigwe ase chisemi 2025.
125,Education,PSA,Celebrate teachers' day 2025.,Gokera rituko riabarimu 2025.
126,Education,PSA,Centre Managers and Invigilators must register on CP2 system.,Abateneneri bechisenta chiamatemu nabanene babo goika berika ase omoroberio o CP2.
129,Education,PSA,Civic education clubs mandatory in all secondary schools from 2026.,Ebiombe igoro yobogesaku birosigwe onsi
136,Education,PSA,Civic education now a compulsory subject in all teacher training colleges.,Amasomo obogesaku bono nayekebetererio  ase chikorechi chibwarimu chionsi.
138,Education,PSA,"Clean schools, healthy students! Maintain sanitation to stop cholera.","Sibia chisukuru, abana bare na afia engiya! Renda obochenu bwechicoo na amache gotanga endwari yogosaa."
139,Education,PSA,Clubs host mock elections and debates,Ebiombe biesukuru nkoba bire nokwegia kwobochori amo nechinkwana.
140,Education,PSA,Clubs to perform for civic week,Ebiombe korwa amaorokererio ekero kwegwiki yobogesaku
141,Education,PSA,Code your future! Learn IT skills in vocational programs.,Agacha na beka chinguru obogima bwao bwa motwe! Egera igoro yechinchera chiokomanyia na kogacha amang'ana (IT) ase omoroberio bwechikorechi chiechisemi.
142,Education,PSA,Collaborations with urban artists,Bwaterana na baria bechigosori chiokwegia bemechie.
143,Education,PSA,Comic translated into 3 languages,Enkwana ase ebiorokererio yaonchoirwe ase emenwa yebisaku bitato
144,Education,PSA,"Communities, be vigilant! Report terror threats near schools.","Ebinyoro, kabe maiso! Karwe amang'ana igoro yobosaria gochia schools."
145,Education,PSA,"Communities, stay safe! Prevent abductions near schools.","Ebinyoro, menya bwoba botaiyo! Tanga okobwatwa kwa abanto ase enchera etabwenereti ange nechisukuru."
146,Education,PSA,"Communities, support schools! Contribute to fee payments.","Ebinyoro, sira chisukuru. Ekeranio ayio ase ogoakana esukuru fisi."
147,Education,PSA,Conduct energy audits 2024.,kabe nomoroberio bwokomanya buns omorero gose esitima egotumeka 2024.
148,Education,PSA,Conduct enrollment drives 2025.,Kora emeroberio yokorika abana 2025.
149,Education,PSA,Conduct equity audits 2023.,Kora omoroberio bwokomanya oboreng'ananu 2023.
150,Education,PSA,Conduct fire drills in schools 2020.,Kebe nomoroberio bwokomanya buna omorero gose esitima egotumeka gotanga ogwateka kwomorero esukuru 2020.
151,Education,PSA,Conduct heritage days 2020.,kabe nomoroberio bwogochengera na gosegeta chingencho chiobogesaku ase oboama 2020.
152,Education,PSA,Conduct literacy assessments 2020.,Kabe nomoroberio komanya ebirengo biechisemi 2020.
153,Education,PSA,Conduct parent-teacher conferences biannually.,Kabe nomoroberio bwokorenta abaibori na abarimu amo ase chinkwana arakabere ase omwaka
154,Education,PSA,Conduct safety audit in boarding schools by September 30.,Kabe nomoroberio yokobeka oborendi obuya ase chisukuru chiria abana bamenyete ime nyuma yechitariki 30 omotienyi 9.
155,Education,PSA,Conduct safety audit using 2008 Manual by September 30.,Kabe nomoroberio omuya bwoborendi goetera egatabu kiamaorokererio kia omwaka 2008 nyuma yechitariki 30 chiomotienyi 9.
156,Education,PSA,Conduct school audits for safety 2024.,Kabe nomoroberio bwokomanya oborendi bwesukuru omwaka 2024.
157,Education,PSA,Conduct waste management training 2024.,Kbe nomoroberio bwokwegeria buna ogosangereria eubi 2024.
158,Education,PSA,Connect rural schools! Provide internet for learning.,Bwatania chisukuru chia nka! Renta omoroberio bweintaneti gokonya gosoma.
159,Education,PSA,Connect to learn! Provide free Wi-Fi in schools.,Bwatana na abana bari bagosoma! Karwe omoroberio obosa bweintaneti ase chisukuru.
160,Education,PSA,Continue learning! Support schools in drought zones.,Genderera gosoma! Konya chisukuru chiria chire ase chingongo chinyomo.
161,Education,PSA,Correct details on CBA portal now.,Amang'ana amaikeranu bono igoro yechisemi chiria chirengete okwenya gwa kera omwana nao chire ase (CBA) bono.
162,Education,PSA,Correct details on CBA portal to avoid disqualification.,Amang'ana amaikeranu echisemi chiria chirengete okwenya gwa kera omwana nao are CBA erio gotanga okoiyerigwa amatemu.
163,Education,PSA,Correct details on CBA portal to avoid issues.,Amang'ana amaikeranu ase CBA gotanga mochando onde bwensi.
185,Education,PSA,Demand accountability! Ensure school funds are used wisely.,Demand accountability! Ensure school funds are used wisely.
186,Education,PSA,Demand accountability! Ensure transparent school fund management.,Segeta oboteneneri obuya! Rora ng'a chibesa chiesukuru mbuya chigora emeremo.
189,Education,PSA,"Deputy President William Ruto on Wednesday ordered the Ministry of Education to purchase a new generator for the Kenya Technical Trainers College (KTTC). The directive by Ruto came after his speech, w...","Omokonyi bwomogambi omonene William Ruto etichi gatato akarwa ogochika ng'a eministiri yechisemi egorere chisukuru chionsi chiobobundi buna Kenya Technical Trainers College (KTTC) chichenereta chinyia.  Ogochika oko kwa Ruto nogo gwachete motwe yenkwana yaye, w..."
191,Education,PSA,Develop assessment rubrics 2022.,Rosia ebinto biokorenga amasomo abana boronge 2022.
192,Education,PSA,Develop assessment tools 2021.,Rosia ebokorero biokorenga 2021.
193,Education,PSA,Develop e-books 2021.,Rosia ebitabu biegetekinorochia 2021.
194,Education,PSA,Develop sports facilities 2021.,Rosia aseagokorerwa chigosori 2021.
195,Education,PSA,Develop VR lessons 2021.,Rosia amasomo are nebiorokererio biechibicha 2021.
197,Education,PSA,Displays civic comics and ethics games,Gekworokia amasomo obogesaku ase chibicha.
198,Education,PSA,Distribute free textbooks to all students 2022.,Karwe ebitabu biogosoma bosa ase abana bonsi  2022.
199,Education,PSA,Distribute sanitary towels to girls 2020.,Karwe ebitambaa biria biobochenu chingaki chia abang'ina ase chinyaroka 2020.
200,Education,PSA,Distributed through kiosks and WhatsApp,Chikorugwa goetera ebiosiki na WhatsApp
201,Education,PSA,Do your part! Teach students about civic responsibilities.,Kora ensemo yao! Somia abana igoro yamasomo yobegasaku neki kebwenerete gokorwa.
202,Education,PSA,Download CBC curriculum materials online.,Nyora omoroberio bwamasomo aria arengete okwenyara gwa kera omwana (CBC) goetra tekinorochia.
204,Education,PSA,Download KCSE 2025 timetable from KNEC portal by October 1.,Nyora omoroberio buna amatemwa esekenderi KCSE 2025 arakorwe korwa ekeombe keria ekenene getenerete amatemwa (KNEC) nyuma yetariki 1 omtienyir 10.
205,Education,PSA,Download KCSE sample papers from KNEC portal.,Nyora ebikworokereria amatemwa amatemwa esekenderi (KCSE) korwa ekeombe keria ekenene getenerete amatemwa (KNEC).
206,Education,PSA,Download KCSE timetable from KNEC portal.,Nyora omoroberio bwamatemwa yesekenderi (KCSE) korwa keombe keria ekenene getenerete amatemwa (KNEC).
207,Education,PSA,Download KJSEA sample papers from CBA portal now.,Nyora ebikworokereria amatemwa amatemwa esekenderi ya inse (KJSEA) korwa ekeombe keria keyatenenerete gia (CBA) bono.
208,Education,PSA,Download KJSEA samples from CBA portal now.,Nyora ebikworokereria amatemwa KJSEA samples from CBA portal now.
209,Education,PSA,Download KPSEA sample papers from the KNEC CBA portal now.,Nyora ebikworokereria amatemwa aetete a KPSEA korwa KNEC CBA bono.
211,Education,PSA,Dress for success! Apply for uniform subsidies for needy students.,Eganchwa yobobui! Toma ogosaba kwao kwogokeerigwa rigori kogora eyunifomu ase abana baria bateri kwenyara.
212,Education,PSA,Drink safe water! Prevent cholera in schools.,Kanywe amache atabwati ebinyinyi! Tanga endwari yogosaa ase chisukuru.
213,Education,PSA,Dual training alert: All TVET students must sign industry contracts by Dec 31.,Kabe maiso ng'a amasomo igoro ya ayande ara rimo achakire. Abarimu bonsi bobundi nechisemi chiokwegendereria (TVET) abana goika babeke egechara kiogwancherana kiogwancherana emeremo nyuma yechitriki 31 chiomotienyi 12.
216,Education,PSA,Dual training now mandatory: All TVET students must work while learning.,Kabe maiso ng'a amasomo igoro ya ayande ara rimo goika akorwe: Abana bonsi ba TVET goika bakore emeremo ekero bagosoma.
217,Education,PSA,EACC builds local watchdog groups to fight bribery in counties.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) nkorosia kere nkere nabatuki baye gokemanyia na korwania obokengeka na koria amaaki ase chokaonti.
218,Education,PSA,EACC campaigns to encourage anonymous reporting of corruption cases.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) nkegendererete gosegeta na koa abanto emioyo yokobamanyia obokurumi otari goteba erieta riao goro yobokurumu.
219,Education,PSA,EACC forms school clubs to nurture anti-corruption values.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) nkorosia bare ebiombe chisukuru erio gokong'ia  values.
220,Education,PSA,EACC introduces a mobile app for easy reporting of corruption.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) kiabekire emeroberio emiororo erio gokemanyia obokurumi.
221,Education,PSA,EACC introduces multiple reporting channels for whistleblowers.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) kiarure omoroberio ase abaaki enangi gokemanyia amang'ana.
222,Education,PSA,EACC sensitizes citizens on reporting corruption through county forums.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) ngosomia kere abanainchi buna babwenerete gokemanyia obokurumi goetera ebikaranso biekaonti.
223,Education,PSA,EACC supports local offices to prevent misuse of public funds.,Ekeombe keria ekenene getenenerete oboikeranu na gotanga obokurumi (EACC) ngosira kere chiofisi chia inse gotanga gotumia bobe chibesa chieserikari.
224,Education,PSA,Educate communities! Teach banditry prevention near schools.,"Somia ebinyoro! Somia igoro yogotanga obokebago bwokoboera abanto na kobaunereria gose kobabisa erio baegwe chibesa, ang'e nesukuru."
225,Education,PSA,Educate girls! Teach about FGM risks in schools.,Somia abana abanyaroka! Basomie igoro yobobe bwokobasara (FGM) na buna gokorenta emechando ase ogosoma kwabo.
226,Education,PSA,Educate parents! Teach FGM risks to protect girls.,Somia abaibori! Basomie igoro yobobe bwogosara abana abanyaroka erio babarende.
227,Education,PSA,Educate students! Teach fire safety in schools.,Somia abana! Basomie buna babwenerete  kwerenda ase emerero.
228,Education,PSA,Educate students! Teach flood safety in schools.,Somia abana! Basomie igoro yetoigo ase esukuru.
229,Education,PSA,Educate students! Teach protest safety in schools.,Somia abana! Basomie enchera yokwerenda ekero kiamaandamano esukuru.
230,Education,PSA,Educate students! Teach terror prevention in schools.,Somia abana! Basomie igoro buna babwenerete gotanga obokebago bwechibunduki nechibomu.
231,Education,PSA,Educate teachers! Teach landslide safety in schools.,Somia abarimu! Somia igoro yokwerenda ase okoanyoka kweriroba chisukuru.
233,Education,PSA,Education Chief Administrative Secretary Zac Kinuthia announced that journalists seeking to cover school-related stories must now obtain prior clearance from the Ministry of Education.,Omoriki omonene bwechisemi Zac Kinuthia akamanyia ng'a abariki amang'ana korika amangana abwatekaine nechisukuru bono goika barigie ogwancherwa korwa eministiri yechisemi nyuma batarika amang'ana ayio.
234,Education,PSA,Education for all! Enroll in mobile schools in pastoralist regions.,Chisemi ase bonsi! Erike ase omoroberio bwogosoma goetera chisimi giose chikombiuta ase abatugi bari bakong'anyang'anya.
235,Education,PSA,Education for all! Join nomadic schools for pastoralist kids.,Chisemi ase bonsi! Soa chisukuru chiokonganyanganya ase abana abatugi bokonganyanganya.
237,Education,PSA,Elimination of school levies: All public schools must comply with free education policy.,Rusia besa chinde chionsi chisukuru chogogosaba: Chisikuru chionsi chieserikari goika goika chiikeranie ayio erio goikerania ogochika gwechisemi chia bosa.
239,Education,PSA,Empower girls! Provide scholarships to keep girls in school.,Kae abana abanyaroka chinguru! Bae chibesa chiogosomera chiabosa erio ebakonye gotigara esukuru.
240,Education,PSA,Empower teachers! Provide training for modern teaching methods.,Kae abarimu chinguru! Bae kwegera igoro yogosomia gwechinchera chia bono.
241,Education,PSA,Empower women! Enroll in vocational training for women.,Kae abang'ina chinguru! Erike ase chisemi chiokwegendereria.
242,Education,PSA,Encourage community involvement 2025.,Segeta ogokora emeremo amo nebinyoro2025.
244,Education,PSA,Encourage STEM enrollment for girls 2022.,"Segetae abana abanyaroka gosomera emeremo yegesansi, chisabu, egetekinorochia nobobundi (STEM) 2022."
245,Education,PSA,Encourage vocational subjects 2025.,Segeta gosomera chisemi chiokwegendereria 2025.
246,Education,PSA,Enforce anti-corruption in education 2023.,Ikerania amachiko yogotanga obokurumi ase chisemi  2023.
247,Education,PSA,Enforce attendance policies 2023.,Ikerania amachiko igoro yogoikerania 2023.
248,Education,PSA,Enforce code of conduct 2023.,Ikerania amachiko emeremo nobokoreri 2023.
249,Education,PSA,Enforce uniform policies 2023.,Ikerania amachiko yechianga chikobekwa ase esukuru 2023.
250,Education,PSA,Engage students! Create forums to address unrest.,Bwaterana nabana! Rosia ribaga riogokwanerana igoro yamangana abachandete.
251,Education,PSA,English_text,Egetabu kiegesongo
252,Education,PSA,Enhance library services 2024.,Angoyia emeroberio yechinyomba chiogosomera omwaka 2024.
253,Education,PSA,"Enhanced security for 2025 exams: personalized papers, no phones.","Angoyia emeroberio yoborendi ase amatemwa omwaka 2025: goetera okorika amasakara, esimi yaya."
254,Education,PSA,Enroll in TVET programs for skills development 2025.,Erike ase esukuru yobobundi nechisemi chiokwegendereria (TVET) omoroberuio bwogokinia chisemi namagenderero 2025.
255,Education,PSA,Enroll now! Free primary education for all Kenyan children.,Erike bono! Amasomo abosa ase abana bechisukuru chioboroso.
256,Education,PSA,Enroll now! Join nomadic schools for pastoralist children.,Erike bono! Soa chisukuru chaiabana babatugi baria bakong'anyang'anya.
257,Education,PSA,Ensure access to education during COVID 2020.,Tema goikera chisemi chingaki chiendwari ya COVID 2020.
258,Education,PSA,Ensure access! Provide digital platforms for all students.,Tema goikera! Karwe omoroberio bwegedichitari ase abana bonsi.
259,Education,PSA,Ensure all learners have textbooks by January 6.,Rora nga abana bonsi mbare nebitabu biogosoma  nyuma yechitariki 6 chiomotienyi omtang'ani.
260,Education,PSA,Ensure all learners wear uniforms and carry IDs from January 6.,Rora nga abana bonsi mbagete chiyunifomu nakobogoria ebibande biabo korwa chitariki 6 chiomotienyi omotang'ani.
261,Education,PSA,Ensure clean water! Prevent cholera outbreaks in schools.,Rora ng'a amache mamarabu! Tanga ogwateka kwendwari yogosaa ase esukuru.
262,Education,PSA,Ensure compliance with 2008 school safety manual.,Rora nga noikeranetie amachiko boronge igoro yegetabu kiomoroberio bwoborendi bwesukuru 2008.
263,Education,PSA,Ensure compliance with safety manual.,Rora nga noikeranetie amachiko boronge buna are ase egetabu.
264,Education,PSA,Ensure compliance with school safety manual.,Rora nga noikeranetie amachiko yoborendi bwesukuru buna are ase egetabu kiamachiko echisukuru.
265,Education,PSA,Ensure disability ramps 2020.,Rora nga ebinto biria abana abaremaru bagwesugumera mbireo 2020.
266,Education,PSA,Ensure equitable resource distribution 2020.,Ikerania obobagi bwechibesa boreng'aine 2020.
267,Education,PSA,Ensure inclusion! Provide digital access for all students.,Korera bonsi! Konya abana bonsi goikera egedichitari.
268,Education,PSA,Ensure safe drinking! Provide clean water in schools.,Rora ng'a ase abana bakonwera amache nagaya! Karwe amache amarabu ase esukuru.
269,Education,PSA,Ensure safety! Comply with fire standards in school dormitories.,Ensure safety! Comply with fire standards in school dormitories.
270,Education,PSA,Ensure safety! Protect refugee students in schools.,Ensure safety! Protect refugee students in schools.
271,Education,PSA,"Ensure safety! Schools, address unrest causes promptly.","Ikerania oborendi! Chisukuru, kwanera  amangana agochanda abana otari gochererwa."
272,Education,PSA,"Ensure safety! Schools, prevent trafficking risks.","Rora ng'a oborendi mboreo! Chisukuru, tanga ekere keragere abana baibwe."
273,Education,PSA,Ensure teacher-student ratio 2025.,Rora nga enamba ya barimu neisaine abana bare ase esukuru 2025.
274,Education,PSA,"Ensure textbooks by January 6, 2025.","Rora nga nore nebitabu biogosoma nyuma ya yechitariki 6 omotienyi omotangani, 2025."
275,Education,PSA,"Ensure uniforms and IDs from January 6, 2025.","Rora nga kera omwana nare neyunifomu nekebade nyuma yechitariki 6 chiomotienyi omotang'ani , 2025."
