PSA_ID,Domain,en,guz,source_tag,en_clean,guz_clean,len_ratio,sw_clean
11,Education,[Special Needs Education] Launch of inclusive education programs with assistive technology for learners with disabilities,"[Chisemi ase baria abaremaru] Omoroberio bwogochaka chisemi ase bonsi goetera ebinto biria bogokonya emeuko, amatino na amamama ochakirwe ase abaremaru abwo bonsi ",Special Needs Education,Launch of inclusive education programs with assistive technology for learners with disabilities,"Omoroberio bwogochaka chisemi ase bonsi goetera ebinto biria bogokonya emeuko, amatino na amamama ochakirwe ase abaremaru abwo bonsi",0.71969697,Kuzindua mipango ya elimu ya pamoja na teknolojia ya kusaidia kwa wanafunzi wenye ulemavu
12,Education,"[Training Achievement] Over 91,000 teachers trained to deliver digital learning content as part of Digital Literacy Programme implementation","[Ayaikereirwe ase okwegeria] Goetania abaarimu 91,000 baegerigwe buna bagochia gosomia chisemi chiegetekinorochia ase omoroberio bwokomanyia abana buna omoroberio ogikeranigwa ",Training Achievement,"Over 91,000 teachers trained to deliver digital learning content as part of Digital Literacy Programme implementation","Goetania abaarimu 91,000 baegerigwe buna bagochia gosomia chisemi chiegetekinorochia ase omoroberio bwokomanyia abana buna omoroberio ogikeranigwa",0.801369863,"Walimu zaidi ya 91,000 wamezoezwa kutoa maudhui ya kujifunza ya digital kama sehemu ya utekelezaji wa Mpango wa Digital Literacy"
13,Education,"[TSC Recruitment] Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","[Buna Ekeombe Ekenene Gekorika ] Amabaga 46,000 yabarimu beukuru yoboroso atangasirwe, chisukuru chiesekenderi ya inse, amo nechisekenderi atangasirwe nomoerio bwogotoma gosaba emeremo eyio nechitariki 7 omotienyi oikomi, omwaka 2024",TSC Recruitment,"Advertisement for 46,000 teaching positions across primary, junior secondary, and secondary schools with application deadline October 7, 2024","Amabaga 46,000 yabarimu beukuru yoboroso atangasirwe, chisukuru chiesekenderi ya inse, amo nechisekenderi atangasirwe nomoerio bwogotoma gosaba emeremo eyio nechitariki 7 omotienyi oikomi, omwaka 2024",0.705,"Tangazo la nafasi za kufundisha 46,000 katika shule za msingi, za sekondari na za sekondari na tarehe ya mwisho ya maombi Oktoba 7, 2024"
14,Education,"1,500 new special needs units built ÃÂ¢Ã¢âÂ¬Ã¢â¬Å transfer your child before Jan 6!","Ebirasi 1,500 biogosomera biabana baria bare noboremaru biaagachirwe, rusia na koira omwana oo nyuma ya chitariki 6 omotienyi omotangani!",,"1,500 new special needs units built – transfer your child before Jan 6!","Ebirasi 1,500 biogosomera biabana baria bare noboremaru biaagachirwe, rusia na koira omwana oo nyuma ya chitariki 6 omotienyi omotangani!",0.518248175,"1,500 mpya mahitaji maalum vitengo kujengwa  kuhamisha mtoto wako kabla ya Jan 6!"
15,Education,100% transition policy: Every child must be in school January 6 ÃÂ¢Ã¢âÂ¬Ã¢â¬Å no excuses!,Richiko riogotamboka gochia ayio emia ase emia: Kera omwana goika abe osoire esukuru nyuma yechitariki 6 omotienyi omotang'ani. Gotamera kende tikoiyo!,,100% transition policy: Every child must be in school January 6 – no excuses!,Richiko riogotamboka gochia ayio emia ase emia: Kera omwana goika abe osoire esukuru nyuma yechitariki 6 omotienyi omotang'ani. Gotamera kende tikoiyo!,0.509933775,Sera ya mabadiliko ya 100%: Kila mtoto lazima awe shuleni Januari 6  hakuna udhuru!
16,Education,100% transition policy: No child to repeat Class 8 from 2025.,Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.,,100% transition policy: No child to repeat Class 8 from 2025.,Richiko riogotamboka gochia ayio emia ase emia: Mwana onde tari orairore ekerasi kia 8 korwa omwaka 2025.,0.580952381,Sera ya mabadiliko ya asilimia 100: Hakuna mtoto atakayefanya darasa la 8 kuanzia 2025.
17,Education,100% transition: Every Grade 6 must report to JSS ÃÂ¢Ã¢âÂ¬Ã¢â¬Å no staying home!,Okonganya emia ase amia: Kera omwana bwegeredi gia 6 goika soe esukuru yesekenderi ya inse (JSS) kobera nka tikoiyo!,,100% transition: Every Grade 6 must report to JSS – no staying home!,Okonganya emia ase amia: Kera omwana bwegeredi gia 6 goika soe esukuru yesekenderi ya inse (JSS) kobera nka tikoiyo!,0.586206897,100% ya mabadiliko: Kila darasa la 6 lazima kuripoti kwa JSS  hakuna kukaa nyumbani!
18,Education,"15,000 full secondary scholarships for arid counties ÃÂ¢Ã¢âÂ¬Ã¢â¬Å apply before Nov 30 via county office!","Chibesa chiria chiogokonya abana ase abana 15,000 ase amasomo esekenderi ase abana baria bare ase chingongo chinyomo, toma ogosa nyuma yomotienyi 11 goetra ofisi chiekaonti yao!",,"15,000 full secondary scholarships for arid counties – apply before Nov 30 via county office!","Chibesa chiria chiogokonya abana ase abana 15,000 ase amasomo esekenderi ase abana baria bare ase chingongo chinyomo, toma ogosa nyuma yomotienyi 11 goetra ofisi chiekaonti yao!",0.525423729,"15,000 kamili ya masomo ya sekondari kwa wilaya kavu  kuomba kabla Novemba 30 kupitia ofisi ya wilaya!"
19,Education,"2,000 new mental health counselors deployed to secondary schools ÃÂ¢Ã¢âÂ¬Ã¢â¬Å book today!","Abasemia bebirengererio biobongo 2,000 batomirwe gochia chisukuru chiesekenderi,  rigia ribaga rero!",,"2,000 new mental health counselors deployed to secondary schools – book today!","Abasemia bebirengererio biobongo 2,000 batomirwe gochia chisukuru chiesekenderi, rigia ribaga rero!",0.787878788,"Washauri wapya 2,000 wa afya ya akili waliotumwa katika shule za sekondari  kitabu leo!"
20,Education,"2,014 permanent and pensionable posts for secondary school teachers.","Amabaga ya abarimu 2,014 ase omoroberio opamanenti nechibesa chiobogotu atoirwe",,"2,014 permanent and pensionable posts for secondary school teachers.","Amabaga ya abarimu 2,014 ase omoroberio o'pamanenti nechibesa chiobogotu atoirwe",0.85,"2,014 nafasi za kudumu na za kustaafu kwa walimu wa shule za sekondari."
21,Education,"20,000 junior secondary teachers recruited to support CBC rollout.","Abarimu 20,000 besekenderi chianse barikirwe gosira omoroberio bwogochakia chisemi chirengete ekeegwa gia kera omwans (CBC)",,"20,000 junior secondary teachers recruited to support CBC rollout.","Abarimu 20,000 besekenderi chianse barikirwe gosira omoroberio bwogochakia chisemi chirengete ekeegwa gia kera omwans (CBC)",0.536585366,"Walimu 20,000 wa sekondari wa chini waliajiriwa kusaidia kuanzishwa kwa CBC."
22,Education,200 Stipendium Hungaricum scholarships open for Kenyan undergraduate students.,Omoroberio bweserikari kobwaterana neserikari ya Hungary (Hungaricum scholarships) oigoirwe ase 200 ase baria basomeire edigrii entangani bachie gosoma.,,200 Stipendium Hungaricum scholarships open for Kenyan undergraduate students.,Omoroberio bweserikari kobwaterana neserikari ya Hungary (Hungaricum scholarships) oigoirwe ase 200 ase baria basomeire edigrii entang'ani bachie gosoma.,0.509803922,200 Stipendium Hungaricum masomo wazi kwa wanafunzi wa chuo kikuu Kenya.
23,Education,"3,000 new special needs teachers deployed ÃÂ¢Ã¢âÂ¬Ã¢â¬Å your child gets support from Jan!","Amabaga amayia 3,000 yabarimu yamaremaru ao ao batomirwe chisukuru,  omwana oo nabe okonyore obokonyi gochkera omotieny omtang'ani!",,"3,000 new special needs teachers deployed – your child gets support from Jan!","Amabaga amayia 3,000 yabarimu yamaremaru ao ao batomirwe chisukuru, omwana oo nabe okonyore obokonyi gochkera omotieny omtang'ani!",0.592307692,"3,000 walimu wapya wa mahitaji maalum kutumwa  mtoto wako anapata msaada kutoka Jan!"
24,Education,488 vacancies announced for teachers and interns in special needs institutions.,Amabaga 488 atangasirwe ase abarimu na abarimu baria bakwegera obwarimu boigo ase chisukuru chiria chia abana bare noboremaru ao ao interns in special needs institutions.,,488 vacancies announced for teachers and interns in special needs institutions.,Amabaga 488 atangasirwe ase abarimu na abarimu baria bakwegera obwarimu boigo ase chisukuru chiria chia abana bare noboremaru ao ao interns in special needs institutions.,0.464705882,Mahali pa kazi pa wazi 488 kwa walimu na wafanya kazi katika taasisi za mahitaji ya pekee.
25,Education,500 schools get free counseling rooms. book a session with your principal!,Chisukuru amagana 5 (500) chianyorire ebonyomba biogokorerwa obosemia. Saba konyora ribaga eiobosemia nomwalimu oo,,500 schools get free counseling rooms. book a session with your principal!,Chisukuru amagana 5 (500) chianyorire ebonyomba biogokorerwa obosemia. Saba konyora ribaga eiobosemia nomwalimu oo,0.649122807,Shule 500 hupata vyumba vya ushauri bure.
26,Education,"996,078 candidates registered for KCSE; 1,298,089 for KPSEA.","Abana 996,078 baria bagochia gokora korika amatemwa yesekenderi ekerasi gia kane (4) 1,298,089 ba KPSEA.",,"996,078 candidates registered for KCSE; 1,298,089 for KPSEA.","Abana 996,078 baria bagochia gokora korika amatemwa yesekenderi ekerasi gia kane (4) 1,298,089 ba KPSEA.",0.576923077,"Wagombea 996,078 waliosajiliwa kwa KCSE; 1,298,089 kwa KPSEA."
27,Education,A 39-year-old nurse has finally graduated with a diploma from the Kenya Medical Training College (KMTC) in Siaya after struggling to study for 21 years. Judith Akoth can finally boast of being a nurse...,Omobwenia bwemiaka 39 okorire amasomo aye yediproma yobobwenia koprwa Esukuru Yobworokereria Bwobobwenia ya  Kenya (KMTC) aria Siaya nyuma yemechando emenge gosoma ase emiaka 21. Judith Akoth bwetogeirie koba omobwenia...,,A 39-year-old nurse has finally graduated with a diploma from the Kenya Medical Training College (KMTC) in Siaya after struggling to study for 21 years. Judith Akoth can finally boast of being a nurse...,Omobwenia bwemiaka 39 okorire amasomo aye yediproma yobobwenia koprwa Esukuru Yobworokereria Bwobobwenia ya Kenya (KMTC) aria Siaya nyuma yemechando emenge gosoma ase emiaka 21. Judith Akoth bwetogeirie koba omobwenia...,0.922727273,Mwanamke mwenye umri wa miaka 39 ambaye alihitimu kutoka chuo cha elimu ya kitiba cha Kenya (KMTC) huko Siaya baada ya kujitahidi kusoma kwa miaka 21.
28,Education,Access education! Enroll pastoralist children in mobile schools.,"Ekera chisemi! Rika abana babatugi ase omoroberio bwechisukuru chiokong,anyang,anya.",,Access education! Enroll pastoralist children in mobile schools.,"Ekera chisemi! Rika abana babatugi ase omoroberio bwechisukuru chiokong,anyang,anya.",0.761904762,Pata elimu! Waandikishe watoto wachungaji katika shule za mkononi.
29,Education,Access EduTV via Kenya Education Cloud daily.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,,Access EduTV via Kenya Education Cloud daily.,Nyora amasomo goetera omoroberio bweserikari (Edu TV) okera rituko,0.681818182,Pata EduTV kupitia Kenya Education Cloud kila siku.
30,Education,Access EduTV via Kenya Education Cloud.,Nyora amasomo goetera omoroberio bweserikari ya Kenya (Edu TV),,Access EduTV via Kenya Education Cloud.,Nyora amasomo goetera omoroberio bweserikari ya Kenya (Edu TV),0.629032258,Pata EduTV kupitia Kenya Education Cloud.
31,Education,Access free resources! Distribute free textbooks to rural schools.,banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende,,Access free resources! Distribute free textbooks to rural schools.,banyorire omoroberio bwokoegwa ebitabu biogosomera chisukuru chiria chire ime mono batari korwa kende,0.653465347,Pata rasilimali za bure!
32,Education,Access KPSEA results from December 1 via school portal.,abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.,,Access KPSEA results from December 1 via school portal.,abana bechisekenderi chia inse nigo bakonyora amatemwa abo na buna bakorete korwa ase KPSEA korwa omotienyi etariki eyemo yomoyienyi 12 goetera chisukuru chiabo.,0.341614907,Kupata matokeo ya KPSEA kuanzia Desemba 1 kupitia portal ya shule.
33,Education,"Access KPSEA results via school portal from December 1, 2025.",Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.,,"Access KPSEA results via school portal from December 1, 2025.",Nyora amairanerio yamatemwa PSEA goetra chisuru chiabo korwa etariki eyemo yomotienyi oikomi na kabere 2025.,0.564814815,"Pata matokeo ya KPSEA kupitia portal ya shule kutoka Desemba 1, 2025."
34,Education,Access results from Dec 1 via portal.,Nyora amairanerio yamatemwa abo korwa etariki entangani yomotienyi 12,,Access results from Dec 1 via portal.,Nyora amairanerio yamatemwa abo korwa etariki entang'ani yomotienyi 12,0.528571429,Matokeo ya kupata kutoka Desemba 1 kupitia portal.
35,Education,Access results via school portal from December 1.,nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.,,Access results via school portal from December 1.,nkonyora bare amairanerio yamatemwa abo gotera chisukuru chiabo korwa etariki eyemo yomotienyi 12.,0.5,Matokeo ya kupata kupitia portal ya shule kuanzia Desemba 1.
36,Education,Accessible legal text for learners and public,nyora ebitabu biamachiko ase baria bagosoma amo neamate,,Accessible legal text for learners and public,nyora ebitabu biamachiko ase baria bagosoma amo neamate,0.818181818,Maandishi ya kisheria ya kupatikana kwa wanafunzi na umma
37,Education,"Act now! Communities, prevent FGM to protect girls.",bogoria egetambokero bono! konya gotanga ogsara abana abanyaroka erio kobarenda,,"Act now! Communities, prevent FGM to protect girls.",bogoria egetambokero bono! konya gotanga ogsara abana abanyaroka erio kobarenda,0.64556962,"Tenda sasa! Jumuiya, kuzuia FGM kulinda wasichana."
38,Education,Adult education centers reopen January 13 ÃÂ¢Ã¢âÂ¬Ã¢â¬Å register free at any public primary school.,Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani   ÃÂ¢Ã¢âÂ¬Ã¢â¬Å register free at any public primary school.,,Adult education centers reopen January 13 – register free at any public primary school.,Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani – register free at any public primary school.,0.828571429,Vituo vya elimu ya watu wazima kufunguliwa tena Januari 13  kujiandikisha bure katika shule yoyote ya msingi ya umma.
39,Education,Adult literacy classes resume Jan 13 ÃÂ¢Ã¢âÂ¬Ã¢â¬Å register free at chiefÃÂ¢Ã¢âÂ¬Ã¢âÂ¢s office now!,"Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani chitariki 13, erike bosa ase ofisi yomogambi bono!",,Adult literacy classes resume Jan 13 – register free at chief's office now!,"Chisemi chia abanto abanene nchigorwe omotienyi omotang'ani chitariki 13, erike bosa ase ofisi yomogambi bono!",0.681818182,Masomo ya kusoma na kuandika ya watu wazima yanaanza Januari 13  kujiandikisha bure katika ofisi ya mkuu sasa!
40,Education,All belong! Enroll refugee children in schools today.,bonsi nabanyene! Beka abana babaria batamire chisegi sobo esukuru rero,,All belong! Enroll refugee children in schools today.,bonsi nabanyene! Beka abana babaria batamire chisegi sobo esukuru rero,0.757142857,Waandikishe watoto wakimbizi katika shule leo.
41,Education,"All boarding schools must conduct safety audit by September 30, 2025.",Chisukuru chionsi abana bakorara ime nere buya nemeroberio yogotanga ogwateka kwemerero as chisukuru chiabo nomoroberio bwokominchoria ekero omorero bwatekire goika omotienyi okianda chitariki 30.2025,,"All boarding schools must conduct safety audit by September 30, 2025.",Chisukuru chionsi abana bakorara ime nere buya nemeroberio yogotanga ogwateka kwemerero as chisukuru chiabo nomoroberio bwokominchoria ekero omorero bwatekire goika omotienyi okianda chitariki 30.2025,0.345,"Shule zote za ndani lazima zifanye ukaguzi wa usalama kufikia Septemba 30, 2025."
42,Education,All boarding schools must install fire alarms + sprinklers by Jan 6 ÃÂ¢Ã¢âÂ¬Ã¢â¬Å CS orders!,Chisukuru chiria chionsi abana bamenyete ime goika babeke ebonto bikorwa ogokurerwa ekero omorero bwatekire nebuinto biria bigosiarera amache korimia emerero. Omomonisita bwechisemi orure ogochika!,,All boarding schools must install fire alarms + sprinklers by Jan 6 – CS orders!,Chisukuru chiria chionsi abana bamenyete ime goika babeke ebonto bikorwa ogokurerwa ekero omorero bwatekire nebuinto biria bigosiarera amache korimia emerero. Omomonisita bwechisemi orure ogochika!,0.406091371,Shule zote za ndani lazima ziweke kengele za moto + sprinklers kufikia Januari 6  amri za CS!
43,Education,All can learn! Use braille and ramps for disabled students.,bonsi nabo barasome!Tumia ebitabu biria biemeuko and nebinto birai biogwerirera ase abana bari bare noborema bwogotara,,All can learn! Use braille and ramps for disabled students.,bonsi nabo barasome!Tumia ebitabu biria biemeuko and nebinto birai biogwerirera ase abana bari bare noborema bwogotara,0.5,Kila mtu anaweza kujifunza! Tumia maandishi ya vipofu na mifumo ya kuteleza kwa ajili ya wanafunzi wenye ulemavu.
44,Education,All dormitories must have emergency exits ÃÂ¢Ã¢âÂ¬Ã¢â¬Å inspection starts Dec 1!,"chinyomba chiokorara chionsi goika chibe nemerangu ya nyuma gogotamera ekero kiobongu, omoroberio korora nga ayio aikeranigwe nochake etariki eyemo omotienyi 12",,All dormitories must have emergency exits – inspection starts Dec 1!,"chinyomba chiokorara chionsi goika chibe nemerangu ya nyuma gogotamera ekero kiobong'u, omoroberio korora ng'a ayio aikeranigwe nochake etariki eyemo omotienyi 12",0.419753086,Kila vyumba vya kulala lazima viwe na njia za dharura za kutoka.
45,Education,All Form 3 students must register as voters this week ÃÂ¢Ã¢âÂ¬Ã¢â¬Å no excuses!,abana besecondari bafomu 3 goika berike buna abaaki chikura ewiki eye getamero getaiyo,,All Form 3 students must register as voters this week – no excuses!,abana besecondari bafomu 3 goika berike buna abaaki chikura ewiki eye getamero getaiyo,0.779069767,Wanafunzi wote wa darasa la 3 lazima wajiandikishe kuwa wapiga kura wiki hii hakuna udhuru!
46,Education,All Form Four students must register as voters before leaving school ÃÂ¢Ã¢âÂ¬Ã¢â¬Å IEBC directive.,Abana besekondari bekerasi kia inye goika babe berikire koba abbaki chikura batrarua esukuru,,All Form Four students must register as voters before leaving school – IEBC directive.,Abana besekondari bekerasi kia inye goika babe berikire koba abbaki chikura batrarua esukuru,0.934782609,Wanafunzi wote wa Fomu ya Nne lazima kujiandikisha kama wapiga kura kabla ya kuacha shule  IEBC mwongozo.
47,Education,All Grade 6 learners automatically placed in junior secondary ÃÂ¢Ã¢âÂ¬Ã¢â¬Å no exam needed.,"Abana bonsi begeredi gia 6 goika basoe esekenderi ya inse, matemwa tari araganigwe .",,All Grade 6 learners automatically placed in junior secondary – no exam needed.,"Abana bonsi begeredi gia 6 goika basoe esekenderi ya inse, matemwa tari araganigwe .",0.94047619,Wanafunzi wote wa darasa la 6 huwekwa moja kwa moja katika shule ya sekondari ya chini  hakuna mtihani unaohitajika.
48,Education,All public university students to get free data bundles for e-learning ÃÂ¢Ã¢âÂ¬Ã¢â¬Å Safaricom partners.,Abana bonsi bechiyufasiti chieserikari banyore chibandoro chia bosa gokonya amasomo abo goetera etekinorochia,,All public university students to get free data bundles for e-learning – Safaricom partners.,Abana bonsi bechiyufasiti chieserikari banyore chibandoro chia bosa gokonya amasomo abo goetera etekinorochia,0.844036697,Wanafunzi wote wa chuo kikuu cha umma kupata bundles bure data kwa e-kujifunza  Safaricom washirika.
49,Education,All refugee children in Kenya to join public schools from January ÃÂ¢Ã¢âÂ¬Ã¢â¬Å no fees.,"Abana binsi ba baria batamete chinse chiabo aiga Kenya basoe chisukuru chiserikari gochakera omotienyi omoyia, kende getari goakanwa.",,All refugee children in Kenya to join public schools from January – no fees.,"Abana binsi ba baria batamete chinse chiabo aiga Kenya basoe chisukuru chiserikari gochakera omotienyi omoyia, kende getari goakanwa.",0.571428571,Watoto wote wakimbizi nchini Kenya kujiunga na shule za umma kuanzia Januari  hakuna ada.
50,Education,All registered candidates must appear in the attendance register.,abana bariria bonsi bagochi gokora amatemwa goika barorekane ase egetabu,,All registered candidates must appear in the attendance register.,abana bariria bonsi bagochi gokora amatemwa goika barorekane ase egetabu,0.902777778,Wagombea wote walioandikishwa lazima waonekane katika orodha ya kuhudhuria.
