PSA_ID,Domain,English,English_sw
EDU_00025,Education,TSC urges residents of Samburu County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00026,Education,Teachers Service Commission reminds parents in Machakos County that bursary allocation registration is open this February.,
EDU_00027,Education,Notice: KNEC announces free primary education enrollment dates for schools in Vihiga County.,
EDU_00028,Education,Notice: IEBC announces free day secondary education enrollment dates for schools in Bungoma County.,
EDU_00029,Education,KICD encourages out-of-school children in Isiolo County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00030,Education,Notice: State Department for Basic Education announces school feeding programme enrollment dates for schools in Kajiado County.,
EDU_00031,Education,State Department for Basic Education urges residents of Kisii County to enroll in the adult literacy programme to benefit from free day secondary education.,
EDU_00032,Education,KUCCPS reminds parents in Laikipia County that free day secondary education registration is open this May.,
EDU_00033,Education,KUCCPS urges residents of Murang'a County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00034,Education,Notice: TSC announces free day secondary education enrollment dates for schools in Bungoma County.,
EDU_00035,Education,Notice: Universities Fund announces adult literacy classes enrollment dates for schools in Lamu County.,
EDU_00036,Education,KMTC encourages out-of-school children in Uasin Gishu County to enroll in the adult literacy programme under free primary education.,
EDU_00037,Education,IEBC urges residents of Tharaka-Nithi County to register their children at the nearest public school to benefit from free primary education.,
EDU_00038,Education,HELB encourages out-of-school children in Kakamega County to apply for the bursary before the deadline under adult literacy classes.,
EDU_00039,Education,Notice: TSC announces school feeding programme enrollment dates for schools in Embu County.,
EDU_00040,Education,Notice: State Department for Basic Education announces adult literacy classes enrollment dates for schools in Kitui County.,
EDU_00041,Education,HELB encourages out-of-school children in Tana River County to register their children at the nearest public school under free day secondary education.,
EDU_00042,Education,TVET encourages out-of-school children in Trans Nzoia County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00043,Education,KICD reminds parents in Vihiga County that adult literacy classes registration is open this July.,
EDU_00044,Education,Notice: Teachers Service Commission announces bursary allocation enrollment dates for schools in Vihiga County.,
EDU_00045,Education,KICD urges residents of Nyandarua County to enroll in the adult literacy programme to benefit from free primary education.,
EDU_00046,Education,IEBC urges residents of Garissa County to enroll in the adult literacy programme to benefit from bursary allocation.,
EDU_00047,Education,State Department for Basic Education urges residents of Kisumu County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00048,Education,TSC reminds parents in Embu County that school feeding programme registration is open this April.,
EDU_00049,Education,HELB encourages out-of-school children in Elgeyo-Marakwet County to apply for the bursary before the deadline under free primary education.,
EDU_00050,Education,TSC urges residents of Laikipia County to enroll in the adult literacy programme to benefit from free day secondary education.,
EDU_00051,Education,Notice: Ministry of Education announces adult literacy classes enrollment dates for schools in Nyamira County.,
EDU_00052,Education,KICD urges residents of Isiolo County to enroll in the adult literacy programme to benefit from free day secondary education.,
EDU_00053,Education,Notice: TSC announces school feeding programme enrollment dates for schools in Kisii County.,
EDU_00054,Education,Teachers Service Commission urges residents of Tana River County to register their children at the nearest public school to benefit from free day secondary education.,
EDU_00055,Education,State Department for TVET urges residents of Murang'a County to register their children at the nearest public school to benefit from free primary education.,
EDU_00056,Education,KICD reminds parents in Kirinyaga County that adult literacy classes registration is open this May.,
EDU_00057,Education,KNEC urges residents of Bomet County to enroll in the adult literacy programme to benefit from free day secondary education.,
EDU_00058,Education,KUCCPS reminds parents in Kisii County that free day secondary education registration is open this May.,
EDU_00059,Education,Notice: Ministry of Education announces adult literacy classes enrollment dates for schools in Kisii County.,
EDU_00060,Education,State Department for TVET encourages out-of-school children in Turkana County to register their children at the nearest public school under free primary education.,
EDU_00061,Education,KICD encourages out-of-school children in Lamu County to apply for the bursary before the deadline under bursary allocation.,
EDU_00062,Education,TVET reminds parents in Kakamega County that free primary education registration is open this May.,
EDU_00063,Education,Notice: Kenya Institute of Curriculum Development announces school feeding programme enrollment dates for schools in Turkana County.,
EDU_00064,Education,HELB reminds parents in Baringo County that adult literacy classes registration is open this January.,
EDU_00065,Education,Notice: KMTC announces adult literacy classes enrollment dates for schools in Siaya County.,
EDU_00066,Education,Notice: TSC announces school feeding programme enrollment dates for schools in Migori County.,
EDU_00067,Education,Universities Fund reminds parents in Meru County that free primary education registration is open this July.,
EDU_00068,Education,Ministry of Education reminds parents in Kisumu County that adult literacy classes registration is open this April.,
EDU_00069,Education,State Department for Basic Education encourages out-of-school children in Busia County to enroll in the adult literacy programme under free day secondary education.,
EDU_00070,Education,Ministry of Education urges residents of Siaya County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00071,Education,IEBC encourages out-of-school children in Samburu County to enroll in the adult literacy programme under school feeding programme.,
EDU_00072,Education,TVET encourages out-of-school children in Meru County to apply for the bursary before the deadline under school feeding programme.,
EDU_00073,Education,HELB urges residents of Kericho County to enroll in the adult literacy programme to benefit from free primary education.,
EDU_00074,Education,Notice: TSC announces school feeding programme enrollment dates for schools in Lamu County.,
EDU_00075,Education,TVET urges residents of Migori County to register their children at the nearest public school to benefit from school feeding programme.,
EDU_00076,Education,Notice: KUCCPS announces free day secondary education enrollment dates for schools in Nyandarua County.,
EDU_00077,Education,Notice: Ministry of Education announces free day secondary education enrollment dates for schools in Samburu County.,
EDU_00078,Education,KNEC urges residents of Uasin Gishu County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00079,Education,HELB urges residents of Makueni County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00080,Education,IEBC reminds parents in Kajiado County that bursary allocation registration is open this July.,
EDU_00081,Education,Notice: IEBC announces bursary allocation enrollment dates for schools in Kilifi County.,
EDU_00082,Education,Notice: Teachers Service Commission announces adult literacy classes enrollment dates for schools in Nyeri County.,
EDU_00083,Education,IEBC urges residents of Bomet County to enroll in the adult literacy programme to benefit from bursary allocation.,
EDU_00084,Education,Universities Fund urges residents of Kiambu County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00085,Education,Notice: HELB announces school feeding programme enrollment dates for schools in Kiambu County.,
EDU_00086,Education,Notice: KUCCPS announces school feeding programme enrollment dates for schools in Bomet County.,
EDU_00087,Education,Notice: TVET announces free primary education enrollment dates for schools in Nyandarua County.,
EDU_00088,Education,TVET urges residents of Elgeyo-Marakwet County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00089,Education,Notice: HELB announces free primary education enrollment dates for schools in Murang'a County.,
EDU_00090,Education,State Department for TVET encourages out-of-school children in Kiambu County to apply for the bursary before the deadline under adult literacy classes.,
EDU_00091,Education,Teachers Service Commission reminds parents in Bomet County that free day secondary education registration is open this September.,
EDU_00092,Education,Ministry of Education reminds parents in Vihiga County that adult literacy classes registration is open this October.,
EDU_00093,Education,Notice: KUCCPS announces bursary allocation enrollment dates for schools in Bomet County.,
EDU_00094,Education,KNEC urges residents of Nyeri County to enroll in the adult literacy programme to benefit from school feeding programme.,
EDU_00095,Education,KICD encourages out-of-school children in Samburu County to apply for the bursary before the deadline under bursary allocation.,
EDU_00096,Education,TVET encourages out-of-school children in Kericho County to apply for the bursary before the deadline under school feeding programme.,
EDU_00097,Education,Ministry of Education encourages out-of-school children in Uasin Gishu County to apply for the bursary before the deadline under free primary education.,
EDU_00098,Education,KMTC reminds parents in Elgeyo-Marakwet County that free primary education registration is open this October.,
EDU_00099,Education,KMTC reminds parents in Makueni County that bursary allocation registration is open this October.,
EDU_00100,Education,TSC reminds parents in Kwale County that school feeding programme registration is open this April.,
EDU_00101,Education,Notice: Teachers Service Commission announces free primary education enrollment dates for schools in Nyamira County.,
EDU_00102,Education,Notice: State Department for TVET announces bursary allocation enrollment dates for schools in Laikipia County.,
EDU_00103,Education,IEBC encourages out-of-school children in Murang'a County to register their children at the nearest public school under adult literacy classes.,
EDU_00104,Education,Ministry of Education encourages out-of-school children in Migori County to apply for the bursary before the deadline under bursary allocation.,
EDU_00105,Education,Notice: KNEC announces free day secondary education enrollment dates for schools in Kakamega County.,
EDU_00106,Education,KNEC urges residents of Kisii County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00107,Education,TVET encourages out-of-school children in Kajiado County to apply for the bursary before the deadline under free primary education.,
EDU_00108,Education,Notice: Teachers Service Commission announces adult literacy classes enrollment dates for schools in Kwale County.,
EDU_00109,Education,State Department for TVET encourages out-of-school children in Nyamira County to apply for the bursary before the deadline under free day secondary education.,
EDU_00110,Education,Notice: KNEC announces adult literacy classes enrollment dates for schools in Kilifi County.,
EDU_00111,Education,Teachers Service Commission urges residents of Bomet County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00112,Education,State Department for Basic Education urges residents of Nandi County to register their children at the nearest public school to benefit from adult literacy classes.,
EDU_00113,Education,State Department for Basic Education urges residents of Tana River County to enroll in the adult literacy programme to benefit from free day secondary education.,
EDU_00114,Education,Notice: KMTC announces bursary allocation enrollment dates for schools in Nyamira County.,
EDU_00115,Education,Teachers Service Commission urges residents of Samburu County to register their children at the nearest public school to benefit from school feeding programme.,
EDU_00116,Education,Teachers Service Commission encourages out-of-school children in Machakos County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00117,Education,Teachers Service Commission urges residents of Uasin Gishu County to enroll in the adult literacy programme to benefit from free primary education.,
EDU_00118,Education,HELB encourages out-of-school children in Murang'a County to register their children at the nearest public school under adult literacy classes.,
EDU_00119,Education,IEBC reminds parents in Taita-Taveta County that free primary education registration is open this January.,
EDU_00120,Education,Kenya Institute of Curriculum Development urges residents of Bomet County to enroll in the adult literacy programme to benefit from bursary allocation.,
EDU_00121,Education,Notice: TSC announces free day secondary education enrollment dates for schools in Busia County.,
EDU_00122,Education,Teachers Service Commission reminds parents in Nyeri County that school feeding programme registration is open this November.,
EDU_00123,Education,Notice: KUCCPS announces bursary allocation enrollment dates for schools in Nyamira County.,
EDU_00124,Education,Notice: Universities Fund announces free primary education enrollment dates for schools in Samburu County.,
EDU_00125,Education,State Department for TVET urges residents of Murang'a County to register their children at the nearest public school to benefit from free day secondary education.,
EDU_00126,Education,IEBC urges residents of Elgeyo-Marakwet County to apply for the bursary before the deadline to benefit from adult literacy classes.,
EDU_00127,Education,Notice: HELB announces adult literacy classes enrollment dates for schools in Siaya County.,
EDU_00128,Education,Universities Fund encourages out-of-school children in Bungoma County to register their children at the nearest public school under free day secondary education.,
EDU_00129,Education,Universities Fund reminds parents in Lamu County that free day secondary education registration is open this November.,
EDU_00130,Education,HELB urges residents of West Pokot County to register their children at the nearest public school to benefit from bursary allocation.,
EDU_00131,Education,IEBC encourages out-of-school children in Tana River County to register their children at the nearest public school under free day secondary education.,
EDU_00132,Education,KNEC encourages out-of-school children in Nyandarua County to apply for the bursary before the deadline under bursary allocation.,
EDU_00133,Education,KUCCPS encourages out-of-school children in Migori County to apply for the bursary before the deadline under free day secondary education.,
EDU_00134,Education,State Department for TVET urges residents of Nandi County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00135,Education,Universities Fund reminds parents in Busia County that school feeding programme registration is open this September.,
EDU_00136,Education,KMTC encourages out-of-school children in Nakuru County to apply for the bursary before the deadline under bursary allocation.,
EDU_00137,Education,Notice: KICD announces free day secondary education enrollment dates for schools in Nyeri County.,
EDU_00138,Education,Notice: KMTC announces adult literacy classes enrollment dates for schools in Narok County.,
EDU_00139,Education,TVET urges residents of Turkana County to enroll in the adult literacy programme to benefit from bursary allocation.,
EDU_00140,Education,Teachers Service Commission encourages out-of-school children in Makueni County to apply for the bursary before the deadline under free day secondary education.,
EDU_00141,Education,Kenya Institute of Curriculum Development encourages out-of-school children in Uasin Gishu County to apply for the bursary before the deadline under bursary allocation.,
EDU_00142,Education,KNEC reminds parents in Marsabit County that bursary allocation registration is open this January.,
EDU_00143,Education,Kenya Institute of Curriculum Development encourages out-of-school children in Turkana County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00144,Education,State Department for Basic Education encourages out-of-school children in Tharaka-Nithi County to register their children at the nearest public school under free primary education.,
EDU_00145,Education,Notice: Teachers Service Commission announces free day secondary education enrollment dates for schools in Laikipia County.,
EDU_00146,Education,TVET reminds parents in Vihiga County that free primary education registration is open this January.,
EDU_00147,Education,TVET reminds parents in Nyandarua County that free primary education registration is open this December.,
EDU_00148,Education,State Department for Basic Education encourages out-of-school children in Trans Nzoia County to register their children at the nearest public school under school feeding programme.,
EDU_00149,Education,IEBC urges residents of Nyeri County to apply for the bursary before the deadline to benefit from adult literacy classes.,
EDU_00150,Education,Universities Fund urges residents of Kiambu County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00151,Education,State Department for Basic Education urges residents of Meru County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00152,Education,Ministry of Education encourages out-of-school children in Siaya County to register their children at the nearest public school under free primary education.,
EDU_00153,Education,Notice: Kenya Institute of Curriculum Development announces free primary education enrollment dates for schools in Kwale County.,
EDU_00154,Education,Ministry of Education reminds parents in Machakos County that school feeding programme registration is open this May.,
EDU_00155,Education,Notice: KMTC announces free primary education enrollment dates for schools in Uasin Gishu County.,
EDU_00156,Education,KMTC encourages out-of-school children in Murang'a County to enroll in the adult literacy programme under free primary education.,
EDU_00157,Education,KICD reminds parents in Murang'a County that free day secondary education registration is open this September.,
EDU_00158,Education,Teachers Service Commission encourages out-of-school children in Nyandarua County to register their children at the nearest public school under bursary allocation.,
EDU_00159,Education,Notice: IEBC announces bursary allocation enrollment dates for schools in Kirinyaga County.,
EDU_00160,Education,TSC encourages out-of-school children in Narok County to enroll in the adult literacy programme under bursary allocation.,
EDU_00161,Education,KICD encourages out-of-school children in Mombasa County to enroll in the adult literacy programme under bursary allocation.,
EDU_00162,Education,State Department for TVET encourages out-of-school children in Homa Bay County to enroll in the adult literacy programme under bursary allocation.,
EDU_00163,Education,IEBC urges residents of Busia County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00164,Education,State Department for Basic Education urges residents of Trans Nzoia County to enroll in the adult literacy programme to benefit from school feeding programme.,
EDU_00165,Education,Notice: Ministry of Education announces school feeding programme enrollment dates for schools in Kajiado County.,
EDU_00166,Education,KNEC reminds parents in Nyamira County that free day secondary education registration is open this March.,
EDU_00167,Education,Ministry of Education urges residents of Nairobi County to enroll in the adult literacy programme to benefit from school feeding programme.,
EDU_00168,Education,Kenya Institute of Curriculum Development urges residents of Elgeyo-Marakwet County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00169,Education,Notice: KMTC announces free day secondary education enrollment dates for schools in Laikipia County.,
EDU_00170,Education,KUCCPS encourages out-of-school children in Marsabit County to register their children at the nearest public school under adult literacy classes.,
EDU_00171,Education,State Department for TVET encourages out-of-school children in Kilifi County to apply for the bursary before the deadline under bursary allocation.,
EDU_00172,Education,KMTC encourages out-of-school children in Machakos County to enroll in the adult literacy programme under school feeding programme.,
EDU_00173,Education,KNEC reminds parents in Baringo County that school feeding programme registration is open this December.,
EDU_00174,Education,Notice: KUCCPS announces adult literacy classes enrollment dates for schools in Makueni County.,
EDU_00175,Education,Notice: KMTC announces free day secondary education enrollment dates for schools in Mandera County.,
EDU_00176,Education,Notice: TVET announces free primary education enrollment dates for schools in Makueni County.,
EDU_00177,Education,IEBC reminds parents in Migori County that free day secondary education registration is open this March.,
EDU_00178,Education,KICD encourages out-of-school children in Kitui County to enroll in the adult literacy programme under free primary education.,
EDU_00179,Education,State Department for TVET encourages out-of-school children in Kirinyaga County to apply for the bursary before the deadline under bursary allocation.,
EDU_00180,Education,HELB reminds parents in Taita-Taveta County that adult literacy classes registration is open this April.,
EDU_00181,Education,Universities Fund reminds parents in Migori County that free primary education registration is open this April.,
EDU_00182,Education,State Department for Basic Education urges residents of Narok County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00183,Education,Teachers Service Commission encourages out-of-school children in Murang'a County to apply for the bursary before the deadline under free primary education.,
EDU_00184,Education,TVET urges residents of Kajiado County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00185,Education,IEBC urges residents of Wajir County to enroll in the adult literacy programme to benefit from school feeding programme.,
EDU_00186,Education,Notice: State Department for Basic Education announces free primary education enrollment dates for schools in Busia County.,
EDU_00187,Education,Notice: IEBC announces free day secondary education enrollment dates for schools in Migori County.,
EDU_00188,Education,State Department for Basic Education encourages out-of-school children in West Pokot County to apply for the bursary before the deadline under free primary education.,
EDU_00189,Education,KMTC urges residents of Garissa County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00190,Education,Universities Fund reminds parents in Nyamira County that free primary education registration is open this January.,
EDU_00191,Education,Universities Fund urges residents of Lamu County to register their children at the nearest public school to benefit from bursary allocation.,
EDU_00192,Education,Notice: KUCCPS announces free day secondary education enrollment dates for schools in Nyamira County.,
EDU_00193,Education,Notice: KUCCPS announces school feeding programme enrollment dates for schools in Garissa County.,
EDU_00194,Education,Notice: TVET announces free day secondary education enrollment dates for schools in Baringo County.,
EDU_00195,Education,KMTC reminds parents in Vihiga County that free primary education registration is open this December.,
EDU_00196,Education,TSC urges residents of Narok County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00197,Education,KNEC urges residents of Taita-Taveta County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00198,Education,TSC encourages out-of-school children in Tharaka-Nithi County to apply for the bursary before the deadline under free primary education.,
EDU_00199,Education,Notice: State Department for Basic Education announces free primary education enrollment dates for schools in Tharaka-Nithi County.,
EDU_00200,Education,Notice: HELB announces free primary education enrollment dates for schools in Kilifi County.,
EDU_00201,Education,Notice: KNEC announces bursary allocation enrollment dates for schools in Mombasa County.,
EDU_00202,Education,KICD reminds parents in Nyamira County that free primary education registration is open this February.,
EDU_00203,Education,State Department for Basic Education encourages out-of-school children in Busia County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00204,Education,Notice: State Department for Basic Education announces bursary allocation enrollment dates for schools in Baringo County.,
EDU_00205,Education,IEBC urges residents of Kirinyaga County to register their children at the nearest public school to benefit from adult literacy classes.,
EDU_00206,Education,TVET urges residents of Vihiga County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00207,Education,Notice: State Department for Basic Education announces bursary allocation enrollment dates for schools in Marsabit County.,
EDU_00208,Education,Notice: KICD announces free primary education enrollment dates for schools in Taita-Taveta County.,
EDU_00209,Education,State Department for TVET reminds parents in Garissa County that bursary allocation registration is open this December.,
EDU_00210,Education,IEBC encourages out-of-school children in Busia County to register their children at the nearest public school under free primary education.,
EDU_00211,Education,KUCCPS urges residents of Homa Bay County to enroll in the adult literacy programme to benefit from free day secondary education.,
EDU_00212,Education,State Department for TVET reminds parents in Kericho County that bursary allocation registration is open this March.,
EDU_00213,Education,KUCCPS urges residents of Migori County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00214,Education,KUCCPS encourages out-of-school children in Kisumu County to enroll in the adult literacy programme under school feeding programme.,
EDU_00215,Education,KUCCPS encourages out-of-school children in Kwale County to enroll in the adult literacy programme under free day secondary education.,
EDU_00216,Education,Notice: Kenya Institute of Curriculum Development announces free primary education enrollment dates for schools in Kakamega County.,
EDU_00217,Education,Ministry of Education reminds parents in Turkana County that free day secondary education registration is open this October.,
EDU_00218,Education,KICD urges residents of Siaya County to apply for the bursary before the deadline to benefit from adult literacy classes.,
EDU_00219,Education,Teachers Service Commission urges residents of Mandera County to register their children at the nearest public school to benefit from bursary allocation.,
EDU_00220,Education,KUCCPS urges residents of Marsabit County to enroll in the adult literacy programme to benefit from free primary education.,
EDU_00221,Education,KMTC encourages out-of-school children in Nyandarua County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00222,Education,IEBC encourages out-of-school children in Mandera County to enroll in the adult literacy programme under free day secondary education.,
EDU_00223,Education,TSC encourages out-of-school children in Marsabit County to register their children at the nearest public school under adult literacy classes.,
EDU_00224,Education,Notice: State Department for Basic Education announces free primary education enrollment dates for schools in Meru County.,
EDU_00225,Education,Notice: KICD announces free primary education enrollment dates for schools in Narok County.,
EDU_00226,Education,KICD urges residents of Kajiado County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00227,Education,KNEC reminds parents in Bomet County that free day secondary education registration is open this January.,
EDU_00228,Education,KNEC urges residents of Mombasa County to apply for the bursary before the deadline to benefit from adult literacy classes.,
EDU_00229,Education,KNEC encourages out-of-school children in Nandi County to apply for the bursary before the deadline under school feeding programme.,
EDU_00230,Education,IEBC reminds parents in Vihiga County that adult literacy classes registration is open this January.,
EDU_00231,Education,KICD reminds parents in Narok County that school feeding programme registration is open this December.,
EDU_00232,Education,Notice: State Department for TVET announces adult literacy classes enrollment dates for schools in Trans Nzoia County.,
EDU_00233,Education,Ministry of Education urges residents of Garissa County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00234,Education,Notice: State Department for TVET announces school feeding programme enrollment dates for schools in Mandera County.,
EDU_00235,Education,Universities Fund encourages out-of-school children in Narok County to enroll in the adult literacy programme under bursary allocation.,
EDU_00236,Education,State Department for Basic Education encourages out-of-school children in Elgeyo-Marakwet County to enroll in the adult literacy programme under school feeding programme.,
EDU_00237,Education,TSC urges residents of Embu County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00238,Education,KUCCPS urges residents of Vihiga County to register their children at the nearest public school to benefit from free primary education.,
EDU_00239,Education,Universities Fund urges residents of Samburu County to apply for the bursary before the deadline to benefit from adult literacy classes.,
EDU_00240,Education,Notice: KICD announces school feeding programme enrollment dates for schools in Nandi County.,
EDU_00241,Education,HELB reminds parents in Narok County that free day secondary education registration is open this January.,
EDU_00242,Education,Notice: TSC announces adult literacy classes enrollment dates for schools in Nairobi County.,
EDU_00243,Education,Notice: IEBC announces free day secondary education enrollment dates for schools in Machakos County.,
EDU_00244,Education,Notice: KNEC announces free primary education enrollment dates for schools in Lamu County.,
EDU_00245,Education,Notice: HELB announces free day secondary education enrollment dates for schools in Kirinyaga County.,
EDU_00246,Education,TVET urges residents of Turkana County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00247,Education,KICD urges residents of Tana River County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00248,Education,KUCCPS urges residents of Homa Bay County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00249,Education,Teachers Service Commission reminds parents in Bomet County that school feeding programme registration is open this May.,
EDU_00250,Education,KMTC encourages out-of-school children in Siaya County to apply for the bursary before the deadline under bursary allocation.,
EDU_00251,Education,IEBC encourages out-of-school children in Homa Bay County to register their children at the nearest public school under school feeding programme.,
EDU_00252,Education,Notice: Teachers Service Commission announces school feeding programme enrollment dates for schools in Homa Bay County.,
EDU_00253,Education,KMTC urges residents of Isiolo County to enroll in the adult literacy programme to benefit from free day secondary education.,
EDU_00254,Education,Teachers Service Commission reminds parents in Wajir County that free day secondary education registration is open this September.,
EDU_00255,Education,HELB urges residents of West Pokot County to apply for the bursary before the deadline to benefit from free primary education.,
EDU_00256,Education,Notice: State Department for TVET announces adult literacy classes enrollment dates for schools in Kericho County.,
EDU_00257,Education,Kenya Institute of Curriculum Development encourages out-of-school children in Uasin Gishu County to enroll in the adult literacy programme under bursary allocation.,
EDU_00258,Education,TVET reminds parents in Trans Nzoia County that adult literacy classes registration is open this May.,
EDU_00259,Education,Kenya Institute of Curriculum Development urges residents of Nyandarua County to enroll in the adult literacy programme to benefit from adult literacy classes.,
EDU_00260,Education,TSC urges residents of Kitui County to register their children at the nearest public school to benefit from free day secondary education.,
EDU_00261,Education,State Department for Basic Education encourages out-of-school children in Turkana County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00262,Education,Universities Fund urges residents of Kisii County to apply for the bursary before the deadline to benefit from bursary allocation.,
EDU_00263,Education,KNEC encourages out-of-school children in Taita-Taveta County to enroll in the adult literacy programme under free primary education.,
EDU_00264,Education,Notice: Universities Fund announces free day secondary education enrollment dates for schools in Samburu County.,
EDU_00265,Education,Kenya Institute of Curriculum Development encourages out-of-school children in Murang'a County to enroll in the adult literacy programme under free primary education.,
EDU_00266,Education,State Department for TVET encourages out-of-school children in Makueni County to apply for the bursary before the deadline under free day secondary education.,
EDU_00267,Education,State Department for Basic Education encourages out-of-school children in Murang'a County to enroll in the adult literacy programme under adult literacy classes.,
EDU_00268,Education,KNEC encourages out-of-school children in Wajir County to apply for the bursary before the deadline under bursary allocation.,
EDU_00269,Education,HELB encourages out-of-school children in Nairobi County to enroll in the adult literacy programme under free primary education.,
EDU_00270,Education,State Department for Basic Education urges residents of Narok County to register their children at the nearest public school to benefit from free primary education.,
EDU_00271,Education,Teachers Service Commission encourages out-of-school children in Tharaka-Nithi County to enroll in the adult literacy programme under free primary education.,
EDU_00272,Education,Notice: TVET announces free day secondary education enrollment dates for schools in Laikipia County.,
EDU_00273,Education,KNEC urges residents of Marsabit County to apply for the bursary before the deadline to benefit from school feeding programme.,
EDU_00274,Education,KNEC urges residents of Homa Bay County to apply for the bursary before the deadline to benefit from free day secondary education.,
EDU_00275,Education,State Department for TVET encourages out-of-school children in Bomet County to enroll in the adult literacy programme under school feeding programme.,
EDU_00276,Education,Notice: State Department for TVET announces free primary education enrollment dates for schools in Kisumu County.,
EDU_00277,Education,Teachers Service Commission reminds parents in Siaya County that free primary education registration is open this September.,
EDU_00278,Education,Notice: Ministry of Education announces adult literacy classes enrollment dates for schools in Embu County.,
EDU_00279,Education,TSC reminds parents in Kiambu County that bursary allocation registration is open this April.,
EDU_00280,Education,State Department for Basic Education urges residents of Kajiado County to enroll in the adult literacy programme to benefit from bursary allocation.,
EDU_00281,Education,TSC encourages out-of-school children in Turkana County to apply for the bursary before the deadline under adult literacy classes.,
EDU_00282,Education,Ministry of Education encourages out-of-school children in Turkana County to register their children at the nearest public school under school feeding programme.,
